rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.99185121937175,79.57769230769229,000762,西藏矿业,bottom_area,2022-10-21,40.09,2022-10-12,39.0,2.7948717948718036,9.717948717948715,29.66636609558161,True,-1.2562,2.5495,1,1,1,100.0,71.15671641791043,71.15671641791043,7.205128205128197,2.7948717948718036,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
2,76.4581125,69.507375,600303,曙光股份,bottom_area,2022-10-21,6.62,2022-10-21,6.62,0.0,2.2658610271903243,31.185031185031175,False,-5.0215,3.6776,2,2,2,100.0,16.437499999999993,19.37499999999999,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.02%; 状态bottom_area; 底部未确认
3,76.17084833603099,72.62162208103366,002677,浙江美大,bottom_area,2022-10-21,11.09,2022-10-11,10.82,2.4953789279112715,6.931608133086876,27.81854569713142,False,-0.0901,0.2864,1,1,1,100.0,18.124118476727787,18.124118476727787,7.50462107208873,2.4953789279112715,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
4,73.84971157957726,68.04969535132122,000703,恒逸石化,bottom_area,2022-10-21,7.11,2022-10-21,7.06,0.708215297450435,2.12464589235128,27.141382868937047,False,-0.2805,0.753,1,1,1,100.0,11.475409836065575,11.475409836065575,9.291784702549567,0.708215297450435,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
5,73.60688950742205,72.02938641648255,000683,博源化工,bottom_area,2022-10-21,7.26,2022-10-12,6.99,3.8626609442060027,9.442060085836912,28.891149542217697,True,-2.1563,0.6277,1,1,1,100.0,22.50673854447439,22.50673854447439,6.137339055793998,3.8626609442060027,历史1/1次成功; 当前距低点3.86%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
6,73.5374698439898,73.35811016144349,600126,杭钢股份,bottom_area,2022-10-21,4.09,2022-10-11,3.9,4.8717948717948705,7.179487179487174,31.698774080560423,True,0.0,0.1501,1,1,1,100.0,19.54732510288064,19.54732510288064,5.12820512820513,4.8717948717948705,历史1/1次成功; 当前距低点4.87%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
7,72.87325086609731,72.42062197873025,002374,中锐股份,bottom_area,2022-10-21,4.48,2022-10-12,4.28,4.672897196261686,9.579439252336451,31.629392971246002,True,0.6742,2.2282,1,1,1,100.0,12.068965517241388,12.068965517241388,5.327102803738315,4.672897196261686,历史1/1次成功; 当前距低点4.67%; 最新日涨幅0.67%; 状态bottom_area; 底部已确认
8,70.94816691042654,69.59097902097905,002555,三七互娱,bottom_area,2022-10-21,14.87,2022-10-12,14.3,3.986013986013975,9.650349650349643,32.19535324798482,True,-2.2996,1.4997,1,1,1,100.0,10.909090909090905,10.909090909090905,6.013986013986025,3.986013986013975,历史1/1次成功; 当前距低点3.99%; 最新日涨幅-2.30%; 状态bottom_area; 底部已确认
9,67.70316421408162,66.8788130394404,002132,恒星科技,confirmed_rebound,2022-10-21,5.03,2022-10-12,4.82,4.356846473029044,10.580912863070534,27.40963855421686,True,-0.789,2.0031,1,1,1,100.0,11.088295687885012,11.088295687885012,5.6431535269709565,4.356846473029044,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-0.79%; 状态confirmed_rebound; 底部已确认
10,64.76077560451343,64.72670891561046,000889,中嘉博创,confirmed_rebound,2022-10-21,1.9,2022-10-12,1.81,4.972375690607727,11.049723756906062,28.74015748031496,True,0.0,1.298,2,3,2,66.66666666666666,23.478810879190387,34.408602150537625,5.027624309392274,4.972375690607727,历史2/3次成功; 当前距低点4.97%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
11,61.17922880636228,59.122784140602214,600346,恒力石化,bottom_area,2022-10-21,16.1,2022-10-20,15.6,3.205128205128217,6.2179487179487225,27.74432607688745,False,1.7699,0.5157,1,2,1,50.0,23.443421765024375,23.443421765024375,6.794871794871785,3.205128205128217,历史1/2次成功; 当前距低点3.21%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
12,60.97973644032186,60.61783889468197,601919,中远海控,bottom_area,2022-10-21,11.39,2022-10-10,10.88,4.687499999999998,8.915441176470578,28.13738441215323,True,0.5296,0.5405,1,2,1,50.0,40.45881126173098,40.45881126173098,5.312500000000003,4.687499999999998,历史1/2次成功; 当前距低点4.69%; 最新日涨幅0.53%; 状态bottom_area; 底部已确认
13,48.72962960946901,48.27278933188024,000338,潍柴动力,bottom_area,2022-10-21,9.51,2022-10-12,9.1,4.505494505494507,8.791208791208799,31.475903614457827,True,-0.4188,0.4368,1,3,1,33.33333333333333,13.774104683195592,13.774104683195592,5.494505494505493,4.505494505494507,历史1/3次成功; 当前距低点4.51%; 最新日涨幅-0.42%; 状态bottom_area; 底部已确认
