rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.35717010834045,85.56802692878864,002246,北化股份,bottom_area,2025-07-29,17.53,2025-07-25,17.26,1.5643105446118168,5.156431054461164,27.11148648648648,False,-0.3977,6.5773,5,5,5,100.0,26.315349303782714,31.992687385740403,8.435689455388184,1.5643105446118168,历史5/5次成功; 当前距低点1.56%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
2,87.53392935898201,81.91923988380019,002658,雪迪龙,bottom_area,2025-07-29,8.01,2025-07-29,7.89,1.5209125475285186,2.0278833967047025,31.151832460732994,False,-0.3731,4.5931,3,3,3,100.0,22.83290587185592,34.81481481481481,8.479087452471482,1.5209125475285186,历史3/3次成功; 当前距低点1.52%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
3,87.31247022294818,80.65276091885976,000607,华媒控股,bottom_area,2025-07-29,4.82,2025-07-25,4.78,0.836820083682009,2.9288702928870225,28.1203007518797,False,-0.6186,4.0169,4,4,4,100.0,30.810272632552305,59.82721382289418,9.163179916317992,0.836820083682009,历史4/4次成功; 当前距低点0.84%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
4,83.2408727126831,77.97934298739608,603022,新通联,bottom_area,2025-07-29,10.33,2025-07-24,10.17,1.5732546705998047,2.654867256637164,32.33532934131736,False,-0.6731,2.907,2,2,2,100.0,18.958944281524914,26.099706744868023,8.426745329400195,1.5732546705998047,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
5,82.72500378310329,77.4185145854616,605033,美邦股份,bottom_area,2025-07-29,22.03,2025-07-29,21.7,1.5207373271889486,2.4423963133640605,30.225080385852092,False,-1.2108,5.2468,1,1,1,100.0,31.96664350243223,31.96664350243223,8.479262672811053,1.5207373271889486,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
6,82.21075867832883,76.37686613721002,300879,大叶股份,bottom_area,2025-07-29,32.9,2025-07-29,32.53,1.1374116200430293,2.213341530894555,29.542993285683345,False,-1.0526,3.7155,1,1,1,100.0,21.667551779075957,21.667551779075957,8.862588379956971,1.1374116200430293,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
7,77.10931643556846,71.33583269957198,603928,兴业股份,bottom_area,2025-07-29,15.42,2025-07-29,15.28,0.9162303664921503,2.486910994764403,31.449080305069536,False,-1.5326,3.0207,1,1,1,100.0,31.69267707082834,31.69267707082834,9.08376963350785,0.9162303664921503,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
8,76.68601662751955,76.51722862320366,002636,金安国纪,bottom_area,2025-07-29,12.24,2025-07-25,11.67,4.884318766066841,7.112253641816624,29.698795180722897,True,-0.6494,6.0344,2,2,2,100.0,42.49180327868853,69.0,5.11568123393316,4.884318766066841,历史2/2次成功; 当前距低点4.88%; 最新日涨幅-0.65%; 状态bottom_area; 底部已确认
9,75.40104057212137,73.90059211736649,000999,华润三九,bottom_area,2025-07-29,31.62,2025-07-15,30.42,3.9447731755424034,5.654174884944112,30.036798528058867,False,0.095,0.5891,1,1,1,100.0,20.293951384963254,20.293951384963254,6.055226824457597,3.9447731755424034,历史1/1次成功; 当前距低点3.94%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
10,72.40829541317555,71.90332549367797,300640,德艺文创,bottom_area,2025-07-29,6.55,2025-06-23,6.26,4.632587859424921,9.90415335463259,27.880184331797235,True,-0.9077,9.2754,2,2,2,100.0,14.600138780466654,17.724867724867735,5.36741214057508,4.632587859424921,历史2/2次成功; 当前距低点4.63%; 最新日涨幅-0.91%; 状态bottom_area; 底部已确认
11,71.80274038212264,71.13849539500067,002041,登海种业,bottom_area,2025-07-29,9.96,2025-06-23,9.53,4.512067156348389,6.505771248688363,29.719764011799416,False,-0.6979,1.0082,2,2,2,100.0,18.2043468358871,21.395106715252467,5.4879328436516115,4.512067156348389,历史2/2次成功; 当前距低点4.51%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
12,59.3362528956994,57.06984286792994,000637,茂化实华,bottom_area,2025-07-29,4.18,2025-07-07,4.06,2.955665024630545,7.142857142857144,27.370304114490168,True,-1.6471,4.3229,1,2,1,50.0,22.627737226277358,22.627737226277358,7.0443349753694555,2.955665024630545,历史1/2次成功; 当前距低点2.96%; 最新日涨幅-1.65%; 状态bottom_area; 底部已确认
13,56.73841423942858,54.811547486919295,600241,时代万恒,bottom_area,2025-07-29,8.42,2025-07-15,8.16,3.1862745098039187,4.779411764705889,30.25641025641025,False,-1.0576,2.1711,1,2,1,50.0,22.50673854447439,22.50673854447439,6.813725490196082,3.1862745098039187,历史1/2次成功; 当前距低点3.19%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
