rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.27738498770674,84.69830899375845,603221,爱丽家居,bottom_area,2025-04-24,10.46,2025-04-24,10.29,1.6520894071914645,2.526724975704583,29.761092150170654,False,0.9653,3.4342,3,3,3,100.0,16.908993775026747,17.92336217552533,8.347910592808535,1.6520894071914645,历史3/3次成功; 当前距低点1.65%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
2,85.43832883449339,79.44029194530394,600371,万向德农,bottom_area,2025-04-24,9.43,2025-04-24,9.32,1.1802575107296076,3.433476394849788,27.187500000000004,False,-0.6322,5.7361,1,1,1,100.0,38.66279069767441,38.66279069767441,8.819742489270393,1.1802575107296076,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
3,83.70213697831235,79.30214689265536,301058,中粮科工,bottom_area,2025-04-24,10.85,2025-04-24,10.62,2.1657250470809837,2.7306967984934176,28.629032258064523,False,-0.55,2.9344,1,1,1,100.0,57.794273594909875,57.794273594909875,7.834274952919016,2.1657250470809837,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
4,82.04295357335613,75.22403101885162,001234,泰慕士,bottom_area,2025-04-24,20.21,2025-04-24,20.12,0.44731610337972094,3.379721669980118,32.25589225589225,False,-5.3396,9.1197,3,3,3,100.0,23.73070825030851,31.93277310924369,9.55268389662028,0.44731610337972094,历史3/3次成功; 当前距低点0.45%; 最新日涨幅-5.34%; 状态bottom_area; 底部未确认
5,80.94074220443626,75.71631637458958,688206,概伦电子,bottom_area,2025-04-24,21.0,2025-04-24,20.69,1.4983083615273016,3.18994683421943,27.122226135963363,False,-1.5471,2.0486,3,4,3,75.0,26.70677117673022,39.570720968629594,8.501691638472698,1.4983083615273016,历史3/4次成功; 当前距低点1.50%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
6,79.73758300133724,75.27528102375194,603169,兰石重装,bottom_area,2025-04-24,7.22,2025-04-22,7.08,1.9774011299434981,7.203389830508472,27.755102040816332,False,-0.9602,7.9074,3,4,3,75.0,30.208363440984503,49.872122762148344,8.022598870056502,1.9774011299434981,历史3/4次成功; 当前距低点1.98%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
7,78.48312629789078,71.34829663444616,300757,罗博特科,bottom_area,2025-04-24,127.8,2025-04-24,127.8,0.0,8.6697965571205,29.945732609768132,False,-10.6044,7.6368,6,7,6,85.71428571428571,23.953975761231302,74.11052233156698,10.0,0.0,历史6/7次成功; 当前距低点0.00%; 最新日涨幅-10.60%; 状态bottom_area; 底部未确认
8,74.76881699941518,69.02451447051877,603255,鼎际得,bottom_area,2025-04-24,23.78,2025-04-24,23.59,0.8054260279779621,4.9597286986011095,27.72671568627451,False,-3.5294,5.3089,2,2,2,100.0,11.456375345744673,12.757367783609205,9.194573972022038,0.8054260279779621,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
9,73.39309857539433,67.42026389628151,300153,科泰电源,confirmed_rebound,2025-04-24,27.61,2025-04-22,27.46,0.5462490895848455,10.415149308084484,28.823224468636592,True,-5.7036,10.018,1,1,1,100.0,17.342536669542692,17.342536669542692,9.453750910415156,0.5462490895848455,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-5.70%; 状态confirmed_rebound; 底部已确认
10,73.18305345749988,71.30128751885786,000668,荣丰控股,bottom_area,2025-04-24,4.85,2025-04-24,4.68,3.6324786324786316,7.6923076923077,28.110599078341014,False,-6.0078,10.2948,2,2,2,100.0,18.512574198436226,20.604914933837428,6.36752136752137,3.6324786324786316,历史2/2次成功; 当前距低点3.63%; 最新日涨幅-6.01%; 状态bottom_area; 底部未确认
