rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.62931999598487,79.0828561983471,000789,万年青,bottom_area,2021-10-15,12.35,2021-10-14,12.1,2.066115702479339,4.214876033057849,28.44470727380249,False,-0.1617,2.2143,1,1,1,100.0,47.599999999999994,47.599999999999994,7.933884297520661,2.066115702479339,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
2,83.43722173984949,78.43369304556354,601567,三星电气,bottom_area,2021-10-15,13.92,2021-10-13,13.68,1.7543859649122824,7.0906432748538055,27.42705570291778,True,-2.6573,1.519,1,1,1,100.0,31.09512390087929,31.09512390087929,8.24561403508772,1.7543859649122824,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-2.66%; 状态bottom_area; 底部已确认
3,81.23441701414608,74.741269248208,300437,清水源,confirmed_rebound,2021-10-15,16.0,2021-10-14,15.9,0.6289308176100606,11.132075471698123,30.506993006993007,True,-6.5421,17.152,3,3,3,100.0,24.382965120209345,30.330330330330323,9.37106918238994,0.6289308176100606,历史3/3次成功; 当前距低点0.63%; 最新日涨幅-6.54%; 状态confirmed_rebound; 底部已确认
4,77.44867426244662,73.4346320586518,600409,三友化工,bottom_area,2021-10-15,10.19,2021-10-14,9.97,2.206619859578725,3.9117352056168384,30.084151472650767,False,-0.4883,2.8364,1,1,1,100.0,18.95551257253386,18.95551257253386,7.7933801404212755,2.206619859578725,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
5,77.0812317128737,74.80862858469193,300516,久之洋,bottom_area,2021-10-15,29.56,2021-09-30,28.58,3.4289713086074194,6.0531840447865655,27.590575120344567,False,0.4759,0.3546,1,1,1,100.0,18.853135313531354,18.853135313531354,6.571028691392581,3.4289713086074194,历史1/1次成功; 当前距低点3.43%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
6,75.39150598867326,73.46652010431242,603113,金能科技,bottom_area,2021-10-15,16.22,2021-10-13,15.65,3.642172523961652,4.47284345047924,29.977628635346758,False,-0.1232,1.0801,2,2,2,100.0,20.057384187876238,20.395634379263292,6.3578274760383495,3.642172523961652,历史2/2次成功; 当前距低点3.64%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
7,75.08060563582563,72.8497554375475,000426,兴业银锡,bottom_area,2021-10-15,7.87,2021-09-29,7.61,3.416557161629432,6.307490144546643,30.628988149498632,False,-1.7478,1.8518,1,1,1,100.0,30.64250411861613,30.64250411861613,6.583442838370567,3.416557161629432,历史1/1次成功; 当前距低点3.42%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
8,74.46920601442162,73.42418359933211,000612,焦作万方,bottom_area,2021-10-15,8.08,2021-10-13,7.75,4.258064516129033,7.225806451612909,29.41712204007286,True,-1.2225,2.5941,2,2,2,100.0,18.185863957560837,20.790629575402633,5.741935483870968,4.258064516129033,历史2/2次成功; 当前距低点4.26%; 最新日涨幅-1.22%; 状态bottom_area; 底部已确认
9,74.20688340391867,71.93358719460825,001212,中旗新材,bottom_area,2021-10-15,31.01,2021-10-12,30.0,3.366666666666672,6.733333333333344,32.65993265993266,False,-0.8315,2.2939,1,1,1,100.0,25.105307497893843,25.105307497893843,6.633333333333328,3.366666666666672,历史1/1次成功; 当前距低点3.37%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
10,73.32846728853426,70.76033169795221,605169,洪通燃气,confirmed_rebound,2021-10-15,18.13,2021-10-13,17.58,3.128555176336751,11.14903299203641,27.59472817133444,False,-1.2527,12.4249,1,1,1,100.0,26.09375,26.09375,6.87144482366325,3.128555176336751,历史1/1次成功; 当前距低点3.13%; 最新日涨幅-1.25%; 状态confirmed_rebound; 底部未确认
11,73.0040032047299,72.56428939525989,002833,弘亚数控,bottom_area,2021-10-15,31.52,2021-10-13,30.11,4.6828296247094,7.871139156426428,30.86107921928817,True,-1.1602,2.9988,1,1,1,100.0,35.43624161073825,35.43624161073825,5.317170375290601,4.6828296247094,历史1/1次成功; 当前距低点4.68%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
12,68.36300866907347,67.39277939598344,605589,圣泉集团,bottom_area,2021-10-15,30.91,2021-09-29,29.65,4.249578414839803,6.239460370994946,28.69167869167869,False,-0.097,4.1473,1,1,1,100.0,11.515151515151507,11.515151515151507,5.750421585160197,4.249578414839803,历史1/1次成功; 当前距低点4.25%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
