rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.47448802013463,84.16494556765164,000957,中通客车,bottom_area,2022-10-10,13.1,2022-09-30,12.86,1.8662519440124437,6.531881804043545,29.534246575342472,False,1.5504,9.3016,1,1,1,100.0,354.54545454545456,354.54545454545456,13.133748055987557,1.8662519440124437,历史1/1次成功; 当前距低点1.87%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
2,91.27873340641513,81.16025874018175,002221,东华能源,bottom_area,2022-10-10,7.64,2022-10-10,7.55,1.1920529801324484,4.238410596026494,27.26396917148363,False,0.2625,0.6571,1,1,1,100.0,25.581395348837223,25.581395348837223,13.80794701986755,1.1920529801324484,历史1/1次成功; 当前距低点1.19%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
3,89.83667589642045,79.75438077634014,603333,尚纬股份,bottom_area,2022-10-10,5.47,2022-10-10,5.41,1.109057301293893,4.0665434380776295,28.62796833773087,False,0.367,1.5317,1,1,1,100.0,17.005545286506468,17.005545286506468,13.890942698706107,1.109057301293893,历史1/1次成功; 当前距低点1.11%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
4,88.9140910634825,79.06442645074223,600178,东安动力,bottom_area,2022-10-10,5.92,2022-10-10,5.85,1.1965811965812014,3.247863247863255,28.13267813267814,False,-0.6711,0.5975,1,1,1,100.0,36.84210526315788,36.84210526315788,13.803418803418799,1.1965811965812014,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
5,87.64196472437268,78.47529632054872,002173,创新医疗,bottom_area,2022-10-10,5.83,2022-10-10,5.74,1.5679442508710777,6.445993031358886,32.62910798122065,False,-1.8519,4.1313,2,2,2,100.0,21.560264583520393,24.903474903474905,13.43205574912892,1.5679442508710777,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
6,87.48197955115864,76.07128656622491,000620,盈新发展,bottom_area,2022-10-10,3.24,2022-10-10,3.24,0.0,8.024691358024684,27.516778523489926,False,-10.0,10.9653,3,3,3,100.0,35.0606804635748,58.4192439862543,15.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
7,86.82422693125811,76.00911791179117,002202,金风科技,bottom_area,2022-10-10,11.15,2022-10-10,11.11,0.36003600360036836,3.78037803780378,29.50507614213198,False,-1.6755,0.48,1,1,1,100.0,55.172413793103445,55.172413793103445,14.63996399639963,0.36003600360036836,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
8,86.37130533086604,77.70699691693272,002034,旺能环境,bottom_area,2022-10-10,17.87,2022-10-10,17.55,1.823361823361825,4.216524216524207,27.419354838709676,False,-0.279,0.3891,1,1,1,100.0,37.22721437740692,37.22721437740692,13.176638176638175,1.823361823361825,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
9,86.28521696661146,75.71780487804881,600135,乐凯胶片,bottom_area,2022-10-10,6.18,2022-10-10,6.15,0.4878048780487701,3.2520325203251916,29.553264604810998,False,-1.9048,0.583,1,1,1,100.0,56.981132075471706,56.981132075471706,14.51219512195123,0.4878048780487701,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
10,86.14066434080982,77.89133320233942,300541,先进数通,bottom_area,2022-10-10,10.24,2022-10-10,10.03,2.0937188434696,4.0877367896311085,31.675749318801095,False,0.6883,1.9615,1,1,1,100.0,19.05920519059205,19.05920519059205,12.9062811565304,2.0937188434696,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
11,85.95172841543838,75.53699432892249,000678,襄阳轴承,bottom_area,2022-10-10,5.32,2022-10-10,5.29,0.5671077504725945,5.1039697542533,30.84967320261438,False,-2.0258,3.6372,1,1,1,100.0,121.62162162162164,121.62162162162164,14.432892249527404,0.5671077504725945,历史1/1次成功; 当前距低点0.57%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
12,85.84362869057074,75.30296842501758,002375,亚厦股份,bottom_area,2022-10-10,4.29,2022-10-10,4.27,0.46838407494146284,3.747072599531619,28.475711892797325,False,-2.0548,0.597,2,2,2,100.0,30.864968364968366,36.9047619047619,14.531615925058535,0.46838407494146284,历史2/2次成功; 当前距低点0.47%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
13,85.68913740067848,79.9899067164179,688010,福光股份,bottom_area,2022-10-10,19.93,2022-09-26,19.2,3.8020833333333357,7.8125,31.379556826304505,True,1.7356,0.2474,1,1,1,100.0,42.08955223880597,42.08955223880597,11.197916666666663,3.8020833333333357,历史1/1次成功; 当前距低点3.80%; 最新日涨幅1.74%; 状态bottom_area; 底部已确认
14,85.6749917603452,76.87035435006034,000688,国城矿业,bottom_area,2022-10-10,16.37,2022-09-29,16.1,1.6770186335403698,5.838509316770172,32.88870362651103,False,-0.3652,0.4924,1,1,1,100.0,30.935251798561143,30.935251798561143,13.32298136645963,1.6770186335403698,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
15,85.38395413102711,76.31262259392146,002053,云南能投,bottom_area,2022-10-10,10.36,2022-10-10,10.21,1.4691478942213376,3.8197845249755025,30.068493150684922,False,-0.5758,0.5423,1,1,1,100.0,25.38860103626942,25.38860103626942,13.530852105778662,1.4691478942213376,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
