rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.74780938078526,83.04282194036881,300510,金冠股份,bottom_area,2025-09-12,4.55,2025-09-03,4.43,2.7088036117381518,6.997742663656896,30.01579778830964,False,-1.087,3.5166,4,4,4,100.0,26.76824825339677,40.000000000000014,7.291196388261849,2.7088036117381518,历史4/4次成功; 当前距低点2.71%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
2,83.15804044936057,82.09889149946393,302132,中航成飞,bottom_area,2025-09-12,82.94,2025-09-09,79.5,4.32704402515723,6.163522012578623,27.595628415300546,False,0.157,2.8756,4,4,4,100.0,19.056730520550555,28.81165919282512,5.672955974842771,4.32704402515723,历史4/4次成功; 当前距低点4.33%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
3,79.48463560265436,73.57280809174782,002041,登海种业,bottom_area,2025-09-12,9.62,2025-06-23,9.53,0.9443861490031464,7.345225603357829,29.719764011799416,True,-0.5171,1.6072,2,2,2,100.0,18.2043468358871,21.395106715252467,9.055613850996854,0.9443861490031464,历史2/2次成功; 当前距低点0.94%; 最新日涨幅-0.52%; 状态bottom_area; 底部已确认
4,79.30448623932364,76.75343283582092,301009,可靠股份,bottom_area,2025-09-12,13.84,2025-09-05,13.4,3.2835820895522354,5.522388059701494,27.762803234501348,False,-0.8596,2.5393,1,1,1,100.0,53.96648044692738,53.96648044692738,6.716417910447765,3.2835820895522354,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
5,78.666892154966,76.99995176746216,300902,国安达,bottom_area,2025-09-12,23.05,2025-09-04,22.19,3.875619648490308,5.04731861198737,32.798304058146584,False,0.0,3.9704,2,2,2,100.0,19.4428202474198,26.906779661016937,6.124380351509692,3.875619648490308,历史2/2次成功; 当前距低点3.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,78.49204565839601,77.77193514776852,000561,烽火电子,bottom_area,2025-09-12,11.34,2025-09-04,10.85,4.516129032258067,6.267281105990781,32.60869565217392,False,-0.2639,3.3125,4,4,4,100.0,20.584458824284518,31.050955414012744,5.483870967741933,4.516129032258067,历史4/4次成功; 当前距低点4.52%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
7,77.03414351301878,75.84651130749222,002826,易明医药,bottom_area,2025-09-12,19.67,2025-09-03,18.88,4.18432203389832,7.786016949152555,29.631010063361906,True,-1.1061,4.1657,2,2,2,100.0,30.305191100969765,50.0,5.815677966101681,4.18432203389832,历史2/2次成功; 当前距低点4.18%; 最新日涨幅-1.11%; 状态bottom_area; 底部已确认
8,76.33040699251663,73.60375813649651,300645,正元智慧,bottom_area,2025-09-12,18.68,2025-09-05,18.12,3.0905077262693084,5.242825607064013,27.3164861612515,False,-0.4264,5.3624,1,1,1,100.0,30.699547055863096,30.699547055863096,6.9094922737306925,3.0905077262693084,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
9,73.48805372486721,71.6010934990792,300192,科德教育,bottom_area,2025-09-12,19.39,2025-09-09,18.71,3.634420096205236,6.146445750935321,32.649388048956084,False,-1.4235,6.7829,1,1,1,100.0,26.599845797995382,26.599845797995382,6.365579903794765,3.634420096205236,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
10,72.16543447792573,65.60494043447792,600475,华光环能,bottom_area,2025-09-12,16.25,2025-09-12,16.25,0.0,0.0,30.257510729613735,False,-10.0221,1.0319,1,1,1,100.0,12.123335669236162,12.123335669236162,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
11,66.25013866626426,61.885576925222274,601669,中国电建,bottom_area,2025-09-12,5.7,2025-09-10,5.62,1.4234875444839872,3.3807829181494573,28.31632653061224,False,0.1757,3.248,1,2,1,50.0,16.457680250783696,16.457680250783696,8.576512455516013,1.4234875444839872,历史1/2次成功; 当前距低点1.42%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
12,62.53174291208749,60.58297689878862,605169,洪通燃气,bottom_area,2025-09-12,14.86,2025-09-05,14.38,3.3379694019471393,4.033379694019472,31.064237775647165,False,-0.2685,1.2827,2,4,2,50.0,22.06208137219406,26.09375,6.662030598052862,3.3379694019471393,历史2/4次成功; 当前距低点3.34%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
13,59.87641822691707,55.05428738177572,603839,安正时尚,bottom_area,2025-09-12,8.46,2025-09-11,8.41,0.5945303210463818,4.875148632580263,27.374784110535405,False,-1.3986,6.0631,1,2,1,50.0,31.88073394495412,31.88073394495412,9.405469678953619,0.5945303210463818,历史1/2次成功; 当前距低点0.59%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
