rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.20418518744722,81.33560098881402,300382,斯莱克,bottom_area,2023-03-24,15.49,2023-03-24,15.34,0.9778357235984377,1.4341590612777095,30.336058128973658,False,0.5191,1.0395,3,3,3,100.0,30.403583003325068,49.70059880239522,7.022164276401563,0.9778357235984377,历史3/3次成功; 当前距低点0.98%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
2,83.31817260283194,81.48283116304302,688221,前沿生物,confirmed_rebound,2023-03-24,13.39,2023-03-20,13.02,2.8417818740399463,8.525345622119824,30.00000000000001,True,-1.5441,1.7835,5,5,5,100.0,21.032762558355284,34.87394957983194,5.158218125960054,2.8417818740399463,历史5/5次成功; 当前距低点2.84%; 最新日涨幅-1.54%; 状态confirmed_rebound; 底部已确认
3,82.4434337901791,78.65144137415982,002645,华宏科技,bottom_area,2023-03-24,15.05,2023-03-20,14.82,1.5519568151147127,4.588394062078271,29.22636103151863,False,0.8713,0.922,1,1,1,100.0,16.50485436893203,16.50485436893203,6.448043184885288,1.5519568151147127,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
4,79.57104015767264,75.37220325793155,605128,上海沿浦,bottom_area,2023-03-24,41.1,2023-03-20,40.62,1.1816838995568784,6.893156080748411,31.731092436974794,False,-1.4152,2.0489,1,1,1,100.0,16.80883090817863,16.80883090817863,6.8183161004431225,1.1816838995568784,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
5,79.21316707968751,78.07269581656837,002824,和胜股份,bottom_area,2023-03-24,31.49,2023-03-21,30.5,3.245901639344257,7.409836065573764,28.904428904428904,True,-0.6938,2.2098,3,3,3,100.0,14.104040614372417,19.06976744186047,4.754098360655743,3.245901639344257,历史3/3次成功; 当前距低点3.25%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
6,78.58405739591622,76.38766883970132,688348,昱能科技,bottom_area,2023-03-24,341.75,2023-03-24,333.33,2.5260252602526077,5.832058320583205,28.966884030175173,False,0.0322,7.2275,1,1,1,100.0,16.27422813482398,16.27422813482398,5.473974739747392,2.5260252602526077,历史1/1次成功; 当前距低点2.53%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
7,77.48539670769465,73.71663800089902,300767,震安科技,bottom_area,2023-03-24,41.78,2023-03-24,41.2,1.407766990291258,4.708737864077664,27.05382436260622,False,-2.8598,1.2962,1,1,1,100.0,10.679283541737075,10.679283541737075,6.5922330097087425,1.407766990291258,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
8,77.40385758312223,77.38013953269076,002347,泰尔股份,bottom_area,2023-03-24,5.22,2023-03-20,5.02,3.9840637450199243,4.581673306772918,29.09604519774012,False,0.578,2.1456,2,2,2,100.0,22.816155222237516,29.585798816568047,4.015936254980076,3.9840637450199243,历史2/2次成功; 当前距低点3.98%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
9,77.40095317665832,75.21294036601074,601958,金钼股份,bottom_area,2023-03-24,11.44,2023-03-24,11.16,2.508960573476697,3.494623655913984,27.62645914396887,False,0.8818,0.7162,1,1,1,100.0,9.749303621169918,9.749303621169918,5.491039426523303,2.508960573476697,历史1/1次成功; 当前距低点2.51%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
10,76.6972381598982,71.62771144312534,002374,中锐股份,bottom_area,2023-03-24,4.51,2023-03-20,4.49,0.4454342984409705,3.1180400890868527,27.346278317152095,False,-0.2212,0.8779,2,2,2,100.0,10.82420238478892,12.068965517241388,7.55456570155903,0.4454342984409705,历史2/2次成功; 当前距低点0.45%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
11,76.20047683409926,76.26337446252197,000887,中鼎股份,bottom_area,2023-03-24,12.61,2023-03-20,12.12,4.042904290429044,6.600660066006607,28.45336481700119,False,0.1589,0.9508,2,2,2,100.0,17.53331314354936,23.84615384615385,3.9570957095709556,4.042904290429044,历史2/2次成功; 当前距低点4.04%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
12,74.90896239554309,74.26453951937772,002324,普利特,bottom_area,2023-03-24,14.29,2023-03-20,13.8,3.5507246376811477,7.391304347826083,29.01234567901235,True,1.2757,1.646,1,1,1,100.0,8.226837060702884,8.226837060702884,4.449275362318852,3.5507246376811477,历史1/1次成功; 当前距低点3.55%; 最新日涨幅1.28%; 状态bottom_area; 底部已确认
13,69.52355110125845,70.18769270969428,000525,红太阳,bottom_area,2023-03-24,9.3,2023-03-21,8.9,4.494382022471914,7.191011235955043,29.75532754538279,True,-1.7951,1.0058,1,1,1,100.0,20.348837209302317,20.348837209302317,3.505617977528086,4.494382022471914,历史1/1次成功; 当前距低点4.49%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
14,46.405437077833454,46.478344284554325,601633,长城汽车,bottom_area,2023-03-24,27.03,2023-03-20,25.97,4.0816326530612335,5.3908355795148335,27.80094523213789,False,-0.4053,0.2043,1,3,1,33.33333333333333,8.124373119358085,8.124373119358085,3.918367346938767,4.0816326530612335,历史1/3次成功; 当前距低点4.08%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
