rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.33947872274405,76.50575261683623,002075,沙钢股份,bottom_area,2021-11-02,6.01,2021-11-02,5.95,1.0084033613445313,4.537815126050413,31.687715269804826,False,-3.0645,1.749,1,1,1,100.0,30.994152046783608,30.994152046783608,13.991596638655468,1.0084033613445313,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
2,85.69232897269727,76.188509999074,603069,海汽集团,bottom_area,2021-11-02,14.47,2021-10-29,14.3,1.1888111888111883,5.244755244755245,29.03225806451612,False,-2.7554,0.7032,1,1,1,100.0,21.284943599803825,21.284943599803825,13.811188811188813,1.1888111888111883,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
3,84.75623099078146,75.24857370336171,002233,塔牌集团,bottom_area,2021-11-02,10.0,2021-11-02,9.89,1.1122345803842206,4.651162790697665,31.080139372822295,False,-2.7237,2.0293,1,1,1,100.0,15.292841648590022,15.292841648590022,13.887765419615777,1.1122345803842206,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
4,84.10600491120792,75.93497391525639,600331,宏达股份,bottom_area,2021-11-02,3.55,2021-11-02,3.48,2.011494252873559,8.62068965517241,27.950310559006216,False,-5.0802,3.8207,1,1,1,100.0,40.221402214022135,40.221402214022135,12.98850574712644,2.011494252873559,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
5,81.8117122439479,73.61367535269333,300417,南华仪器,bottom_area,2021-11-02,11.13,2021-10-28,10.93,1.829826166514191,5.946935041171092,27.80713342140027,False,-3.1332,2.9246,1,1,1,100.0,25.514403292181065,25.514403292181065,13.17017383348581,1.829826166514191,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
6,77.38395022321072,71.39145517306902,000868,安凯客车,bottom_area,2021-11-02,3.58,2021-10-29,3.47,3.1700288184438,5.475504322766569,28.008298755186722,False,-0.2786,0.797,1,1,1,100.0,19.780219780219785,19.780219780219785,11.8299711815562,3.1700288184438,历史1/1次成功; 当前距低点3.17%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
7,75.31099006585461,71.39490364869835,002111,威海广泰,bottom_area,2021-11-02,11.75,2021-11-01,11.23,4.630454140694564,6.945681211041846,29.98753117206982,False,1.2931,2.1878,1,1,1,100.0,15.227629513343796,15.227629513343796,10.369545859305434,4.630454140694564,历史1/1次成功; 当前距低点4.63%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
8,70.20729780762578,66.91123864150006,601666,平煤股份,bottom_area,2021-11-02,8.11,2021-11-02,7.73,4.915912031047853,9.831824062095727,30.04524886877828,False,-3.222,3.9513,1,1,1,100.0,27.30923694779115,27.30923694779115,10.084087968952145,4.915912031047853,历史1/1次成功; 当前距低点4.92%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
9,57.56029265255292,50.05242839352428,000695,滨海能源,bottom_area,2021-11-02,9.12,2021-11-02,9.12,0.0,9.868421052631584,27.09832134292566,False,-9.9704,4.9111,1,2,1,50.0,20.174346201743475,20.174346201743475,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
