rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.10761492363244,78.7666310160428,601619,嘉泽新能,bottom_area,2025-10-30,4.31,2025-10-29,4.25,1.4117647058823437,3.7647058823529442,28.451178451178453,False,-1.8223,2.2609,1,1,1,100.0,37.878787878787875,37.878787878787875,18.58823529411766,1.4117647058823437,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
2,88.5181667125107,75.4135863198996,301117,佳缘科技,bottom_area,2025-10-30,32.71,2025-10-30,32.32,1.2066831683168335,3.496287128712879,27.370786516853933,False,-5.5443,13.9718,1,1,1,100.0,27.552816901408463,27.552816901408463,18.793316831683168,1.2066831683168335,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
3,87.64677338165508,75.84433099672599,300141,和顺电气,bottom_area,2025-10-30,11.4,2025-10-23,11.17,2.0590868397493325,8.504923903312438,27.935483870967744,True,-3.7975,6.3216,1,1,1,100.0,31.123919308357333,31.123919308357333,17.94091316025067,2.0590868397493325,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-3.80%; 状态bottom_area; 底部已确认
4,87.18,72.65,301112,信邦智能,bottom_area,2025-10-30,44.25,2025-10-30,44.25,0.0,6.214689265536723,28.62903225806452,False,-6.8421,5.6023,1,1,1,100.0,146.66666666666666,146.66666666666666,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
5,86.1803935604267,77.09906832298137,301009,可靠股份,bottom_area,2025-10-30,13.38,2025-09-23,12.88,3.881987577639751,9.627329192546572,30.566037735849054,True,-0.5204,2.7632,1,1,1,100.0,53.96648044692738,53.96648044692738,16.118012422360252,3.881987577639751,历史1/1次成功; 当前距低点3.88%; 最新日涨幅-0.52%; 状态bottom_area; 底部已确认
6,83.85545403852913,73.62917915578167,605488,福莱新材,bottom_area,2025-10-30,30.96,2025-10-23,30.1,2.857142857142855,6.312292358803982,27.64423076923077,False,-1.9322,1.7912,1,1,1,100.0,27.975617581007374,27.975617581007374,17.142857142857146,2.857142857142855,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
7,69.05441033705347,61.505188435644634,605398,新炬网络,bottom_area,2025-10-30,29.33,2025-10-13,28.3,3.63957597173144,8.8339222614841,28.172588832487307,True,-1.3122,1.2749,2,4,2,50.0,21.523772318238297,22.15700660308142,16.36042402826856,3.63957597173144,历史2/4次成功; 当前距低点3.64%; 最新日涨幅-1.31%; 状态bottom_area; 底部已确认
8,67.1890863535707,58.24109960288892,603305,旭升集团,bottom_area,2025-10-30,14.71,2025-10-23,14.4,2.1527777777777812,5.416666666666662,29.064039408867,False,-1.8679,4.0221,2,6,2,33.33333333333333,31.05429894026305,32.41061130334487,17.84722222222222,2.1527777777777812,历史2/6次成功; 当前距低点2.15%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
9,66.73634970949904,55.783649736330844,002123,梦网科技,bottom_area,2025-10-30,12.03,2025-10-30,12.01,0.16652789342214466,1.4154870940882591,30.778097982708942,False,-1.5548,2.6262,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,19.833472106577858,0.16652789342214466,历史1/3次成功; 当前距低点0.17%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
10,65.86446842356018,58.59109154243083,000428,华天酒店,bottom_area,2025-10-30,3.19,2025-10-13,3.08,3.571428571428567,8.766233766233766,28.70370370370371,True,-1.2384,1.6333,2,5,2,40.0,26.687896157462177,28.045977011494273,16.428571428571434,3.571428571428567,历史2/5次成功; 当前距低点3.57%; 最新日涨幅-1.24%; 状态bottom_area; 底部已确认
11,62.79026132373086,53.96987619539038,300563,神宇股份,bottom_area,2025-10-30,37.3,2025-10-23,36.68,1.6902944383860345,6.27044711014176,28.776699029126213,False,-2.356,4.3046,1,4,1,25.0,20.477137176938378,20.477137176938378,18.309705561613967,1.6902944383860345,历史1/4次成功; 当前距低点1.69%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
12,61.51346969030604,51.83252511898466,002678,珠江钢琴,bottom_area,2025-10-30,4.99,2025-10-30,4.96,0.6048387096774244,3.83064516129033,29.0414878397711,False,-2.1569,3.1054,1,4,1,25.0,35.5191256830601,35.5191256830601,19.395161290322577,0.6048387096774244,历史1/4次成功; 当前距低点0.60%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
13,61.43753019080307,54.5513621834276,600706,曲江文旅,bottom_area,2025-10-30,10.14,2025-10-13,9.8,3.4693877551020393,6.632653061224475,31.420573827851634,False,-1.0732,2.9269,1,2,1,50.0,24.578313253012034,24.578313253012034,16.530612244897963,3.4693877551020393,历史1/2次成功; 当前距低点3.47%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
14,54.55965331098276,49.57859054768919,002022,科华生物,bottom_area,2025-10-30,6.41,2025-10-13,6.12,4.738562091503269,9.640522875816991,27.573964497041416,True,-2.1374,1.5211,1,4,1,25.0,25.04038772213247,25.04038772213247,15.261437908496733,4.738562091503269,历史1/4次成功; 当前距低点4.74%; 最新日涨幅-2.14%; 状态bottom_area; 底部已确认
