rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.4434729396464,84.69830899375845,603221,爱丽家居,bottom_area,2025-04-24,10.46,2025-04-24,10.29,1.6520894071914645,2.526724975704583,29.761092150170654,False,0.9653,3.4342,3,3,3,100.0,16.908993775026747,17.92336217552533,13.347910592808535,1.6520894071914645,历史3/3次成功; 当前距低点1.65%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
2,89.36401028163142,79.44029194530394,600371,万向德农,bottom_area,2025-04-24,9.43,2025-04-24,9.32,1.1802575107296076,3.433476394849788,27.187500000000004,False,-0.6322,5.7361,1,1,1,100.0,38.66279069767441,38.66279069767441,13.819742489270393,1.1802575107296076,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
3,87.58319135619254,79.30214689265536,301058,中粮科工,bottom_area,2025-04-24,10.85,2025-04-24,10.62,2.1657250470809837,2.7306967984934176,28.629032258064523,False,-0.55,2.9344,1,1,1,100.0,57.794273594909875,57.794273594909875,12.834274952919017,2.1657250470809837,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
4,85.78740558745632,75.22403101885162,001234,泰慕士,bottom_area,2025-04-24,20.21,2025-04-24,20.12,0.44731610337972094,3.379721669980118,32.25589225589225,False,-5.3396,9.1197,3,3,3,100.0,23.73070825030851,31.93277310924369,14.552683896620277,0.44731610337972094,历史3/3次成功; 当前距低点0.45%; 最新日涨幅-5.34%; 状态bottom_area; 底部未确认
5,84.67067217060354,75.71631637458958,688206,概伦电子,bottom_area,2025-04-24,21.0,2025-04-24,20.69,1.4983083615273016,3.18994683421943,27.122226135963363,False,-1.5471,2.0486,3,4,3,75.0,26.70677117673022,39.570720968629594,13.501691638472698,1.4983083615273016,历史3/4次成功; 当前距低点1.50%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
6,83.4283654781251,75.27528102375194,603169,兰石重装,bottom_area,2025-04-24,7.22,2025-04-22,7.08,1.9774011299434981,7.203389830508472,27.755102040816332,False,-0.9602,7.9074,3,4,3,75.0,30.208363440984503,49.872122762148344,13.022598870056502,1.9774011299434981,历史3/4次成功; 当前距低点1.98%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
7,78.90860463586495,69.3202638962815,300153,科泰电源,bottom_area,2025-04-24,27.61,2025-04-22,27.46,0.5462490895848455,10.415149308084484,28.823224468636592,True,-5.7036,10.018,1,1,1,100.0,17.342536669542692,17.342536669542692,14.453750910415152,0.5462490895848455,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-5.70%; 状态bottom_area; 底部已确认
8,76.62315681407982,71.30128751885786,000668,荣丰控股,bottom_area,2025-04-24,4.85,2025-04-24,4.68,3.6324786324786316,7.6923076923077,28.110599078341014,False,-6.0078,10.2948,2,2,2,100.0,18.512574198436226,20.604914933837428,11.367521367521368,3.6324786324786316,历史2/2次成功; 当前距低点3.63%; 最新日涨幅-6.01%; 状态bottom_area; 底部未确认
9,64.77112352091343,56.32271610514212,300757,罗博特科,bottom_area,2025-04-24,127.8,2025-04-24,127.8,0.0,8.6697965571205,29.945732609768132,False,-10.6044,7.6368,3,7,3,42.857142857142854,36.02842760061045,74.11052233156698,15.0,0.0,历史3/7次成功; 当前距低点0.00%; 最新日涨幅-10.60%; 状态bottom_area; 底部未确认
