rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.44211906419352,79.50331706645811,002347,泰尔股份,bottom_area,2023-04-04,4.98,2023-04-04,4.92,1.2195121951219614,4.065040650406507,30.508474576271187,False,-2.924,4.3225,2,2,2,100.0,22.816155222237516,29.585798816568047,8.78048780487804,1.2195121951219614,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
2,84.27509415882395,78.76177024189155,603030,全筑股份,bottom_area,2023-04-04,2.1,2023-04-04,2.07,1.4492753623188528,4.347826086956537,27.368421052631586,False,-2.7778,4.101,2,2,2,100.0,21.645796064400706,27.906976744186036,8.550724637681148,1.4492753623188528,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
3,82.15492641790087,75.41157407608473,603356,华菱精工,bottom_area,2023-04-04,11.91,2023-04-04,11.85,0.5063291139240548,2.9535864978902926,30.088495575221234,False,-2.0559,2.485,2,2,2,100.0,31.91400245070737,38.38297872340427,9.493670886075947,0.5063291139240548,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
4,81.29915143065254,75.07659984508292,300699,光威复材,bottom_area,2023-04-04,50.3,2023-04-04,49.89,0.8218079775506044,3.4676287833233053,31.900081900081904,False,-2.102,2.5358,2,2,2,100.0,33.98022598870056,49.6271186440678,9.178192022449396,0.8218079775506044,历史2/2次成功; 当前距低点0.82%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
5,80.82964335073828,75.1280802793844,001299,美能能源,bottom_area,2023-04-04,16.55,2023-03-31,16.36,1.161369193154042,4.217603911980448,27.610619469026553,False,-1.955,4.1064,1,1,1,100.0,15.247322794492616,15.247322794492616,8.838630806845957,1.161369193154042,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
6,80.0317794250786,76.03386951202688,000887,中鼎股份,bottom_area,2023-04-04,12.4,2023-03-20,12.12,2.31023102310232,6.600660066006607,28.45336481700119,False,-2.2853,1.3943,2,2,2,100.0,17.53331314354936,23.84615384615385,7.68976897689768,2.31023102310232,历史2/2次成功; 当前距低点2.31%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
7,79.92652885475692,78.10066202630415,300393,中来股份,bottom_area,2023-04-04,14.8,2023-03-20,14.26,3.7868162692847194,7.8541374474053365,27.61421319796954,True,-2.3102,3.1489,3,3,3,100.0,20.884963012222048,23.89610389610389,6.213183730715281,3.7868162692847194,历史3/3次成功; 当前距低点3.79%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
8,79.56590137777357,72.72962824404131,603315,福鞍股份,bottom_area,2023-04-04,13.99,2023-04-04,13.95,0.28673835125448693,3.369175627240148,29.758308157099698,False,-3.5172,0.8656,1,1,1,100.0,41.68490153172865,41.68490153172865,9.713261648745513,0.28673835125448693,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
9,78.77488105000977,71.73082215488549,300530,领湃科技,bottom_area,2023-04-04,23.35,2023-04-04,23.33,0.08572653236177938,2.9147021003000573,27.207488299531978,False,-2.7489,0.5164,3,4,3,75.0,27.802573379948058,34.07510431154381,9.914273467638221,0.08572653236177938,历史3/4次成功; 当前距低点0.09%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
10,76.67292575518856,74.6123308475949,000661,长春高新,bottom_area,2023-04-04,162.76,2023-03-20,157.15,3.5698377346484156,9.436843779828179,28.379363777230875,True,0.1046,1.3577,1,1,1,100.0,10.330972487060738,10.330972487060738,6.430162265351585,3.5698377346484156,历史1/1次成功; 当前距低点3.57%; 最新日涨幅0.10%; 状态bottom_area; 底部已确认
11,76.26662275198484,72.15623465906195,300767,震安科技,bottom_area,2023-04-04,40.99,2023-03-28,40.15,2.0921544209215526,4.209215442092167,28.9128895184136,False,-0.6303,0.8227,1,1,1,100.0,10.679283541737075,10.679283541737075,7.907845579078448,2.0921544209215526,历史1/1次成功; 当前距低点2.09%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
