rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.40841997503118,86.488202247191,002685,华东重机,bottom_area,2024-04-23,2.7,2024-04-16,2.67,1.123595505617987,7.490636704119858,28.22580645161291,True,-0.369,1.1663,2,2,2,100.0,62.24778046811945,109.52380952380952,6.876404494382013,1.123595505617987,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-0.37%; 状态bottom_area; 底部已确认
2,84.7197126079707,79.18918006054611,002459,晶澳科技,bottom_area,2024-04-23,14.33,2024-04-23,14.26,0.4908835904628351,5.4698457223001355,30.37109375,False,-2.979,1.5679,4,4,4,100.0,18.701046488179387,26.683937823834192,7.509116409537166,0.4908835904628351,历史4/4次成功; 当前距低点0.49%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
3,84.44773602775327,78.53059377952242,300769,德方纳米,bottom_area,2024-04-23,31.3,2024-04-22,31.23,0.22414345180915873,4.482869036183164,27.355198883461274,False,-0.1595,2.7731,5,5,5,100.0,11.890542202404806,20.592193808882907,7.775856548190842,0.22414345180915873,历史5/5次成功; 当前距低点0.22%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
4,83.60360008192144,83.28962870669201,002256,兆新股份,confirmed_rebound,2024-04-23,1.91,2024-04-16,1.84,3.8043478260869477,8.152173913043473,30.82706766917293,True,0.5263,0.7316,5,5,5,100.0,20.07280510844219,31.775700934579426,4.195652173913053,3.8043478260869477,历史5/5次成功; 当前距低点3.80%; 最新日涨幅0.53%; 状态confirmed_rebound; 底部已确认
5,82.35100029778467,80.52150051177071,300725,药石科技,confirmed_rebound,2024-04-23,30.14,2024-04-16,29.31,2.8317980211531966,9.757761856021846,27.053260328521656,True,0.2661,3.2575,1,1,1,100.0,43.26881720430109,43.26881720430109,5.168201978846803,2.8317980211531966,历史1/1次成功; 当前距低点2.83%; 最新日涨幅0.27%; 状态confirmed_rebound; 底部已确认
6,81.44295164178574,80.89747823980929,002432,九安医疗,bottom_area,2024-04-23,41.17,2024-04-17,39.72,3.6505538771399872,4.1792547834844,27.75554747180793,False,2.2349,2.2999,2,2,2,100.0,37.638392901550795,65.03496503496503,4.349446122860013,3.6505538771399872,历史2/2次成功; 当前距低点3.65%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
7,80.30323376882087,79.73519326787599,002022,科华生物,bottom_area,2024-04-23,6.85,2024-04-22,6.61,3.630862329803318,3.7821482602118,27.362637362637354,False,0.7353,0.7733,3,3,3,100.0,14.481502042083621,25.04038772213247,4.369137670196682,3.630862329803318,历史3/3次成功; 当前距低点3.63%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
8,79.10638819226375,78.4191399937727,603259,药明康德,bottom_area,2024-04-23,42.63,2024-04-16,41.17,3.5462715569589527,7.724070925431138,30.078125,True,1.2589,3.6178,2,2,2,100.0,13.842145933543593,14.040390163483993,4.453728443041047,3.5462715569589527,历史2/2次成功; 当前距低点3.55%; 最新日涨幅1.26%; 状态bottom_area; 底部已确认
9,78.49276042808972,77.35960564123225,300759,康龙化成,bottom_area,2024-04-23,18.46,2024-04-23,17.88,3.2438478747203687,4.25055928411634,28.19277108433735,False,1.596,1.6733,2,2,2,100.0,13.632144062337028,16.594594594594597,4.756152125279631,3.2438478747203687,历史2/2次成功; 当前距低点3.24%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
10,78.25906680449157,73.31180667125015,002129,TCL中环,bottom_area,2024-04-23,9.97,2024-04-23,9.91,0.6054490413723561,5.146316851664983,28.807471264367813,False,-2.8265,2.214,2,2,2,100.0,21.839948847199626,31.12759643916912,7.394550958627644,0.6054490413723561,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
11,77.29678467550656,72.43018963952666,002271,东方雨虹,bottom_area,2024-04-23,12.99,2024-04-23,12.91,0.6196746707978317,3.7955073586367174,29.065934065934062,False,-2.8422,3.1473,2,2,2,100.0,17.274451015837123,19.371959310039802,7.380325329202169,0.6196746707978317,历史2/2次成功; 当前距低点0.62%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
12,76.9668041454495,78.13826282592639,603230,内蒙新华,bottom_area,2024-04-23,12.7,2024-04-16,12.12,4.785478547854787,7.013201320132026,27.207207207207208,True,0.3953,4.931,2,2,2,100.0,27.522332876533863,31.521142229544196,3.2145214521452137,4.785478547854787,历史2/2次成功; 当前距低点4.79%; 最新日涨幅0.40%; 状态bottom_area; 底部已确认
13,76.93922744597002,76.91204204083039,000856,冀东装备,bottom_area,2024-04-23,6.79,2024-04-22,6.53,3.981623277182232,4.900459418070435,30.45793397231097,False,1.6467,3.2678,2,2,2,100.0,20.269586627988584,25.237449118046136,4.018376722817768,3.981623277182232,历史2/2次成功; 当前距低点3.98%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
14,76.43055010105378,75.32839177899439,301520,万邦医药,confirmed_rebound,2024-04-23,42.32,2024-04-16,40.99,3.2446938277628643,10.026835813613074,27.80908770693906,False,1.0989,6.3011,1,1,1,100.0,29.60372960372961,29.60372960372961,4.755306172237136,3.2446938277628643,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.10%; 状态confirmed_rebound; 底部未确认
15,76.36442439531416,73.22616037906838,603031,安孚科技,bottom_area,2024-04-23,29.68,2024-04-19,29.15,1.8181818181818223,4.631217838765013,32.83410138248848,False,-0.101,1.0859,1,1,1,100.0,13.073198518940481,13.073198518940481,6.181818181818178,1.8181818181818223,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
16,75.4018577786489,76.71589860523028,688276,百克生物,bottom_area,2024-04-23,40.26,2024-04-23,38.38,4.898384575299623,5.471599791558088,30.471014492753625,False,1.283,1.8532,3,3,3,100.0,13.786104499534513,16.844155844155843,3.101615424700377,4.898384575299623,历史3/3次成功; 当前距低点4.90%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
17,75.11524791048592,70.08551617190962,301539,宏鑫科技,bottom_area,2024-04-23,25.26,2024-04-23,25.16,0.3974562798092266,4.650238473767878,31.815718157181568,False,-2.8462,29.7873,1,1,1,100.0,18.61137897782063,18.61137897782063,7.602543720190774,0.3974562798092266,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
18,74.32118963370911,74.46190504481744,002607,中公教育,confirmed_rebound,2024-04-23,2.54,2024-04-16,2.44,4.098360655737709,8.606557377049178,28.86297376093295,True,1.1952,3.3865,5,6,5,83.33333333333334,12.327064551430519,18.337408312958438,3.9016393442622914,4.098360655737709,历史5/6次成功; 当前距低点4.10%; 最新日涨幅1.20%; 状态confirmed_rebound; 底部已确认
19,72.33411537571283,73.44204102314775,000510,新金路,confirmed_rebound,2024-04-23,3.5,2024-04-17,3.34,4.790419161676651,9.880239520958087,28.172043010752695,True,-0.8499,1.5834,3,3,3,100.0,18.355896299841426,23.043478260869577,3.2095808383233497,4.790419161676651,历史3/3次成功; 当前距低点4.79%; 最新日涨幅-0.85%; 状态confirmed_rebound; 底部已确认
20,70.45685283668232,71.71003796618852,688114,华大智造,bottom_area,2024-04-23,53.56,2024-04-22,51.05,4.916748285994134,6.738491674828609,31.412065027542667,False,1.7671,0.5928,1,1,1,100.0,20.431312141156706,20.431312141156706,3.0832517140058657,4.916748285994134,历史1/1次成功; 当前距低点4.92%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
21,53.274463450099134,54.00258823529411,002239,奥特佳,confirmed_rebound,2024-04-23,2.67,2024-04-16,2.55,4.705882352941181,8.627450980392165,29.75206611570248,True,0.7547,1.4375,1,2,1,50.0,15.333333333333332,15.333333333333332,3.294117647058819,4.705882352941181,历史1/2次成功; 当前距低点4.71%; 最新日涨幅0.75%; 状态confirmed_rebound; 底部已确认
