rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.27138147776897,82.95364269141531,688077,大地熊,bottom_area,2023-05-25,26.48,2023-05-22,25.86,2.3975251353441647,3.3642691415313264,32.83116883116883,False,0.7994,0.8791,1,1,1,100.0,53.68518518518518,53.68518518518518,17.602474864655836,2.3975251353441647,历史1/1次成功; 当前距低点2.40%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
2,91.55349678652344,77.70863354037267,000629,钒钛股份,bottom_area,2023-05-25,4.03,2023-05-25,3.99,1.0025062656641612,3.0075187969924837,32.60135135135135,False,-2.1845,0.8793,1,1,1,100.0,27.173913043478265,27.173913043478265,18.99749373433584,1.0025062656641612,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
3,88.24619482543616,75.81972369848529,688289,圣湘生物,bottom_area,2023-05-25,18.28,2023-04-26,17.98,1.668520578420471,12.45828698553948,27.058823529411757,False,-0.1093,0.7079,1,1,1,100.0,25.182530200451346,25.182530200451346,18.33147942157953,1.668520578420471,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
4,88.11801942745234,78.77840396732441,001332,锡装股份,bottom_area,2023-05-25,44.03,2023-05-24,42.4,3.8443396226415154,3.9622641509433953,32.290003193867776,False,2.3002,2.8288,2,2,2,100.0,28.620958639500337,31.086142322097377,16.155660377358487,3.8443396226415154,历史2/2次成功; 当前距低点3.84%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
5,84.32724736167754,75.20805979782492,688075,安旭生物,bottom_area,2023-05-25,67.05,2023-05-10,64.65,3.712296983758687,7.6566125290023015,30.37906525953047,True,-0.6519,2.1329,4,5,4,80.0,31.086542584917854,40.134529147982065,16.287703016241313,3.712296983758687,历史4/5次成功; 当前距低点3.71%; 最新日涨幅-0.65%; 状态bottom_area; 底部已确认
6,83.68271829507783,75.41432461552186,300762,上海瀚讯,bottom_area,2023-05-25,11.93,2023-05-10,11.44,4.283216783216785,6.206293706293714,27.50316856780735,False,0.2521,1.0006,1,1,1,100.0,32.580961727183514,32.580961727183514,15.716783216783215,4.283216783216785,历史1/1次成功; 当前距低点4.28%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
7,82.76480476825034,69.87986021940735,002041,登海种业,bottom_area,2023-05-25,15.5,2023-05-25,15.39,0.7147498375568514,2.534113060428842,27.405660377358487,False,-1.211,0.3809,1,1,1,100.0,21.395106715252467,21.395106715252467,19.28525016244315,0.7147498375568514,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
8,81.78373831866692,69.58381043334414,002245,蔚蓝锂芯,bottom_area,2023-05-25,10.7,2023-05-25,10.58,1.1342155009451722,3.0245746691871482,30.303030303030305,False,-1.1091,1.4735,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,18.86578449905483,1.1342155009451722,历史2/3次成功; 当前距低点1.13%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
9,71.32835776436357,61.72959565997973,002405,四维图新,bottom_area,2023-05-25,11.37,2023-05-16,11.14,2.0646319569120166,4.039497307001789,27.75616083009079,False,0.1762,0.7903,1,2,1,50.0,23.478260869565215,23.478260869565215,17.935368043087983,2.0646319569120166,历史1/2次成功; 当前距低点2.06%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
10,68.14294855766185,59.488858195211826,601369,陕鼓动力,bottom_area,2023-05-25,9.28,2023-05-10,9.05,2.541436464088383,7.182320441988933,32.31114435302916,True,-0.1076,0.727,1,3,1,33.33333333333333,55.572755417956664,55.572755417956664,17.45856353591162,2.541436464088383,历史1/3次成功; 当前距低点2.54%; 最新日涨幅-0.11%; 状态bottom_area; 底部已确认
11,60.981496348225114,54.75813187260178,600203,福日电子,bottom_area,2023-05-25,5.86,2023-05-15,5.63,4.085257548845479,8.348134991119,28.824273072060684,True,-0.5093,0.9563,1,2,1,50.0,24.045801526717554,24.045801526717554,15.914742451154524,4.085257548845479,历史1/2次成功; 当前距低点4.09%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
12,60.39091083817305,51.211492390770744,002570,贝因美,bottom_area,2023-05-25,4.24,2023-05-25,4.2,0.9523809523809532,2.3809523809523725,27.209705372616977,False,-1.3953,1.1843,1,3,1,33.33333333333333,35.05154639175259,35.05154639175259,19.047619047619047,0.9523809523809532,历史1/3次成功; 当前距低点0.95%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
