rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.74511749067166,80.82021654652786,688280,精进电动,bottom_area,2021-12-28,15.59,2021-12-27,15.3,1.8954248366013016,4.901960784313726,31.112111661413778,False,1.3654,4.1406,1,1,1,100.0,32.37518910741301,32.37518910741301,8.1045751633987,1.8954248366013016,历史1/1次成功; 当前距低点1.90%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
2,81.4535802240458,75.71495402556627,600396,华电辽能,bottom_area,2021-12-28,3.47,2021-12-28,3.43,1.1661807580174937,5.539358600583089,32.21343873517786,False,-2.8011,6.4456,1,1,1,100.0,18.461538461538467,18.461538461538467,8.833819241982507,1.1661807580174937,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
3,80.85269795144139,79.62494597546703,601127,赛力斯,bottom_area,2021-12-28,57.85,2021-12-28,55.52,4.1966858789625325,6.231988472622467,28.610003857528604,False,0.6963,2.5205,3,3,3,100.0,20.82467623387959,27.74461028192372,5.803314121037468,4.1966858789625325,历史3/3次成功; 当前距低点4.20%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
4,77.67229493040831,71.67857911084326,002357,富临运业,bottom_area,2021-12-28,6.41,2021-12-28,6.36,0.7861635220125759,3.616352201257854,28.539325842696627,False,-2.1374,8.3415,1,1,1,100.0,31.941031941031934,31.941031941031934,9.213836477987424,0.7861635220125759,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
5,77.25119765426105,72.57676212741086,000863,三湘印象,bottom_area,2021-12-28,3.54,2021-12-28,3.48,1.7241379310344844,6.321839080459776,28.54209445585216,False,-4.3243,6.243,1,1,1,100.0,18.644067796610173,18.644067796610173,8.275862068965516,1.7241379310344844,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
6,74.27898879404732,70.71275167196028,605138,盛泰集团,bottom_area,2021-12-28,12.71,2021-12-28,12.41,2.417405318291706,8.299758259468165,29.408418657565406,False,-7.1585,53.5517,1,1,1,100.0,17.120622568093385,17.120622568093385,7.5825946817082945,2.417405318291706,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-7.16%; 状态bottom_area; 底部未确认
7,73.96732558139537,67.24302325581397,001267,汇绿生态,bottom_area,2021-12-28,7.7,2021-12-28,7.7,0.0,8.051948051948052,32.39683933274803,False,-9.9415,26.9164,1,1,1,100.0,20.930232558139547,20.930232558139547,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.94%; 状态bottom_area; 底部未确认
8,72.35245087998393,66.59949812376746,600405,动力源,bottom_area,2021-12-28,7.71,2021-12-28,7.66,0.652741514360311,3.1331592689295062,30.109489051094897,False,-3.5044,13.9418,1,1,1,100.0,13.213703099510612,13.213703099510612,9.34725848563969,0.652741514360311,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-3.50%; 状态bottom_area; 底部未确认
9,70.24379308019438,70.02676797284053,688128,中国电研,bottom_area,2021-12-28,29.04,2021-12-27,27.7,4.83754512635379,5.379061371841162,29.300663603879535,False,1.1494,1.9341,1,1,1,100.0,10.410596026490065,10.410596026490065,5.162454873646211,4.83754512635379,历史1/1次成功; 当前距低点4.84%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
10,60.843232067357754,56.83868813086501,603169,兰石重装,bottom_area,2021-12-28,9.24,2021-12-28,9.11,1.4270032930845313,8.452250274423726,30.19157088122606,False,-7.4148,8.419,1,2,1,50.0,22.055137844611526,22.055137844611526,8.57299670691547,1.4270032930845313,历史1/2次成功; 当前距低点1.43%; 最新日涨幅-7.41%; 状态bottom_area; 底部未确认
