rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.16477732793523,68.47064777327935,600979,广安爱众,bottom_area,2024-12-18,5.62,2024-12-18,5.62,0.0,8.896797153024911,30.186335403726712,False,-9.9359,21.2907,1,1,1,100.0,27.530364372469624,27.530364372469624,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.94%; 状态bottom_area; 底部未确认
2,81.25981948963698,69.22743242524854,002530,金财互联,bottom_area,2024-12-18,10.08,2024-12-18,9.96,1.2048192771084258,4.518072289156619,29.21108742004264,False,-2.8902,17.0773,2,4,2,50.0,42.38935686589115,54.814814814814795,18.795180722891576,1.2048192771084258,历史2/4次成功; 当前距低点1.20%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
3,80.69313751299701,71.6451655721804,603356,华菱精工,bottom_area,2024-12-18,15.52,2024-12-18,15.0,3.4666666666666637,8.333333333333332,27.745664739884397,False,-5.4235,17.3814,3,4,3,75.0,39.16218049559353,53.658536585365866,16.53333333333334,3.4666666666666637,历史3/4次成功; 当前距低点3.47%; 最新日涨幅-5.42%; 状态bottom_area; 底部未确认
4,80.03082252037609,68.98229949081795,002103,广博股份,bottom_area,2024-12-18,12.15,2024-12-18,11.93,1.844090528080475,5.867560771165139,28.434313137372534,False,-8.371,38.5302,2,3,2,66.66666666666666,39.6782754202944,51.366120218579226,18.155909471919525,1.844090528080475,历史2/3次成功; 当前距低点1.84%; 最新日涨幅-8.37%; 状态bottom_area; 底部未确认
5,75.9171264562601,68.74385466511742,002681,奋达科技,bottom_area,2024-12-18,7.82,2024-12-17,7.48,4.545454545454543,6.283422459893044,28.693994280266917,False,3.8513,16.343,2,3,2,66.66666666666666,38.82163635530716,46.084337349397586,15.454545454545457,4.545454545454543,历史2/3次成功; 当前距低点4.55%; 最新日涨幅3.85%; 状态bottom_area; 底部未确认
6,69.46256793181338,60.36068089117394,688290,景业智能,bottom_area,2024-12-18,39.79,2024-12-18,38.9,2.2879177377892046,3.7789203084832876,27.085285848172454,False,1.531,3.3407,1,3,1,33.33333333333333,38.300000000000004,38.300000000000004,17.712082262210796,2.2879177377892046,历史1/3次成功; 当前距低点2.29%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
7,69.18248992393569,60.54256182951529,603078,江化微,bottom_area,2024-12-18,17.28,2024-12-18,16.83,2.6737967914438676,3.9215686274509816,27.799227799227804,False,1.349,3.6131,1,2,1,50.0,24.563540397888758,24.563540397888758,17.326203208556134,2.6737967914438676,历史1/2次成功; 当前距低点2.67%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
8,57.837950408260426,49.08241854175148,300497,富祥股份,bottom_area,2024-12-18,9.16,2024-12-18,9.07,0.9922822491730965,2.7563395810363835,29.961389961389955,False,-0.5429,1.7586,1,3,1,33.33333333333333,24.094025465230157,24.094025465230157,19.007717750826906,0.9922822491730965,历史1/3次成功; 当前距低点0.99%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
