rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.85406200656048,83.01647353815599,002246,北化股份,bottom_area,2025-01-17,9.61,2025-01-06,9.2,4.456521739130437,6.521739130434799,27.38752959747435,False,0.418,1.1739,4,4,4,100.0,25.577113458996685,31.992687385740403,10.543478260869563,4.456521739130437,历史4/4次成功; 当前距低点4.46%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
2,81.95910367763678,77.47031929317714,605208,永茂泰,bottom_area,2025-01-17,7.24,2025-01-13,6.93,4.473304473304481,7.792207792207793,29.501525940996952,True,-1.3624,4.839,3,3,3,100.0,25.911040281243864,46.887631366208595,10.52669552669552,4.473304473304481,历史3/3次成功; 当前距低点4.47%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
3,80.43957722446709,73.84421673761923,002047,宝鹰股份,bottom_area,2025-01-17,2.48,2025-01-13,2.41,2.9045643153526903,8.713692946058089,28.27380952380952,True,-2.3622,1.1812,1,1,1,100.0,20.51948051948051,20.51948051948051,12.09543568464731,2.9045643153526903,历史1/1次成功; 当前距低点2.90%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
4,80.21715378442399,74.78530449046679,300682,朗新科技,bottom_area,2025-01-17,10.56,2025-01-13,10.18,3.7328094302554105,7.26915520628684,29.256428075052128,True,-0.0946,1.0362,2,2,2,100.0,19.0651074809093,21.503593145384194,11.267190569744589,3.7328094302554105,历史2/2次成功; 当前距低点3.73%; 最新日涨幅-0.09%; 状态bottom_area; 底部已确认
5,78.73638790200957,73.06180781692476,300434,金石亚药,bottom_area,2025-01-17,8.62,2025-01-13,8.33,3.4813925570227986,7.563025210084043,27.439024390243905,True,-0.6912,4.0702,3,4,3,75.0,27.550445413638354,39.62264150943396,11.518607442977201,3.4813925570227986,历史3/4次成功; 当前距低点3.48%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
6,78.60391187341259,68.40962783506808,301600,慧翰股份,bottom_area,2025-01-17,197.1,2025-01-17,197.01,0.04568296025582631,11.567940713669369,30.88580950710402,False,-13.1642,27.7613,1,1,1,100.0,15.504220346512659,15.504220346512659,14.954317039744172,0.04568296025582631,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-13.16%; 状态bottom_area; 底部未确认
7,75.46131833298288,68.26228285317532,600325,华发股份,bottom_area,2025-01-17,5.31,2025-01-13,5.2,2.1153846153846043,5.1923076923076845,29.539295392953925,False,-0.188,1.4785,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,12.884615384615394,2.1153846153846043,历史2/3次成功; 当前距低点2.12%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
8,72.97254247534806,69.14111840149211,600199,金种子酒,bottom_area,2025-01-17,11.82,2025-01-13,11.3,4.60176991150442,8.407079646017692,27.93367346938775,True,-1.582,1.5872,3,4,3,75.0,20.20512795549562,23.70304114490161,10.398230088495579,4.60176991150442,历史3/4次成功; 当前距低点4.60%; 最新日涨幅-1.58%; 状态bottom_area; 底部已确认
9,72.88994779566038,66.50598777538089,300347,泰格医药,bottom_area,2025-01-17,49.76,2025-01-13,48.51,2.5767882910740054,5.6277056277056365,29.797395079594786,False,0.3226,1.287,2,4,2,50.0,22.102500424890394,23.423271500843175,12.423211708925994,2.5767882910740054,历史2/4次成功; 当前距低点2.58%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
10,60.73923123777892,53.08568528361067,603269,海鸥股份,bottom_area,2025-01-17,11.07,2025-01-17,11.04,0.2717391304347929,3.2608695652174022,28.451069345430984,False,-3.4031,11.2773,1,2,1,50.0,27.55511022044088,27.55511022044088,14.728260869565208,0.2717391304347929,历史1/2次成功; 当前距低点0.27%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
11,58.64029805894631,55.32138830162084,002184,海得控制,bottom_area,2025-01-17,14.81,2025-01-16,14.19,4.369274136716005,9.161381254404516,31.44927536231884,True,-1.66,25.1867,1,3,1,33.33333333333333,50.27203482045704,50.27203482045704,10.630725863283995,4.369274136716005,历史1/3次成功; 当前距低点4.37%; 最新日涨幅-1.66%; 状态bottom_area; 底部已确认
12,57.16721156779948,54.39903378477966,600939,重庆建工,bottom_area,2025-01-17,2.82,2025-01-13,2.69,4.832713754646837,7.806691449814125,29.21052631578947,True,-0.7042,0.4711,1,2,1,50.0,31.277533039647576,31.277533039647576,10.167286245353162,4.832713754646837,历史1/2次成功; 当前距低点4.83%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
13,54.42463842658292,51.194850633158964,300601,康泰生物,bottom_area,2025-01-17,15.09,2025-01-13,14.48,4.212707182320438,6.21546961325967,28.775209050664035,False,0.0,0.9686,1,5,1,20.0,24.837758112094402,24.837758112094402,10.78729281767956,4.212707182320438,历史1/5次成功; 当前距低点4.21%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
