rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.34571763266368,82.78581688272773,002862,实丰文化,bottom_area,2024-12-20,32.35,2024-12-19,31.64,2.24399494310999,9.608091024020226,28.09090909090909,True,2.244,16.4803,4,5,4,80.0,31.355512650637145,45.40647719762062,17.75600505689001,2.24399494310999,历史4/5次成功; 当前距低点2.24%; 最新日涨幅2.24%; 状态bottom_area; 底部已确认
2,91.4495481146479,79.83520952822435,603356,华菱精工,bottom_area,2024-12-20,14.93,2024-12-20,14.56,2.5412087912087857,5.013736263736254,29.86512524084779,False,0.5387,8.8768,3,4,3,75.0,39.16218049559353,53.658536585365866,17.458791208791215,2.5412087912087857,历史3/4次成功; 当前距低点2.54%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
3,82.15129328917112,72.30152087950007,002681,奋达科技,bottom_area,2024-12-20,7.59,2024-12-19,7.37,2.9850746268656683,8.276797829036639,29.74261201143947,False,1.3351,13.2426,2,3,2,66.66666666666666,38.82163635530716,46.084337349397586,17.014925373134332,2.9850746268656683,历史2/3次成功; 当前距低点2.99%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
4,81.77026026796881,70.41327967519535,000816,智慧农业,bottom_area,2024-12-20,3.41,2024-12-20,3.35,1.7910447761194044,3.2835820895522354,30.208333333333332,False,-1.4451,10.5437,2,3,2,66.66666666666666,36.50642525849964,48.23943661971832,18.208955223880597,1.7910447761194044,历史2/3次成功; 当前距低点1.79%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
5,80.18858827144011,69.9188217033434,603088,宁波精达,bottom_area,2024-12-20,9.94,2024-12-19,9.7,2.4742268041237137,3.7113402061855796,28.307464892830748,False,1.8443,5.0837,2,4,2,50.0,39.193864606158456,46.15384615384614,17.525773195876287,2.4742268041237137,历史2/4次成功; 当前距低点2.47%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
6,78.9519271249908,68.76819166308555,605337,李子园,bottom_area,2024-12-20,12.29,2024-12-19,12.0,2.41666666666666,6.916666666666667,28.01439712057589,False,0.7377,5.2398,2,4,2,50.0,32.30210571551354,37.98882681564246,17.58333333333334,2.41666666666666,历史2/4次成功; 当前距低点2.42%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
7,73.43002859321388,61.1916904943449,000525,红太阳,bottom_area,2024-12-20,7.02,2024-12-20,7.02,0.0,0.0,32.95128939828081,False,-5.0068,0.1222,2,3,2,66.66666666666666,27.285074342356076,34.22131147540984,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
8,72.15993099690259,65.49588379168989,002530,金财互联,bottom_area,2024-12-20,10.3,2024-12-19,9.84,4.674796747967489,6.707317073170733,30.06396588486141,False,3.4137,17.0844,2,4,2,50.0,42.38935686589115,54.814814814814795,15.325203252032512,4.674796747967489,历史2/4次成功; 当前距低点4.67%; 最新日涨幅3.41%; 状态bottom_area; 底部未确认
9,69.94169185088482,62.00145147167808,000813,德展健康,bottom_area,2024-12-20,3.67,2024-12-19,3.55,3.380281690140848,11.549295774647891,30.118110236220474,False,-0.542,5.946,2,4,2,50.0,30.20695551182373,39.9103139013453,16.619718309859152,3.380281690140848,历史2/4次成功; 当前距低点3.38%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
10,69.64373540243302,59.22638262322473,000716,黑芝麻,bottom_area,2024-12-20,7.3,2024-12-19,7.22,1.1080332409972309,7.894736842105267,27.217741935483875,False,-0.1368,9.6325,1,3,1,33.33333333333333,40.211640211640216,40.211640211640216,18.89196675900277,1.1080332409972309,历史1/3次成功; 当前距低点1.11%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
11,69.58589329880839,60.008020987444596,002403,爱仕达,bottom_area,2024-12-20,17.43,2024-12-20,17.11,1.8702513150204574,7.539450613676207,30.020449897750513,False,-1.9685,16.765,2,6,2,33.33333333333333,37.090648668590894,52.542372881355924,18.129748684979543,1.8702513150204574,历史2/6次成功; 当前距低点1.87%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
12,64.32233816105533,55.168305215933586,300497,富祥股份,bottom_area,2024-12-20,9.04,2024-12-19,8.9,1.5730337078651548,3.4831460674157357,31.274131274131268,False,-0.9858,2.0522,1,3,1,33.33333333333333,24.094025465230157,24.094025465230157,18.426966292134846,1.5730337078651548,历史1/3次成功; 当前距低点1.57%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
13,60.58816544526375,52.01593874078275,000558,天府文旅,bottom_area,2024-12-20,3.75,2024-12-20,3.69,1.6260162601626031,7.859078590785909,29.580152671755727,False,-6.9479,19.0071,1,5,1,20.0,30.23255813953488,30.23255813953488,18.3739837398374,1.6260162601626031,历史1/5次成功; 当前距低点1.63%; 最新日涨幅-6.95%; 状态bottom_area; 底部未确认
14,59.63940045760844,53.71931291218406,000721,西安饮食,bottom_area,2024-12-20,10.78,2024-12-19,10.34,4.255319148936165,6.866537717601556,27.183098591549292,False,0.3724,12.768,2,7,2,28.57142857142857,20.361047620821495,20.485175202156327,15.744680851063835,4.255319148936165,历史2/7次成功; 当前距低点4.26%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
