rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.02629248793187,78.72166226661153,002833,弘亚数控,bottom_area,2021-10-11,32.04,2021-10-11,31.65,1.2322274881516606,3.5387045813586244,27.32491389207807,False,-1.8382,2.6134,1,1,1,100.0,35.43624161073825,35.43624161073825,6.76777251184834,1.2322274881516606,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
2,81.76106980235184,77.56495223538404,300402,宝色股份,confirmed_rebound,2021-10-11,26.5,2021-10-11,26.17,1.2609858616736656,15.361100496752004,28.88586956521738,False,-11.0738,10.0031,1,1,1,100.0,61.64021164021163,61.64021164021163,6.739014138326335,1.2609858616736656,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-11.07%; 状态confirmed_rebound; 底部未确认
3,80.23809277937048,76.36069549099835,001212,中旗新材,bottom_area,2021-10-11,32.03,2021-09-30,31.58,1.4249525015832896,2.75490816972769,29.11335578002245,False,-0.5588,2.271,1,1,1,100.0,25.105307497893843,25.105307497893843,6.575047498416711,1.4249525015832896,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
4,79.72644182455022,76.77443684373073,603225,新凤鸣,bottom_area,2021-10-11,16.52,2021-10-08,16.19,2.0382952439777533,6.238418777022841,29.913419913419915,False,0.5478,1.1487,1,1,1,100.0,12.375000000000004,12.375000000000004,5.961704756022248,2.0382952439777533,历史1/1次成功; 当前距低点2.04%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
5,79.08057879602393,74.65418048413287,688127,蓝特光学,bottom_area,2021-10-11,18.08,2021-10-11,17.9,1.0055865921787694,4.078212290502796,31.28598848368523,False,-2.1115,1.1169,1,1,1,100.0,10.789881259679916,10.789881259679916,6.99441340782123,1.0055865921787694,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
6,78.53284641105463,77.73555863023175,688355,明志科技,bottom_area,2021-10-11,25.35,2021-09-29,24.5,3.4693877551020464,4.163265306122447,29.658340511053687,False,0.5952,2.0007,1,1,1,100.0,35.08474576271185,35.08474576271185,4.530612244897954,3.4693877551020464,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
7,78.01418026109712,75.1046421969897,000902,新洋丰,bottom_area,2021-10-11,17.14,2021-10-08,16.8,2.023809523809523,7.08333333333332,32.0388349514563,False,-1.9451,1.1724,1,1,1,100.0,25.693160813308673,25.693160813308673,5.976190476190477,2.023809523809523,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
8,76.4831846767672,73.04314157955167,000920,沃顿科技,confirmed_rebound,2021-10-11,8.85,2021-09-29,8.71,1.6073478760045785,9.07003444316876,28.371710526315784,True,-2.1018,1.9642,1,1,1,100.0,10.526315789473678,10.526315789473678,6.392652123995421,1.6073478760045785,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-2.10%; 状态confirmed_rebound; 底部已确认
9,76.43355980462289,77.42495010052765,300727,润禾材料,bottom_area,2021-10-11,28.24,2021-09-29,26.98,4.670126019273528,7.375833951074864,30.76725686425455,True,1.4732,2.2306,2,2,2,100.0,22.273319486404827,26.812499999999993,3.329873980726472,4.670126019273528,历史2/2次成功; 当前距低点4.67%; 最新日涨幅1.47%; 状态bottom_area; 底部已确认
10,75.91569586562457,75.83133231008364,000426,兴业银锡,bottom_area,2021-10-11,7.91,2021-09-29,7.61,3.942181340341653,4.862023653088043,30.628988149498632,False,1.2804,1.5844,1,1,1,100.0,30.64250411861613,30.64250411861613,4.057818659658348,3.942181340341653,历史1/1次成功; 当前距低点3.94%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
11,75.91111790053357,73.30297491202046,688056,莱伯泰科,bottom_area,2021-10-11,43.08,2021-09-30,42.16,2.182163187855792,7.163187855787484,28.128196385952954,True,-2.6881,0.6675,1,1,1,100.0,8.754338603933666,8.754338603933666,5.817836812144209,2.182163187855792,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-2.69%; 状态bottom_area; 底部已确认
