rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.67919250418238,83.10120620645091,002658,雪迪龙,bottom_area,2025-07-17,8.06,2025-07-17,7.98,1.0025062656641612,2.1303258145363397,30.36649214659686,False,-0.9828,7.7014,3,3,3,100.0,22.83290587185592,34.81481481481481,8.997493734335839,1.0025062656641612,历史3/3次成功; 当前距低点1.00%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
2,88.65513966532362,82.38743716692821,603928,兴业股份,bottom_area,2025-07-17,15.8,2025-07-15,15.62,1.1523687580025703,3.008962868117802,29.92373261552266,False,0.1267,3.3209,1,1,1,100.0,31.69267707082834,31.69267707082834,8.84763124199743,1.1523687580025703,历史1/1次成功; 当前距低点1.15%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,84.44262385214743,78.6576295833705,603022,新通联,bottom_area,2025-07-17,10.32,2025-07-15,10.19,1.2757605495583983,2.2571148184494643,32.202262142381905,False,-0.578,3.256,2,2,2,100.0,18.958944281524914,26.099706744868023,8.724239450441603,1.2757605495583983,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
4,81.9584714614645,79.9659212778095,002826,易明医药,bottom_area,2025-07-17,18.18,2025-07-15,17.53,3.707929264118645,4.677695379349688,30.73883840379296,False,0.8319,5.9997,1,1,1,100.0,50.0,50.0,6.292070735881356,3.707929264118645,历史1/1次成功; 当前距低点3.71%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
5,81.80508462668946,80.55971702057431,002636,金安国纪,bottom_area,2025-07-17,12.42,2025-07-16,11.92,4.194630872483222,5.956375838926182,28.192771084337352,False,2.8146,9.3341,2,2,2,100.0,42.49180327868853,69.0,5.805369127516779,4.194630872483222,历史2/2次成功; 当前距低点4.19%; 最新日涨幅2.81%; 状态bottom_area; 底部未确认
6,80.83547399863023,78.18942928797027,002041,登海种业,bottom_area,2025-07-17,9.84,2025-06-23,9.53,3.2528856243441817,4.931794333683113,29.719764011799416,False,0.0,0.6597,2,2,2,100.0,18.2043468358871,21.395106715252467,6.747114375655819,3.2528856243441817,历史2/2次成功; 当前距低点3.25%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,80.82084296171195,76.76879685454938,002155,湖南黄金,bottom_area,2025-07-17,17.79,2025-06-30,17.39,2.3001725129384623,7.073030477285798,29.28019520130134,True,-0.6145,1.8121,1,1,1,100.0,28.834355828220854,28.834355828220854,7.699827487061539,2.3001725129384623,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-0.61%; 状态bottom_area; 底部已确认
8,80.71900729150018,77.52436381220546,301348,蓝箭电子,bottom_area,2025-07-17,20.36,2025-07-15,19.79,2.8802425467407797,3.183425972713505,29.92209631728045,False,0.6426,3.9927,1,1,1,100.0,26.727509778357234,26.727509778357234,7.11975745325922,2.8802425467407797,历史1/1次成功; 当前距低点2.88%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
9,80.03317581733084,74.66791358944873,002371,北方华创,bottom_area,2025-07-17,318.6,2025-07-17,314.33,1.3584449463939294,2.121973721884649,29.91527313266444,False,-0.7044,0.8726,1,1,1,100.0,15.189075630252091,15.189075630252091,8.641555053606071,1.3584449463939294,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
10,78.48490063494194,75.89678839470413,301108,洁雅股份,bottom_area,2025-07-17,23.9,2025-07-15,23.15,3.2397408207343417,4.103671706263511,32.32972814966384,False,1.4862,2.2966,1,1,1,100.0,22.383857343969968,22.383857343969968,6.76025917926566,3.2397408207343417,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
11,76.19462849490134,74.29456631052301,002811,郑中设计,bottom_area,2025-07-17,10.44,2025-06-23,10.07,3.674280039721939,9.632571996027794,31.728813559322035,True,-0.5714,1.7698,2,2,2,100.0,15.709273124134537,16.78832116788322,6.325719960278062,3.674280039721939,历史2/2次成功; 当前距低点3.67%; 最新日涨幅-0.57%; 状态bottom_area; 底部已确认
