rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.87372254308859,76.85762563957688,002825,纳尔股份,bottom_area,2023-07-20,8.7,2023-07-17,8.61,1.045296167247385,3.019744483159115,32.94392523364487,False,-0.9112,0.8664,1,1,1,100.0,23.123123123123136,23.123123123123136,8.954703832752616,1.045296167247385,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
2,82.56235363395038,81.17385350815304,603222,济民健康,bottom_area,2023-07-20,9.88,2023-07-10,9.49,4.109589041095896,8.74604847207587,27.112135176651304,True,-0.1011,1.5298,7,7,7,100.0,24.697400655116585,68.46504559270518,5.890410958904104,4.109589041095896,历史7/7次成功; 当前距低点4.11%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
3,82.05872861623938,76.41529550827423,002153,石基信息,bottom_area,2023-07-20,12.85,2023-07-13,12.69,1.260835303388496,8.58944050433412,28.30508474576271,True,-2.2814,0.5484,1,1,1,100.0,14.193548387096769,14.193548387096769,8.739164696611503,1.260835303388496,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-2.28%; 状态bottom_area; 底部已确认
4,81.59358114456394,75.43450888365155,002755,奥赛康,bottom_area,2023-07-20,8.01,2023-07-17,7.94,0.8816120906800932,2.392947103274564,28.853046594982075,False,0.125,0.2968,1,1,1,100.0,30.831099195710454,30.831099195710454,9.118387909319907,0.8816120906800932,历史1/1次成功; 当前距低点0.88%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
5,80.72676576163606,75.15620874054953,601669,中国电建,bottom_area,2023-07-20,5.68,2023-06-07,5.61,1.2477718360071193,5.882352941176471,29.78723404255319,False,-0.8726,0.5067,1,1,1,100.0,16.457680250783696,16.457680250783696,8.752228163992882,1.2477718360071193,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
6,77.93710219910804,74.54292850906971,002063,远光软件,bottom_area,2023-07-20,6.94,2023-07-07,6.76,2.6627218934911334,9.911242603550296,29.656607700312172,True,-2.5281,1.253,1,1,1,100.0,21.311475409836078,21.311475409836078,7.337278106508867,2.6627218934911334,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-2.53%; 状态bottom_area; 底部已确认
7,77.37467708061857,75.67742609949532,600935,华塑股份,bottom_area,2023-07-20,3.79,2023-06-27,3.65,3.835616438356168,6.575342465753431,28.571428571428577,False,0.2646,0.2558,1,1,1,100.0,28.50877192982458,28.50877192982458,6.164383561643833,3.835616438356168,历史1/1次成功; 当前距低点3.84%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
8,75.63986521463902,69.161899380429,600990,四创电子,bottom_area,2023-07-20,23.2,2023-07-10,23.13,0.30263726761781357,6.917423259835717,27.921470863197268,False,-2.9289,0.9449,1,1,1,100.0,12.483399734395755,12.483399734395755,9.697362732382187,0.30263726761781357,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
9,74.41551081180833,73.96175769710219,002395,双象股份,bottom_area,2023-07-20,11.41,2023-06-26,10.9,4.6788990825688055,8.34862385321101,29.677419354838708,True,-1.0408,2.1801,2,2,2,100.0,26.23466454494123,36.59976387249114,5.321100917431195,4.6788990825688055,历史2/2次成功; 当前距低点4.68%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
10,74.17710495646534,67.65584900350498,601360,三六零,bottom_area,2023-07-20,11.63,2023-07-12,11.61,0.17226528854436995,6.287683031869082,28.15594059405941,False,-3.0833,1.6846,1,1,1,100.0,13.003300330033007,13.003300330033007,9.827734711455632,0.17226528854436995,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
11,71.70397238284109,68.6860641152628,002403,爱仕达,bottom_area,2023-07-20,8.99,2023-07-19,8.75,2.742857142857145,3.5428571428571485,29.887820512820518,False,1.2387,4.5342,2,3,2,66.66666666666666,16.4145792167227,21.63892445582587,7.257142857142855,2.742857142857145,历史2/3次成功; 当前距低点2.74%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
12,70.93051313554075,66.89176505664877,603033,三维股份,bottom_area,2023-07-20,15.9,2023-07-17,15.6,1.9230769230769278,5.25641025641027,27.677329624478446,False,-0.4383,0.1813,2,3,2,66.66666666666666,19.192009540846744,24.922480620155024,8.076923076923073,1.9230769230769278,历史2/3次成功; 当前距低点1.92%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
13,67.45558213390429,62.475990039148186,688169,石头科技,bottom_area,2023-07-20,251.43,2023-07-20,249.0,0.9759036144578341,5.570281124497994,32.42876526458616,False,-2.889,0.7661,2,3,2,66.66666666666666,23.679481792717084,29.71190476190475,9.024096385542165,0.9759036144578341,历史2/3次成功; 当前距低点0.98%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
14,67.36076710955659,61.45418926417787,002829,星网宇达,bottom_area,2023-07-20,32.42,2023-07-20,32.36,0.18541409147095883,3.677379480840537,27.719454992182268,False,-3.1661,2.6449,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,9.814585908529041,0.18541409147095883,历史2/3次成功; 当前距低点0.19%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
15,57.571153654469285,54.196355488780256,688318,财富趋势,bottom_area,2023-07-20,89.61,2023-07-19,88.0,1.829545454545454,5.113636363636364,28.837134077308747,False,-1.1909,0.8483,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,8.170454545454547,1.829545454545454,历史1/3次成功; 当前距低点1.83%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
