rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.34184692158611,82.79545263389811,001203,大中矿业,bottom_area,2024-08-06,8.27,2024-08-05,8.14,1.5970515970515846,3.1941031941031914,30.00859845227859,False,1.224,0.4221,2,2,2,100.0,22.670592877288865,29.46341463414634,8.402948402948414,1.5970515970515846,历史2/2次成功; 当前距低点1.60%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
2,84.95429869915539,80.01182092593902,000550,江铃汽车,bottom_area,2024-08-06,24.72,2024-08-06,24.27,1.854140914709515,5.686032138442518,29.61136890951276,False,-2.792,8.168,2,2,2,100.0,33.3293667283694,54.077669902912604,8.145859085290486,1.854140914709515,历史2/2次成功; 当前距低点1.85%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
3,82.4307742289791,81.92830334567402,000065,北方国际,bottom_area,2024-08-06,9.62,2024-07-25,9.19,4.678998911860716,8.7051142546246,30.641509433962266,True,1.3699,0.7411,3,3,3,100.0,29.926993896325044,41.48061104582843,5.321001088139285,4.678998911860716,历史3/3次成功; 当前距低点4.68%; 最新日涨幅1.37%; 状态bottom_area; 底部已确认
4,81.84409136860437,79.29377201584748,001218,丽臣实业,bottom_area,2024-08-06,14.24,2024-07-25,13.78,3.3381712626995705,6.603773584905662,30.404040404040412,False,2.0789,0.7606,2,2,2,100.0,25.18711018711019,29.999999999999993,6.6618287373004295,3.3381712626995705,历史2/2次成功; 当前距低点3.34%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
5,81.53480478221826,79.71770992366413,002687,乔治白,bottom_area,2024-08-06,4.08,2024-07-25,3.93,3.8167938931297685,5.852417302798981,32.82051282051282,False,0.9901,0.5961,1,1,1,100.0,64.00000000000001,64.00000000000001,6.183206106870232,3.8167938931297685,历史1/1次成功; 当前距低点3.82%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
6,80.63578752631517,79.53534619066191,300349,金卡智能,bottom_area,2024-08-06,10.48,2024-07-25,10.05,4.278606965174126,9.55223880597014,32.59557344064386,True,1.256,0.9286,1,1,1,100.0,45.48693586698337,45.48693586698337,5.721393034825875,4.278606965174126,历史1/1次成功; 当前距低点4.28%; 最新日涨幅1.26%; 状态bottom_area; 底部已确认
7,80.27947028589766,78.102078992766,002563,森马服饰,bottom_area,2024-08-06,4.95,2024-07-30,4.78,3.5564853556485336,7.531380753138063,29.080118694362017,True,1.227,0.4673,1,1,1,100.0,28.929384965831446,28.929384965831446,6.443514644351467,3.5564853556485336,历史1/1次成功; 当前距低点3.56%; 最新日涨幅1.23%; 状态bottom_area; 底部已确认
8,79.97614799751625,76.07764196640213,600997,开滦股份,bottom_area,2024-08-06,6.03,2024-07-30,5.89,2.3769100169779387,5.942275042444831,30.70588235294118,False,1.3445,0.3597,1,1,1,100.0,12.77955271565495,12.77955271565495,7.623089983022062,2.3769100169779387,历史1/1次成功; 当前距低点2.38%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
9,76.30442790928038,75.1655558509329,603156,养元饮品,bottom_area,2024-08-06,20.79,2024-07-30,19.95,4.210526315789473,6.516290726817046,27.322404371584703,False,0.5806,0.2008,2,2,2,100.0,13.685784144800545,15.851851851851857,5.789473684210527,4.210526315789473,历史2/2次成功; 当前距低点4.21%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
10,75.56968579537327,73.44870708801874,000726,鲁泰A,bottom_area,2024-08-06,5.61,2024-07-30,5.42,3.5055350553505606,4.612546125461255,28.211920529801326,False,1.4467,0.7266,1,1,1,100.0,12.480252764612954,12.480252764612954,6.494464944649439,3.5055350553505606,历史1/1次成功; 当前距低点3.51%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
11,74.69705452034131,73.334618157163,002706,良信股份,bottom_area,2024-08-06,6.19,2024-07-30,5.95,4.033613445378155,7.394957983193269,32.7683615819209,True,2.6534,1.6018,3,4,3,75.0,13.31320867002797,14.727153188691638,5.966386554621845,4.033613445378155,历史3/4次成功; 当前距低点4.03%; 最新日涨幅2.65%; 状态bottom_area; 底部已确认
12,72.98502948469498,67.51685677542406,002601,龙佰集团,bottom_area,2024-08-06,16.57,2024-07-25,16.42,0.913520097442135,6.211936662606575,29.224137931034473,False,-0.4805,0.4275,1,1,1,100.0,11.127325793506023,11.127325793506023,9.086479902557866,0.913520097442135,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
13,71.40486446374203,71.18885606144477,601156,东航物流,confirmed_rebound,2024-08-06,15.16,2024-07-23,14.46,4.840940525587823,11.687413554633455,31.175630652070446,True,-1.3021,0.6633,2,2,2,100.0,23.527959461209687,35.44877606527652,5.159059474412177,4.840940525587823,历史2/2次成功; 当前距低点4.84%; 最新日涨幅-1.30%; 状态confirmed_rebound; 底部已确认
