rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.96353358167848,85.57846532009685,688188,柏楚电子,bottom_area,2025-06-17,139.37,2025-06-11,136.66,1.9830235621249876,2.8757500365871556,31.8675840063815,False,0.259,0.2884,3,3,3,100.0,25.69762925667648,34.07281509974057,6.016976437875013,1.9830235621249876,历史3/3次成功; 当前距低点1.98%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
14,82.38625272838732,79.43882468168462,001230,劲旅环境,bottom_area,2025-06-17,20.85,2025-06-13,20.42,2.105778648383936,5.484818805093033,27.356812522234076,False,-1.2316,6.9859,1,1,1,100.0,84.69119579500656,84.69119579500656,5.894221351616064,2.105778648383936,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
15,81.5661718195873,75.86244020423209,605377,华旺科技,bottom_area,2025-06-17,8.64,2025-06-17,8.62,0.2320185614849345,0.8120649651972192,28.64238410596027,False,0.0,0.4413,1,1,1,100.0,25.16904583020285,25.16904583020285,7.767981438515066,0.2320185614849345,历史1/1次成功; 当前距低点0.23%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,81.55616034703866,78.06178846689093,000596,古井贡酒,bottom_area,2025-06-17,134.0,2025-06-16,131.73,1.723221741440834,3.4540347680862458,27.152574240999844,False,-0.1118,0.8929,2,2,2,100.0,21.240505577290524,29.07889301941346,6.276778258559166,1.723221741440834,历史2/2次成功; 当前距低点1.72%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
17,80.61517387073702,80.94324298585458,300540,蜀道装备,bottom_area,2025-06-17,16.58,2025-06-16,15.91,4.211187932118153,4.274041483343807,32.26905065985525,False,1.7178,2.8126,4,4,4,100.0,11.423395005827826,18.695652173913043,3.788812067881847,4.211187932118153,历史4/4次成功; 当前距低点4.21%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
18,80.53866155531209,75.44818181818178,605005,合兴股份,bottom_area,2025-06-17,18.26,2025-06-17,18.15,0.6060606060606225,2.3691460055096405,31.79255918827509,False,-1.4039,1.1414,1,1,1,100.0,96.96521095484826,96.96521095484826,7.393939393939378,0.6060606060606225,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
19,80.29717097388635,76.6937806451613,002471,中超控股,bottom_area,2025-06-17,5.04,2025-06-16,4.96,1.6129032258064528,6.854838709677416,27.272727272727277,False,-2.3256,15.0656,1,1,1,100.0,29.2,29.2,6.387096774193547,1.6129032258064528,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
20,80.20391980494989,76.48515864332607,603577,汇金通,bottom_area,2025-06-17,9.28,2025-06-16,9.14,1.5317286652078643,2.297592997811806,28.926905132192836,False,-0.6424,3.2011,1,1,1,100.0,27.083333333333325,27.083333333333325,6.468271334792136,1.5317286652078643,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
21,80.08880063444903,78.11535996173161,600770,综艺股份,bottom_area,2025-06-17,5.32,2025-06-13,5.18,2.702702702702714,4.247104247104259,31.390728476821195,False,0.0,2.2092,1,1,1,100.0,27.72861356932153,27.72861356932153,5.297297297297286,2.702702702702714,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
22,79.72698052400483,76.59410870913497,002811,郑中设计,bottom_area,2025-06-17,10.64,2025-06-16,10.44,1.9157088122605466,3.4482758620689773,29.22033898305085,False,-0.6536,3.404,2,2,2,100.0,15.709273124134537,16.78832116788322,6.084291187739453,1.9157088122605466,历史2/2次成功; 当前距低点1.92%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
23,79.25919802628968,74.4995656087849,688152,麒麟信安,bottom_area,2025-06-17,40.02,2025-06-17,39.71,0.7806597834298722,1.989423319063206,32.46598639455782,False,-0.3734,1.6964,3,3,3,100.0,13.706827500026916,21.006836544437533,7.219340216570128,0.7806597834298722,历史3/3次成功; 当前距低点0.78%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
24,79.00010349485288,77.53306042938708,688135,利扬芯片,bottom_area,2025-06-17,18.73,2025-06-13,18.18,3.025302530253029,4.6204620462046195,29.725550831078472,False,0.3214,1.5762,4,5,4,80.0,21.885753754645094,40.41850220264317,4.974697469746971,3.025302530253029,历史4/5次成功; 当前距低点3.03%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
25,77.36738491475309,72.62993249944819,300819,聚杰微纤,bottom_area,2025-06-17,21.12,2025-06-17,20.97,0.7153075822603822,4.053409632808782,32.35483870967742,False,-2.2222,1.9122,2,2,2,100.0,19.520611758074537,26.54716175842936,7.284692417739618,0.7153075822603822,历史2/2次成功; 当前距低点0.72%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
26,76.99338375316938,73.50819767640996,603949,雪龙集团,bottom_area,2025-06-17,18.51,2025-06-16,18.22,1.5916575192096747,4.500548847420419,28.88368462138955,False,-0.4303,1.9135,1,1,1,100.0,11.812778603268944,11.812778603268944,6.408342480790326,1.5916575192096747,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
27,76.66404798427673,71.68785299757482,688179,阿拉丁,bottom_area,2025-06-17,11.79,2025-06-17,11.73,0.5115089514066388,5.115089514066494,32.81786941580756,False,-1.8318,2.1556,2,2,2,100.0,11.957491434311619,12.021924482338617,7.488491048593361,0.5115089514066388,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
28,76.05870653309417,71.17252966643447,688019,安集科技,bottom_area,2025-06-17,133.81,2025-06-17,133.08,0.5485422302374434,3.3814247069431915,28.639605340768938,False,-2.3142,1.3851,2,2,2,100.0,9.640892211698112,11.17480823576908,7.451457769762556,0.5485422302374434,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
29,75.24322699974556,70.27698661246473,000999,华润三九,bottom_area,2025-06-17,31.2,2025-06-17,31.06,0.4507405022537043,1.3844172569220854,28.56485740570377,False,-0.4785,0.6195,1,1,1,100.0,20.293951384963254,20.293951384963254,7.549259497746295,0.4507405022537043,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
30,74.9200239398836,75.42627218676508,001223,欧克科技,confirmed_rebound,2025-06-17,38.38,2025-05-26,36.78,4.35019032082654,10.250135943447516,31.661092530657747,True,-1.7661,2.9293,3,3,3,100.0,23.627452248653626,30.11687144141446,3.64980967917346,4.35019032082654,历史3/3次成功; 当前距低点4.35%; 最新日涨幅-1.77%; 状态confirmed_rebound; 底部已确认
31,74.10383837204276,69.93421280785172,688448,磁谷科技,bottom_area,2025-06-17,28.58,2025-06-13,28.3,0.9893992932862106,2.65017667844523,28.154353896928153,False,-0.7639,1.4113,1,1,1,100.0,25.053995680345576,25.053995680345576,7.010600706713789,0.9893992932862106,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
32,73.64222090712309,69.07014411109654,300817,双飞集团,bottom_area,2025-06-17,22.6,2025-06-17,22.45,0.6681514476614795,2.1380846325167058,29.045512010113782,False,-0.5719,2.5891,1,1,1,100.0,16.470588235294116,16.470588235294116,7.3318485523385215,0.6681514476614795,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
33,73.31574873776184,68.91850458761353,301578,辰奕智能,bottom_area,2025-06-17,33.39,2025-06-17,33.13,0.7847872019317779,1.7204950196196809,31.265560165975103,False,-0.5954,3.1744,1,1,1,100.0,17.085050580741846,17.085050580741846,7.215212798068222,0.7847872019317779,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
34,70.38618892149402,66.9783731272098,300492,华图山鼎,bottom_area,2025-06-17,63.57,2025-06-17,62.68,1.4199106573069569,3.31844288449267,30.5715551617191,False,-1.1968,0.3019,2,3,2,66.66666666666666,13.489799780661322,14.94511680270195,6.580089342693044,1.4199106573069569,历史2/3次成功; 当前距低点1.42%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
35,68.88326351818239,69.48205588060338,688682,霍莱沃,confirmed_rebound,2025-06-17,28.87,2025-06-13,27.64,4.4500723589001465,9.11722141823444,32.25490196078431,True,-2.1024,2.2837,1,1,1,100.0,26.22699386503069,26.22699386503069,3.5499276410998535,4.4500723589001465,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-2.10%; 状态confirmed_rebound; 底部已确认
