rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.1217180710136,81.03617276326585,605117,德业股份,bottom_area,2023-08-09,106.05,2023-08-09,105.8,0.23629489603024575,2.0793950850661655,29.878048780487802,False,-2.5007,4.5462,6,6,6,100.0,25.510350140939813,59.18895599654874,7.763705103969755,0.23629489603024575,历史6/6次成功; 当前距低点0.24%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
2,83.6497001919256,82.18333858223673,002045,国光电器,bottom_area,2023-08-09,13.72,2023-07-28,13.31,3.0803906836964696,6.536438767843721,27.937195452084456,False,-1.4368,1.0962,4,4,4,100.0,26.70230828529398,33.77563329312426,4.91960931630353,3.0803906836964696,历史4/4次成功; 当前距低点3.08%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
3,83.22012049171771,78.92679873186033,688262,国芯科技,bottom_area,2023-08-09,34.12,2023-08-09,33.7,1.2462908011869274,1.9881305637982034,27.213822894168455,False,-0.0293,1.7627,2,2,2,100.0,20.044848164336123,27.063197026022312,6.753709198813072,1.2462908011869274,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
4,82.16559754548136,79.09757056595348,002403,爱仕达,bottom_area,2023-08-09,8.58,2023-07-28,8.41,2.0214030915576684,6.658739595719387,32.61217948717949,False,-2.2779,1.4584,3,3,3,100.0,13.797686100564366,21.63892445582587,5.978596908442332,2.0214030915576684,历史3/3次成功; 当前距低点2.02%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
5,81.28730657024921,75.65509297320526,600072,中船科技,bottom_area,2023-08-09,22.47,2023-08-09,22.41,0.26773761713520183,1.5171798304328419,27.003257328990227,False,-1.4906,2.2087,3,3,3,100.0,13.631907205771569,14.0952380952381,7.732262382864798,0.26773761713520183,历史3/3次成功; 当前距低点0.27%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
6,81.16506223034655,78.80366044651957,600081,东风科技,bottom_area,2023-08-09,11.64,2023-07-28,11.36,2.4647887323943762,4.5774647887324065,31.27646702964308,False,0.0,0.0,2,2,2,100.0,11.84612234612234,13.923013923013915,5.535211267605624,2.4647887323943762,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,80.92179002079972,75.60122280081876,603033,三维股份,bottom_area,2023-08-09,15.13,2023-08-07,15.06,0.46480743691899257,1.7928286852589612,30.180806675938804,False,-0.8519,0.0991,3,3,3,100.0,15.757977188140112,24.922480620155024,7.535192563081007,0.46480743691899257,历史3/3次成功; 当前距低点0.46%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
8,80.38726789223121,77.50873108598175,300633,开立医疗,bottom_area,2023-08-09,43.19,2023-08-08,42.3,2.1040189125295523,3.3096926713948127,32.44969658256148,False,0.817,1.0941,1,1,1,100.0,17.12846347607052,17.12846347607052,5.895981087470448,2.1040189125295523,历史1/1次成功; 当前距低点2.10%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
9,80.20132551416027,78.0500305543431,688143,长盈通,bottom_area,2023-08-09,29.75,2023-08-09,29.0,2.586206896551724,3.655172413793099,30.605407992342666,False,0.2021,0.952,1,1,1,100.0,25.949367088607595,25.949367088607595,5.413793103448277,2.586206896551724,历史1/1次成功; 当前距低点2.59%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
10,79.72143514208938,74.44609826667245,688328,深科达,bottom_area,2023-08-09,22.76,2023-08-09,22.66,0.4413062665489913,3.662842012356568,27.994915792818553,False,-2.1917,3.5617,2,2,2,100.0,25.92621803443088,29.170984455958543,7.558693733451009,0.4413062665489913,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
11,79.45089247908894,74.73662395104759,002829,星网宇达,bottom_area,2023-08-09,30.73,2023-08-02,30.48,0.8202099737532809,3.0511811023622037,31.918695555059195,False,-0.9349,1.3155,3,3,3,100.0,15.4661435011025,21.628131021194598,7.17979002624672,0.8202099737532809,历史3/3次成功; 当前距低点0.82%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
12,79.22817881954418,73.4868147174099,300455,航天智装,bottom_area,2023-08-09,11.11,2023-08-09,11.1,0.09009009009008817,1.9819819819819877,28.84615384615385,False,-1.4197,1.2863,2,2,2,100.0,16.463549047394118,18.904109589041095,7.909909909909913,0.09009009009008817,历史2/2次成功; 当前距低点0.09%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
13,77.98024160070793,74.17258766051278,601360,三六零,bottom_area,2023-08-09,11.61,2023-07-24,11.45,1.3973799126637567,6.637554585152852,29.1460396039604,False,-2.0253,1.086,1,1,1,100.0,13.003300330033007,13.003300330033007,6.602620087336243,1.3973799126637567,历史1/1次成功; 当前距低点1.40%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
14,77.91536621604399,73.43666917116283,300342,天银机电,bottom_area,2023-08-09,10.94,2023-08-09,10.84,0.9225092250922476,4.243542435424362,30.10960670535139,False,-3.3569,4.7375,3,3,3,100.0,19.9461838944793,26.68539325842696,7.077490774907752,0.9225092250922476,历史3/3次成功; 当前距低点0.92%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
15,77.6739010337431,75.98732728501776,688300,联瑞新材,bottom_area,2023-08-09,43.18,2023-08-08,41.98,2.8585040495474106,6.479275845640796,28.239316239316242,False,-2.9445,0.3219,2,2,2,100.0,24.003852247235756,26.809910956252438,5.1414959504525894,2.8585040495474106,历史2/2次成功; 当前距低点2.86%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
16,76.98137779761099,73.54888418158352,600990,四创电子,bottom_area,2023-08-09,23.09,2023-07-24,22.72,1.6285211267605677,3.521126760563384,29.199127454035533,False,-0.3022,0.3774,1,1,1,100.0,12.483399734395755,12.483399734395755,6.371478873239432,1.6285211267605677,历史1/1次成功; 当前距低点1.63%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
17,74.4481361082442,71.77445691674069,300389,艾比森,bottom_area,2023-08-09,15.57,2023-08-01,15.25,2.098360655737707,5.7704918032786825,27.895981087470446,False,-2.137,1.0483,1,1,1,100.0,8.702791461412156,8.702791461412156,5.901639344262294,2.098360655737707,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
18,74.32725858424682,69.3201556513013,688287,退市观典,bottom_area,2023-08-09,10.71,2023-08-09,10.67,0.37488284910966185,1.686972820993437,28.676470588235297,False,-0.8333,0.3823,1,1,1,100.0,14.219830899308223,14.219830899308223,7.625117150890339,0.37488284910966185,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
