rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.87058136437304,79.28979933430466,601155,新城控股,bottom_area,2022-10-20,15.6,2022-10-20,15.38,1.4304291287386142,2.340702210663195,32.691466083150985,False,-0.3831,0.9671,2,2,2,100.0,24.2536438055306,24.642857142857142,8.569570871261387,1.4304291287386142,历史2/2次成功; 当前距低点1.43%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
2,79.11051973826848,74.08505639423912,688091,上海谊众,bottom_area,2022-10-20,77.69,2022-10-20,76.5,1.5555555555555525,6.692810457516346,31.08108108108108,False,-1.1452,2.8835,1,1,1,100.0,14.471629359708471,14.471629359708471,8.444444444444448,1.5555555555555525,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
3,77.9167771883289,76.59615384615384,000762,西藏矿业,bottom_area,2022-10-20,40.6,2022-10-12,39.0,4.102564102564106,9.717948717948715,29.66636609558161,True,-2.521,3.7527,1,1,1,100.0,71.15671641791043,71.15671641791043,5.897435897435894,4.102564102564106,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-2.52%; 状态bottom_area; 底部已确认
4,76.4581125,69.507375,600303,曙光股份,bottom_area,2022-10-20,6.97,2022-10-20,6.97,0.0,4.017216642754667,27.546777546777545,False,-5.0409,10.6478,2,2,2,100.0,16.437499999999993,19.37499999999999,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
5,75.8161706012795,72.41090119378784,002677,浙江美大,bottom_area,2022-10-20,11.1,2022-10-11,10.82,2.5878003696857608,6.931608133086876,27.81854569713142,False,-1.1576,0.4003,1,1,1,100.0,18.124118476727787,18.124118476727787,7.412199630314239,2.5878003696857608,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
6,73.5374698439898,73.35811016144349,600126,杭钢股份,bottom_area,2022-10-20,4.09,2022-10-11,3.9,4.8717948717948705,7.179487179487174,31.698774080560423,True,0.0,0.1857,1,1,1,100.0,19.54732510288064,19.54732510288064,5.12820512820513,4.8717948717948705,历史1/1次成功; 当前距低点4.87%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
7,73.30553624041539,67.72948987873029,000703,恒逸石化,bottom_area,2022-10-20,7.13,2022-10-20,7.07,0.8486562942008431,3.253182461103247,27.03818369453044,False,-2.9932,1.5491,1,1,1,100.0,11.475409836065575,11.475409836065575,9.151343705799157,0.8486562942008431,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
8,71.21983377449152,69.83875281985176,002374,中锐股份,bottom_area,2022-10-20,4.45,2022-10-12,4.28,3.9719626168224282,9.579439252336451,31.629392971246002,True,-1.1111,1.7027,1,1,1,100.0,12.068965517241388,12.068965517241388,6.028037383177573,3.9719626168224282,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-1.11%; 状态bottom_area; 底部已确认
9,63.21456736090353,59.03509183290991,600346,恒力石化,bottom_area,2022-10-20,15.82,2022-10-20,15.6,1.4102564102564144,2.179487179487179,27.74432607688745,False,-0.5031,0.2969,1,2,1,50.0,23.443421765024375,23.443421765024375,8.589743589743588,1.4102564102564144,历史1/2次成功; 当前距低点1.41%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
10,60.578575604513425,60.546708915610466,000889,中嘉博创,confirmed_rebound,2022-10-20,1.9,2022-10-12,1.81,4.972375690607727,11.049723756906062,28.74015748031496,True,-1.0417,1.5575,2,3,2,66.66666666666666,23.478810879190387,34.408602150537625,5.027624309392274,4.972375690607727,历史2/3次成功; 当前距低点4.97%; 最新日涨幅-1.04%; 状态confirmed_rebound; 底部已确认
11,58.65253482483829,57.69519183585845,601919,中远海控,bottom_area,2022-10-20,11.33,2022-10-10,10.88,4.1360294117646985,8.915441176470578,28.13738441215323,True,-2.3276,0.7304,1,2,1,50.0,40.45881126173098,40.45881126173098,5.8639705882353015,4.1360294117646985,历史1/2次成功; 当前距低点4.14%; 最新日涨幅-2.33%; 状态bottom_area; 底部已确认
