rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.45569773031818,82.8388612227325,600004,白云机场,bottom_area,2023-10-10,10.83,2023-10-09,10.72,1.0261194029850693,4.1977611940298445,27.322033898305083,False,0.3707,0.6417,1,1,1,100.0,32.57211538461537,32.57211538461537,13.973880597014931,1.0261194029850693,历史1/1次成功; 当前距低点1.03%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
2,89.87577303501934,78.71919835838798,300649,杭州园林,bottom_area,2023-10-10,18.19,2023-10-10,18.12,0.386313465783666,2.81456953642383,30.307692307692303,False,-1.6757,4.3618,2,2,2,100.0,48.22576914179969,71.60305343511452,14.613686534216333,0.386313465783666,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
3,87.01029188550595,80.32486808237648,002534,西子洁能,bottom_area,2023-10-10,12.88,2023-09-22,12.48,3.2051282051282075,7.2115384615384635,27.861271676300582,True,-0.3867,0.3451,3,3,3,100.0,25.712690269187092,33.11594202898551,11.794871794871792,3.2051282051282075,历史3/3次成功; 当前距低点3.21%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
4,86.7282151869847,76.53935715084444,301313,凡拓数创,bottom_area,2023-10-10,28.02,2023-10-09,27.8,0.791366906474816,10.215827338129497,30.93167701863354,False,0.0714,10.8078,3,4,3,75.0,39.831579019392564,52.43243243243245,14.208633093525183,0.791366906474816,历史3/4次成功; 当前距低点0.79%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
5,86.22430484311155,79.36597008953356,603226,菲林格尔,bottom_area,2023-10-10,5.41,2023-09-12,5.25,3.0476190476190506,8.952380952380947,29.71887550200803,True,-1.0969,0.8944,3,3,3,100.0,18.62656730163969,20.479302832244016,11.952380952380949,3.0476190476190506,历史3/3次成功; 当前距低点3.05%; 最新日涨幅-1.10%; 状态bottom_area; 底部已确认
6,84.68412933413416,74.10883616047101,601226,华电科工,bottom_area,2023-10-10,5.89,2023-09-25,5.87,0.340715502555359,4.088586030664399,27.975460122699385,False,-1.8333,0.5082,1,1,1,100.0,39.54659949622166,39.54659949622166,14.659284497444641,0.340715502555359,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
7,83.31593265405544,77.58302752293582,002356,赫美集团,bottom_area,2023-10-10,4.52,2023-09-27,4.36,3.6697247706421847,9.633027522935777,29.903536977491953,True,-1.5251,0.5903,1,1,1,100.0,69.37669376693766,69.37669376693766,11.330275229357815,3.6697247706421847,历史1/1次成功; 当前距低点3.67%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
8,83.08848824677422,78.54990262019126,000411,英特集团,bottom_area,2023-10-10,11.89,2023-08-24,11.38,4.481546572934971,9.490333919156415,27.974683544303797,True,-2.1399,1.8688,3,3,3,100.0,31.816283905822544,47.98426745329401,10.518453427065028,4.481546572934971,历史3/3次成功; 当前距低点4.48%; 最新日涨幅-2.14%; 状态bottom_area; 底部已确认
9,80.73685929581751,70.50691729950765,000006,深振业A,bottom_area,2023-10-10,4.38,2023-10-09,4.37,0.2288329519450752,3.89016018306636,28.36065573770491,False,-0.2278,0.8617,1,1,1,100.0,18.809980806142043,18.809980806142043,14.771167048054924,0.2288329519450752,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
10,80.119716454278,76.2587183208085,000058,深赛格,bottom_area,2023-10-10,7.14,2023-09-22,6.81,4.8458149779735695,7.635829662261387,27.16577540106952,True,1.2766,2.8101,1,1,1,100.0,34.82352941176472,34.82352941176472,10.154185022026429,4.8458149779735695,历史1/1次成功; 当前距低点4.85%; 最新日涨幅1.28%; 状态bottom_area; 底部已确认
11,79.63006627244116,72.65650246774777,600032,浙江新能,bottom_area,2023-10-10,9.95,2023-09-22,9.7,2.577319587628866,5.154639175257732,27.395209580838326,False,-1.2897,0.9606,1,1,1,100.0,19.31608133086876,19.31608133086876,12.422680412371133,2.577319587628866,历史1/1次成功; 当前距低点2.58%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
12,75.00985458179514,70.6907207718502,300749,顶固集创,bottom_area,2023-10-10,9.19,2023-09-11,8.81,4.3132803632235985,9.421112372304199,28.663967611336027,True,-0.5411,2.1965,1,1,1,100.0,20.833333333333336,20.833333333333336,10.6867196367764,4.3132803632235985,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-0.54%; 状态bottom_area; 底部已确认
13,66.14250876737526,59.68727874276261,002069,獐子岛,bottom_area,2023-10-10,4.11,2023-09-14,4.03,1.985111662531019,6.699751861042174,28.79858657243816,False,0.489,0.8538,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,13.01488833746898,1.985111662531019,历史1/3次成功; 当前距低点1.99%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
14,64.07442317117935,56.16563035046249,600322,津投城开,bottom_area,2023-10-10,2.34,2023-10-10,2.33,0.429184549356214,3.0042918454935554,28.963414634146332,False,-0.8475,3.2351,1,2,1,50.0,35.828877005347586,35.828877005347586,14.570815450643785,0.429184549356214,历史1/2次成功; 当前距低点0.43%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
15,59.16892512719705,55.797807585568926,002177,御银股份,bottom_area,2023-10-10,4.08,2023-09-28,3.91,4.34782608695652,5.37084398976982,27.992633517495392,False,2.0,3.6272,1,2,1,50.0,19.574468085106382,19.574468085106382,10.65217391304348,4.34782608695652,历史1/2次成功; 当前距低点4.35%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
