rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.27104189557771,81.30343430165684,688237,超卓航科,confirmed_rebound,2025-12-02,46.0,2025-12-02,45.31,1.5228426395939034,8.585301258000442,27.48079385403328,False,-7.7232,5.2449,5,5,5,100.0,23.309223225435044,41.301843317972356,6.477157360406097,1.5228426395939034,历史5/5次成功; 当前距低点1.52%; 最新日涨幅-7.72%; 状态confirmed_rebound; 底部未确认
2,84.55363444269939,80.11641747486095,000803,山高环能,bottom_area,2025-12-02,6.76,2025-12-02,6.68,1.1976047904191627,2.5449101796407176,30.34410844629823,False,-1.0249,2.1342,2,2,2,100.0,25.843851596863644,36.1111111111111,6.802395209580838,1.1976047904191627,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
3,82.86662596591421,78.70439877176997,603151,邦基科技,bottom_area,2025-12-02,18.41,2025-11-21,18.17,1.3208585580627321,4.237754540451291,32.62884686688913,False,-1.4981,1.249,1,1,1,100.0,36.42987249544626,36.42987249544626,6.6791414419372686,1.3208585580627321,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
4,81.66872398822419,76.06319396161663,000661,长春高新,bottom_area,2025-12-02,98.98,2025-11-24,98.68,0.3040129712201025,2.452371301175504,30.394300627777387,False,-1.109,1.1132,3,3,3,100.0,16.270664172034742,25.03526756324649,7.695987028779898,0.3040129712201025,历史3/3次成功; 当前距低点0.30%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
5,81.55820007069644,78.81674796747973,002321,华英农业,bottom_area,2025-12-02,2.76,2025-12-02,2.7,2.2222222222222077,2.592592592592587,30.051813471502587,False,0.3636,2.4285,1,1,1,100.0,25.609756097560986,25.609756097560986,5.777777777777793,2.2222222222222077,历史1/1次成功; 当前距低点2.22%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
6,80.14701525572927,77.05182697224832,600550,保变电气,bottom_area,2025-12-02,9.4,2025-11-28,9.22,1.9522776572668081,4.121475054229924,29.076923076923073,False,-1.0526,2.5238,1,1,1,100.0,35.285053929121716,35.285053929121716,6.047722342733191,1.9522776572668081,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
7,79.16294166015157,77.37501997324252,603178,圣龙股份,bottom_area,2025-12-02,18.28,2025-11-24,17.78,2.8121484814398197,4.668166479190091,27.694184627897517,False,-1.2959,1.1198,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,5.187851518560181,2.8121484814398197,历史6/7次成功; 当前距低点2.81%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
8,77.54770690650935,76.53972637667768,002338,奥普光电,bottom_area,2025-12-02,50.42,2025-11-21,48.8,3.3196721311475503,5.594262295081975,30.632551528073915,False,-2.0971,1.5714,3,3,3,100.0,15.960101267172554,20.995288574793882,4.68032786885245,3.3196721311475503,历史3/3次成功; 当前距低点3.32%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
9,77.35883229775332,73.53447414763097,688337,普源精电,bottom_area,2025-12-02,36.41,2025-11-21,35.92,1.3641425389754869,5.066815144766148,28.159999999999997,False,-1.2208,0.7126,4,6,4,66.66666666666666,31.387378870045207,54.46153846153845,6.635857461024513,1.3641425389754869,历史4/6次成功; 当前距低点1.36%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
10,76.60119773987105,75.43776761975695,603127,昭衍新药,confirmed_rebound,2025-12-02,27.7,2025-11-21,26.84,3.204172876304022,8.792846497764529,29.33122696155871,True,-2.2238,1.1402,2,2,2,100.0,26.307966546936147,41.08695652173912,4.795827123695978,3.204172876304022,历史2/2次成功; 当前距低点3.20%; 最新日涨幅-2.22%; 状态confirmed_rebound; 底部已确认
11,76.56007813152206,74.67183976345709,300687,赛意信息,confirmed_rebound,2025-12-02,22.81,2025-11-24,22.21,2.7014858171994502,9.14002701485816,27.251883393383558,True,-2.145,1.8732,2,2,2,100.0,16.028104444472227,23.299319727891156,5.29851418280055,2.7014858171994502,历史2/2次成功; 当前距低点2.70%; 最新日涨幅-2.15%; 状态confirmed_rebound; 底部已确认
12,76.41324742189269,76.66262011247457,300432,富临精工,confirmed_rebound,2025-12-02,15.74,2025-11-24,15.11,4.169424222369297,10.655195234943744,27.320827320827323,True,-2.7795,2.3712,4,4,4,100.0,11.39197494342242,13.323239969719907,3.830575777630703,4.169424222369297,历史4/4次成功; 当前距低点4.17%; 最新日涨幅-2.78%; 状态confirmed_rebound; 底部已确认
13,76.2549749824658,70.67117893322884,300035,中科电气,bottom_area,2025-12-02,21.03,2025-12-02,21.02,0.0475737392959161,5.233111322549959,27.013888888888893,False,-4.9277,6.2357,1,1,1,100.0,27.686274509803933,27.686274509803933,7.952426260704085,0.0475737392959161,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
14,76.24736458379542,76.2008297259475,300559,佳发教育,confirmed_rebound,2025-12-02,11.79,2025-11-21,11.34,3.9682539682539617,10.052910052910057,27.908455181182457,True,-1.2563,1.5287,3,3,3,100.0,23.109939642830778,29.09783989834816,4.031746031746039,3.9682539682539617,历史3/3次成功; 当前距低点3.97%; 最新日涨幅-1.26%; 状态confirmed_rebound; 底部已确认
15,75.66694886036562,74.39826269648864,603173,福斯达,bottom_area,2025-12-02,38.0,2025-11-24,36.85,3.1207598371777436,5.427408412483039,32.86573146292585,False,-0.6276,1.9556,1,1,1,100.0,35.34190927555856,35.34190927555856,4.879240162822257,3.1207598371777436,历史1/1次成功; 当前距低点3.12%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
16,75.40826817029857,75.38056321597723,600506,统一股份,bottom_area,2025-12-02,26.12,2025-11-28,25.12,3.9808917197452227,6.210191082802543,31.17808219178082,False,2.3912,18.2163,1,1,1,100.0,28.69352869352869,28.69352869352869,4.019108280254778,3.9808917197452227,历史1/1次成功; 当前距低点3.98%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
17,75.27400067991589,70.8782528114561,688050,爱博医疗,bottom_area,2025-12-02,60.15,2025-11-21,59.63,0.8720442730169311,3.387556599027328,28.86794703566742,False,-1.876,0.9655,2,2,2,100.0,12.024267494272554,12.90770757525636,7.127955726983069,0.8720442730169311,历史2/2次成功; 当前距低点0.87%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
18,75.08855928588785,74.71644749021004,688766,普冉股份,bottom_area,2025-12-02,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,4.258333333333337,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
19,74.69436427820304,69.56377476407208,600383,金地集团,bottom_area,2025-12-02,3.33,2025-12-01,3.32,0.3012048192771154,4.216867469879522,27.192982456140346,False,-0.597,2.3844,3,4,3,75.0,18.793127699053183,32.594936708860764,7.698795180722885,0.3012048192771154,历史3/4次成功; 当前距低点0.30%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
20,74.68081214422551,75.63424602692193,002664,信质集团,bottom_area,2025-12-02,22.91,2025-11-24,21.89,4.659661946094105,7.446322521699401,30.727848101265824,True,-2.094,1.6666,2,2,2,100.0,34.990727225895085,52.526315789473685,3.3403380539058953,4.659661946094105,历史2/2次成功; 当前距低点4.66%; 最新日涨幅-2.09%; 状态bottom_area; 底部已确认
