rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.55808088574044,84.13273954840757,300534,陇神戎发,bottom_area,2025-09-23,9.53,2025-09-23,9.35,1.9251336898395692,3.850267379679157,27.519379844961243,False,-2.0555,2.4337,5,5,5,100.0,23.021743877643914,41.58730158730159,6.074866310160431,1.9251336898395692,历史5/5次成功; 当前距低点1.93%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
2,86.48092767789015,82.50073933734059,000718,苏宁环球,bottom_area,2025-09-23,2.62,2025-09-23,2.58,1.5503875968992262,4.651162790697678,31.2,False,-3.6765,9.3972,4,4,4,100.0,19.86894117349903,36.111111111111114,6.449612403100774,1.5503875968992262,历史4/4次成功; 当前距低点1.55%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
3,86.40760843032461,82.85661082359894,000679,大连友谊,bottom_area,2025-09-23,7.84,2025-09-23,7.7,1.818181818181814,3.3766233766233738,27.083333333333336,False,-1.5075,2.1665,8,8,8,100.0,14.8498138121154,24.94061757719715,6.181818181818186,1.818181818181814,历史8/8次成功; 当前距低点1.82%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
4,83.77965660860104,81.22314356164412,300584,海辰药业,bottom_area,2025-09-23,57.01,2025-09-23,55.68,2.3886494252873534,6.501436781609191,31.99804592085979,False,-4.0559,10.5473,5,5,5,100.0,23.275614254297178,54.23197492163009,5.611350574712646,2.3886494252873534,历史5/5次成功; 当前距低点2.39%; 最新日涨幅-4.06%; 状态bottom_area; 底部未确认
5,83.61993512101482,79.48806728135034,601900,南方传媒,bottom_area,2025-09-23,12.62,2025-09-23,12.45,1.3654618473895577,2.409638554216873,30.756395995550616,False,-1.0196,0.768,2,2,2,100.0,24.523227383863077,39.999999999999986,6.634538152610442,1.3654618473895577,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
6,83.02672615705703,79.6773682007968,002755,奥赛康,bottom_area,2025-09-23,20.82,2025-09-23,20.44,1.8590998043052789,5.088062622309193,28.75566399442314,False,-2.7103,0.7757,2,2,2,100.0,31.59202018609052,32.35294117647059,6.140900195694721,1.8590998043052789,历史2/2次成功; 当前距低点1.86%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
7,82.89157490347512,79.6924250960274,000037,深南电A,bottom_area,2025-09-23,8.35,2025-09-23,8.19,1.9536019536019553,3.663003663003672,28.220858895705526,False,-1.533,1.9384,8,9,8,88.88888888888889,23.57212541944976,45.16765285996055,6.046398046398045,1.9536019536019553,历史8/9次成功; 当前距低点1.95%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
8,82.43334240548003,79.53596097013926,301378,通达海,bottom_area,2025-09-23,29.12,2025-09-23,28.51,2.1396001403016465,5.226236408277791,28.707176794198546,False,-3.0948,6.3736,4,4,4,100.0,11.151877903371037,16.487324457413823,5.8603998596983535,2.1396001403016465,历史4/4次成功; 当前距低点2.14%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
9,81.61923106616506,77.44789046653142,601669,中国电建,bottom_area,2025-09-23,5.57,2025-09-23,5.5,1.272727272727278,2.181818181818184,29.8469387755102,False,-1.0657,1.8437,2,2,2,100.0,12.417788431987212,16.457680250783696,6.727272727272722,1.272727272727278,历史2/2次成功; 当前距低点1.27%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
10,81.50692440833565,78.92944099378884,301009,可靠股份,bottom_area,2025-09-23,13.18,2025-09-23,12.88,2.3291925465838426,4.5807453416149055,30.566037735849054,False,-1.4211,3.2977,1,1,1,100.0,53.96648044692738,53.96648044692738,5.670807453416157,2.3291925465838426,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
11,81.27381225200314,79.33794465119269,002759,天际股份,bottom_area,2025-09-23,14.59,2025-09-23,14.2,2.7464788732394405,7.887323943661979,29.000000000000004,False,-3.3775,13.791,4,4,4,100.0,17.526432699884932,27.166666666666668,5.2535211267605595,2.7464788732394405,历史4/4次成功; 当前距低点2.75%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
12,81.0461140966974,77.44184997968063,000096,广聚能源,bottom_area,2025-09-23,11.19,2025-09-23,11.01,1.6348773841961828,2.0890099909173516,28.039215686274517,False,-0.4448,1.4328,2,2,2,100.0,16.82457212713937,21.149144254278735,6.365122615803817,1.6348773841961828,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
13,80.71758127157084,78.30073954697141,600322,津投城开,confirmed_rebound,2025-09-23,2.54,2025-09-23,2.48,2.4193548387096793,10.080645161290324,31.491712707182323,False,-7.6364,8.4507,4,4,4,100.0,18.15520741521231,35.828877005347586,5.58064516129032,2.4193548387096793,历史4/4次成功; 当前距低点2.42%; 最新日涨幅-7.64%; 状态confirmed_rebound; 底部未确认
14,80.36978346272193,78.50269240022996,002115,三维通信,bottom_area,2025-09-23,11.1,2025-09-23,10.8,2.7777777777777675,7.499999999999988,27.272727272727266,False,-3.7294,16.3521,4,4,4,100.0,13.419493191200443,20.720720720720706,5.222222222222232,2.7777777777777675,历史4/4次成功; 当前距低点2.78%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
15,78.81903037438146,76.43692328736182,301151,冠龙节能,bottom_area,2025-09-23,20.87,2025-09-23,20.38,2.4043179587831305,5.004906771344453,28.49122807017544,False,-2.1107,7.6113,1,1,1,100.0,37.520259319286865,37.520259319286865,5.595682041216869,2.4043179587831305,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
16,76.34894657568317,74.03009220246466,002651,利君股份,bottom_area,2025-09-23,11.11,2025-09-23,10.85,2.3963133640552976,5.806451612903233,28.09807819748178,False,-2.2867,4.0709,3,4,3,75.0,28.648853078014685,41.96642685851319,5.603686635944703,2.3963133640552976,历史3/4次成功; 当前距低点2.40%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
17,76.08651769565283,72.54396969439372,600259,中稀有色,bottom_area,2025-09-23,53.39,2025-09-23,52.59,1.5212017493820063,6.750332762882671,30.122242891310126,False,-4.4047,4.537,1,1,1,100.0,15.980159585939194,15.980159585939194,6.478798250617994,1.5212017493820063,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-4.40%; 状态bottom_area; 底部未确认
18,75.41284108283178,73.91252709990827,300645,正元智慧,bottom_area,2025-09-23,17.42,2025-09-23,16.92,2.9550827423167845,5.319148936170204,32.129963898916955,False,-2.3543,5.029,1,1,1,100.0,30.699547055863096,30.699547055863096,5.044917257683215,2.9550827423167845,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
19,75.25283414100367,76.47295967483109,600316,洪都航空,confirmed_rebound,2025-09-23,35.55,2025-09-16,33.91,4.836331465644355,9.407254497198482,28.565409732462616,True,-1.0576,1.7902,5,5,5,100.0,18.547287185485008,30.462519936204153,3.163668534355646,4.836331465644355,历史5/5次成功; 当前距低点4.84%; 最新日涨幅-1.06%; 状态confirmed_rebound; 底部已确认
20,74.20686108070532,72.99189517221879,300528,幸福蓝海,bottom_area,2025-09-23,23.31,2025-09-23,22.6,3.14159292035397,6.548672566371668,32.73809523809524,False,-3.0366,10.4107,2,2,2,100.0,21.584553928095872,23.169107856191747,4.85840707964603,3.14159292035397,历史2/2次成功; 当前距低点3.14%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
21,73.89779481978876,72.62969317839509,300192,科德教育,confirmed_rebound,2025-09-23,19.29,2025-09-09,18.71,3.0999465526456347,8.177445216461772,32.649388048956084,True,-1.5314,8.4919,1,1,1,100.0,26.599845797995382,26.599845797995382,4.900053447354366,3.0999465526456347,历史1/1次成功; 当前距低点3.10%; 最新日涨幅-1.53%; 状态confirmed_rebound; 底部已确认
22,72.63883402585182,67.99386020509898,600103,青山纸业,confirmed_rebound,2025-09-23,3.56,2025-09-23,3.54,0.56497175141243,11.016949152542377,28.340080971659926,False,-9.4148,22.8676,2,2,2,100.0,13.182773109243701,13.865546218487399,7.43502824858757,0.56497175141243,历史2/2次成功; 当前距低点0.56%; 最新日涨幅-9.41%; 状态confirmed_rebound; 底部未确认
23,72.33992438230348,71.06708113804007,002259,升达林业,bottom_area,2025-09-23,4.02,2025-09-23,3.9,3.076923076923068,5.641025641025646,27.509293680297397,False,-2.4272,2.1722,1,1,1,100.0,16.894977168949776,16.894977168949776,4.923076923076932,3.076923076923068,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
24,71.85977089678916,70.79190855704697,002181,粤传媒,bottom_area,2025-09-23,7.69,2025-09-23,7.45,3.2214765100671174,5.637583892617449,29.31688804554079,False,-2.4112,4.4591,1,1,1,100.0,17.187499999999993,17.187499999999993,4.778523489932883,3.2214765100671174,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
25,71.32051067193676,66.03750988142292,603848,好太太,confirmed_rebound,2025-09-23,24.46,2025-09-23,24.46,0.0,9.403107113654949,28.667249927092442,False,-10.0074,1.5493,1,1,1,100.0,24.664031620553352,24.664031620553352,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态confirmed_rebound; 底部未确认
26,69.6409661759832,70.39878503461026,688166,博瑞医药,confirmed_rebound,2025-09-23,74.02,2025-09-23,70.79,4.562791354711102,14.42294109337476,29.89006635634346,False,-9.511,7.9695,2,2,2,100.0,35.27929743737403,50.993377483443716,3.437208645288898,4.562791354711102,历史2/2次成功; 当前距低点4.56%; 最新日涨幅-9.51%; 状态confirmed_rebound; 底部未确认
