rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.15427245941605,84.36915614097282,300538,同益股份,bottom_area,2023-12-08,18.76,2023-12-08,18.55,1.1320754716981178,2.9649595687331574,29.198473282442745,False,0.0,4.2398,2,2,2,100.0,25.431657077658826,30.150753768844226,6.867924528301883,1.1320754716981178,历史2/2次成功; 当前距低点1.13%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,87.41871268117801,84.09694195580279,002137,实益达,bottom_area,2023-12-08,7.19,2023-11-30,7.05,1.9858156028368874,5.6737588652482325,27.31958762886598,False,-2.8378,8.5084,3,3,3,100.0,40.23979317349941,89.3034825870647,6.014184397163112,1.9858156028368874,历史3/3次成功; 当前距低点1.99%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
3,84.21250430875716,79.90507652749031,300511,雪榕生物,confirmed_rebound,2023-12-08,5.58,2023-10-30,5.51,1.270417422867519,8.34845735027223,27.212681638044923,True,-3.125,2.8927,3,3,3,100.0,20.170044363592744,29.220779220779214,6.729582577132481,1.270417422867519,历史3/3次成功; 当前距低点1.27%; 最新日涨幅-3.12%; 状态confirmed_rebound; 底部已确认
4,83.56380287879625,81.50244693526776,603211,晋拓股份,bottom_area,2023-12-08,19.01,2023-12-07,18.51,2.7012425715829282,6.050783360345744,28.200155159038008,False,1.7121,28.0171,3,3,3,100.0,12.587526873531388,15.200000000000008,5.298757428417073,2.7012425715829282,历史3/3次成功; 当前距低点2.70%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
5,79.05822273830358,75.0547565840002,300683,海特生物,bottom_area,2023-12-08,36.67,2023-12-06,36.2,1.2983425414364609,5.220994475138123,29.89930286599535,False,-0.4344,1.0457,1,1,1,100.0,16.532137518684582,16.532137518684582,6.70165745856354,1.2983425414364609,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
6,77.68229484858647,72.55254611333315,605086,龙高股份,bottom_area,2023-12-08,26.85,2023-11-30,26.73,0.4489337822671193,6.808829031051254,32.889781571679634,False,-2.5762,8.3913,2,2,2,100.0,15.839328693022429,17.79249448123621,7.551066217732881,0.4489337822671193,历史2/2次成功; 当前距低点0.45%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
7,77.02188274857672,71.316558100534,605218,伟时电子,bottom_area,2023-12-08,25.29,2023-12-08,25.29,0.0,4.468169236852521,27.701543739279582,False,-10.0,11.1555,2,2,2,100.0,26.164290863086038,42.36874236874236,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
8,76.71418954752863,76.44828247803979,688303,大全能源,bottom_area,2023-12-08,29.9,2023-12-07,28.8,3.819444444444437,3.819444444444437,32.10749646393211,False,1.253,2.0848,1,1,1,100.0,32.45492371705965,32.45492371705965,4.180555555555563,3.819444444444437,历史1/1次成功; 当前距低点3.82%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
9,76.53550126494898,75.2656496812222,688282,理工导航,bottom_area,2023-12-08,38.55,2023-12-06,37.38,3.130016051364351,4.842161583734604,32.62436914203315,False,0.4168,2.9791,1,1,1,100.0,17.645625152327572,17.645625152327572,4.8699839486356495,3.130016051364351,历史1/1次成功; 当前距低点3.13%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
10,75.31735834752608,70.8524941620953,002142,宁波银行,bottom_area,2023-12-08,20.82,2023-12-07,20.65,0.8232445520581197,2.421307506053269,28.988995873452545,False,-0.9986,0.4561,1,1,1,100.0,27.95425667090217,27.95425667090217,7.176755447941881,0.8232445520581197,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
11,75.03183733670463,69.9491150442478,002369,卓翼科技,bottom_area,2023-12-08,5.67,2023-12-08,5.65,0.3539823008849482,3.539823008849545,27.47111681643132,False,-1.9031,5.8876,1,1,1,100.0,17.345132743362825,17.345132743362825,7.646017699115052,0.3539823008849482,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
12,74.92658298268543,69.49715677611835,002508,老板电器,bottom_area,2023-12-08,22.18,2023-12-06,22.16,0.09025270758122551,2.030685920577614,28.40064620355412,False,-1.2467,0.5361,1,1,1,100.0,11.682435211846977,11.682435211846977,7.909747292418774,0.09025270758122551,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
13,74.37610099247469,72.25301616759569,603353,和顺石油,bottom_area,2023-12-08,26.3,2023-12-08,25.66,2.494154325798911,5.416991426344507,30.271739130434778,False,-1.9023,3.7798,3,4,3,75.0,20.294021668909693,27.079174983366617,5.505845674201089,2.494154325798911,历史3/4次成功; 当前距低点2.49%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
14,73.50028071640763,71.43938444640546,603178,圣龙股份,bottom_area,2023-12-08,39.85,2023-12-08,38.87,2.5212245948032006,6.071520452791355,30.552081472217264,False,-3.4408,11.1474,3,4,3,75.0,26.466540443853496,44.66270354096666,5.478775405196799,2.5212245948032006,历史3/4次成功; 当前距低点2.52%; 最新日涨幅-3.44%; 状态bottom_area; 底部未确认
15,71.64133744790232,67.3702047413793,605188,国光连锁,bottom_area,2023-12-08,8.77,2023-12-08,8.7,0.8045977011494285,5.40229885057472,27.680798004987533,False,-4.6739,3.078,1,1,1,100.0,19.218749999999993,19.218749999999993,7.1954022988505715,0.8045977011494285,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-4.67%; 状态bottom_area; 底部未确认
