rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.58479869854808,78.14703473186997,002636,金安国纪,bottom_area,2025-07-23,11.82,2025-07-23,11.8,0.1694915254237252,2.4576271186440604,28.915662650602414,False,-1.99,3.9763,2,2,2,100.0,42.49180327868853,69.0,14.830508474576273,0.1694915254237252,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
2,81.81656362545019,71.14483793517408,603928,兴业股份,bottom_area,2025-07-23,15.37,2025-07-23,15.37,0.0,1.1060507482107997,31.04531179901301,False,-1.1576,2.6845,1,1,1,100.0,31.69267707082834,31.69267707082834,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
3,81.54235118433962,71.1469964037864,300879,大叶股份,bottom_area,2025-07-23,33.17,2025-07-23,33.11,0.18121413470251366,1.6309272123225587,28.286766298462208,False,-0.8667,3.9488,1,1,1,100.0,21.667551779075957,21.667551779075957,14.818785865297485,0.18121413470251366,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
4,77.62848224395559,72.57396234148547,002041,登海种业,bottom_area,2025-07-23,9.9,2025-06-23,9.53,3.882476390346286,5.771248688352578,29.719764011799416,False,-0.8016,1.4271,2,2,2,100.0,18.2043468358871,21.395106715252467,11.117523609653714,3.882476390346286,历史2/2次成功; 当前距低点3.88%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
5,77.61654388397145,68.81905627737869,000607,华媒控股,bottom_area,2025-07-23,4.85,2025-07-23,4.8,1.041666666666663,7.2916666666666785,27.819548872180455,False,-3.3865,9.1231,2,4,2,50.0,48.408904717089726,59.82721382289418,13.958333333333336,1.041666666666663,历史2/4次成功; 当前距低点1.04%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
6,76.0490709881942,71.71328245798617,301348,蓝箭电子,bottom_area,2025-07-23,20.65,2025-07-15,19.79,4.34562910560889,7.124810510358769,29.92209631728045,True,-1.5729,6.6608,1,1,1,100.0,26.727509778357234,26.727509778357234,10.654370894391109,4.34562910560889,历史1/1次成功; 当前距低点4.35%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
7,74.74152821880216,69.8704934980371,000999,华润三九,bottom_area,2025-07-23,31.6,2025-07-15,30.42,3.8790269559500317,5.0295857988165595,30.036798528058867,False,-0.284,0.5229,1,1,1,100.0,20.293951384963254,20.293951384963254,11.120973044049967,3.8790269559500317,历史1/1次成功; 当前距低点3.88%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
8,74.38069355169372,64.9825869185923,002658,雪迪龙,bottom_area,2025-07-23,8.0,2025-07-17,7.98,0.25062656641603476,2.1303258145363397,30.36649214659686,False,-0.9901,3.7847,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,14.749373433583965,0.25062656641603476,历史2/3次成功; 当前距低点0.25%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
9,65.24003070706858,58.443900428095795,600241,时代万恒,bottom_area,2025-07-23,8.29,2025-07-15,8.16,1.5931372549019485,4.534313725490186,30.25641025641025,False,-1.1919,2.4189,1,2,1,50.0,22.50673854447439,22.50673854447439,13.40686274509805,1.5931372549019485,历史1/2次成功; 当前距低点1.59%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
10,63.26088497227443,55.11057688873014,603022,新通联,bottom_area,2025-07-23,10.19,2025-07-23,10.18,0.0982318271119822,1.0805500982318215,32.26879574184963,False,-0.8755,2.5264,1,2,1,50.0,26.099706744868023,26.099706744868023,14.901768172888016,0.0982318271119822,历史1/2次成功; 当前距低点0.10%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
11,61.13806960092992,55.921419222609735,000637,茂化实华,bottom_area,2025-07-23,4.17,2025-07-07,4.06,2.709359605911338,5.665024630541883,27.370304114490168,False,-0.9501,2.942,1,2,1,50.0,22.627737226277358,22.627737226277358,12.290640394088662,2.709359605911338,历史1/2次成功; 当前距低点2.71%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
12,59.41431849864151,55.02451452967912,002811,郑中设计,bottom_area,2025-07-23,10.41,2025-06-23,10.07,3.376365441906652,9.632571996027794,31.728813559322035,True,-1.5137,2.3039,1,2,1,50.0,16.78832116788322,16.78832116788322,11.623634558093347,3.376365441906652,历史1/2次成功; 当前距低点3.38%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
13,58.543711164199046,54.51982859171356,300640,德艺文创,bottom_area,2025-07-23,6.49,2025-06-23,6.26,3.6741214057508054,7.348242811501597,27.880184331797235,True,-0.916,4.2589,1,2,1,50.0,17.724867724867735,17.724867724867735,11.325878594249195,3.6741214057508054,历史1/2次成功; 当前距低点3.67%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
14,54.42554285491856,51.64845010207999,002769,普路通,bottom_area,2025-07-23,8.49,2025-07-07,8.11,4.68557336621456,8.63131935881629,27.718360071301255,True,-1.2791,2.9246,1,4,1,25.0,35.51912568306011,35.51912568306011,10.31442663378544,4.68557336621456,历史1/4次成功; 当前距低点4.69%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
