rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.21480793910185,86.19031155191641,603222,济民健康,bottom_area,2022-06-29,11.0,2022-06-20,10.66,3.189493433395871,5.81613508442776,31.535003211303792,False,0.365,2.7773,6,6,6,100.0,27.109443978811754,68.46504559270518,6.81050656660413,3.189493433395871,历史6/6次成功; 当前距低点3.19%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
2,85.00806879264093,80.43064442830845,002116,中国海诚,bottom_area,2022-06-29,9.26,2022-06-28,9.07,2.094818081587646,4.52039691289967,29.635376260667183,False,0.1081,3.1746,2,2,2,100.0,16.058223948001523,18.51179673321235,7.905181918412355,2.094818081587646,历史2/2次成功; 当前距低点2.09%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
3,82.62747114036551,77.74619128262121,002265,建设工业,bottom_area,2022-06-29,15.8,2022-06-21,15.52,1.8041237113402135,8.118556701030938,29.454545454545457,True,-5.0481,5.0152,2,2,2,100.0,21.556953464929624,32.75229357798165,8.195876288659786,1.8041237113402135,历史2/2次成功; 当前距低点1.80%; 最新日涨幅-5.05%; 状态bottom_area; 底部已确认
4,80.55081726717512,77.12349083585957,603033,三维股份,bottom_area,2022-06-29,22.3,2022-06-24,21.71,2.717641639797328,9.719023491478579,28.25512227362855,True,-2.8746,0.4366,2,2,2,100.0,19.192009540846744,24.922480620155024,7.282358360202673,2.717641639797328,历史2/2次成功; 当前距低点2.72%; 最新日涨幅-2.87%; 状态bottom_area; 底部已确认
5,80.33124892170619,73.02840811064199,688095,福昕软件,bottom_area,2022-06-29,70.78,2022-06-29,70.78,0.0,2.853913534896858,30.512468093461614,False,-2.7346,1.4451,2,2,2,100.0,25.152731777645194,31.679509356817103,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
6,79.27562500000002,72.06875000000001,000017,深中华A,bottom_area,2022-06-29,4.56,2022-06-29,4.56,0.0,8.771929824561413,31.22171945701358,False,-10.0592,19.1688,1,1,1,100.0,46.874999999999986,46.874999999999986,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态bottom_area; 底部未确认
7,76.99800402038846,70.3301177063275,000037,深南电A,bottom_area,2022-06-29,8.09,2022-06-29,8.07,0.24783147459726856,8.674101610904577,28.52081488042515,False,-5.8207,10.0914,3,4,3,75.0,32.47405090542621,45.16765285996055,9.752168525402732,0.24783147459726856,历史3/4次成功; 当前距低点0.25%; 最新日涨幅-5.82%; 状态bottom_area; 底部未确认
8,76.87163807635453,76.17910079638737,600382,广东明珠,bottom_area,2022-06-29,4.62,2022-06-28,4.42,4.524886877828059,8.144796380090504,27.77777777777778,True,1.3158,1.0186,2,2,2,100.0,13.794854181910498,17.365269461077848,5.475113122171942,4.524886877828059,历史2/2次成功; 当前距低点4.52%; 最新日涨幅1.32%; 状态bottom_area; 底部已确认
9,65.29085323608031,62.5783733826248,002339,积成电子,bottom_area,2022-06-29,5.56,2022-06-23,5.41,2.7726432532347403,7.208872458410346,31.863979848866503,True,-2.7972,3.7982,1,2,1,50.0,82.94930875576038,82.94930875576038,7.227356746765261,2.7726432532347403,历史1/2次成功; 当前距低点2.77%; 最新日涨幅-2.80%; 状态bottom_area; 底部已确认
10,53.57004295708077,52.26871725915678,001219,青岛食品,confirmed_rebound,2022-06-29,21.81,2022-06-23,21.03,3.7089871611982765,10.366143604374702,29.239569313593535,True,-2.6339,16.9501,1,2,1,50.0,16.264559068219636,16.264559068219636,6.2910128388017235,3.7089871611982765,历史1/2次成功; 当前距低点3.71%; 最新日涨幅-2.63%; 状态confirmed_rebound; 底部已确认
