rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.42216997090652,83.50849334804228,002386,天原股份,bottom_area,2023-09-01,5.83,2023-08-31,5.67,2.8218694885361577,3.703703703703703,31.604342581423396,False,2.4605,0.7425,3,3,3,100.0,24.851375171530723,48.85290148448042,5.178130511463842,2.8218694885361577,历史3/3次成功; 当前距低点2.82%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
2,82.79879736563727,82.52614461646195,002339,积成电子,confirmed_rebound,2023-09-01,6.78,2023-08-25,6.53,3.828483920367534,9.494640122511488,27.201783723522855,True,-0.7321,1.5097,4,4,4,100.0,38.73703201559097,82.94930875576038,4.171516079632466,3.828483920367534,历史4/4次成功; 当前距低点3.83%; 最新日涨幅-0.73%; 状态confirmed_rebound; 底部已确认
3,80.08284591813491,81.0204409581538,002265,建设工业,bottom_area,2023-09-01,12.72,2023-08-25,12.16,4.605263157894741,6.907894736842104,28.344136711844424,False,0.0787,0.5198,4,4,4,100.0,16.669037409429027,32.75229357798165,3.3947368421052593,4.605263157894741,历史4/4次成功; 当前距低点4.61%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
4,79.45826189658794,76.1843797439438,000028,国药一致,bottom_area,2023-09-01,32.02,2023-08-30,31.45,1.8124006359300597,2.861685214626398,28.765571913929783,False,-0.0936,0.7681,2,2,2,100.0,12.240070934754426,14.150943396226415,6.18759936406994,1.8124006359300597,历史2/2次成功; 当前距低点1.81%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
5,76.41777905200281,74.60382167046535,300751,迈为股份,bottom_area,2023-09-01,154.64,2023-09-01,150.5,2.750830564784044,3.9867109634551494,30.146205616152237,False,1.3634,1.0666,1,1,1,100.0,9.439329882650446,9.439329882650446,5.249169435215956,2.750830564784044,历史1/1次成功; 当前距低点2.75%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
6,75.55440708835452,73.95888947276232,002519,银河电子,bottom_area,2023-09-01,5.34,2023-08-25,5.19,2.8901734104046137,7.707129094412321,30.053908355795144,True,-1.1111,1.0352,1,1,1,100.0,20.959595959595962,20.959595959595962,5.109826589595387,2.8901734104046137,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.11%; 状态bottom_area; 底部已确认
7,75.53910197439384,70.99636363458659,300614,百川畅银,bottom_area,2023-09-01,22.08,2023-09-01,21.91,0.7759014148790423,3.24052943861251,29.775641025641026,False,-1.3405,2.5236,2,2,2,100.0,11.480746561886047,11.8614931237721,7.2240985851209585,0.7759014148790423,历史2/2次成功; 当前距低点0.78%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
8,72.49680566988881,72.1398250921134,002755,奥赛康,bottom_area,2023-09-01,7.76,2023-08-24,7.48,3.743315508021382,6.550802139037423,32.97491039426523,False,-1.7722,0.1969,1,1,1,100.0,30.831099195710454,30.831099195710454,4.256684491978619,3.743315508021382,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
9,71.68550921862857,72.06409184303092,603155,新亚强,bottom_area,2023-09-01,22.69,2023-08-29,21.76,4.273897058823528,6.525735294117638,28.39749917736097,False,-0.8304,0.1891,2,2,2,100.0,20.261167404024544,25.624375624375624,3.726102941176472,4.273897058823528,历史2/2次成功; 当前距低点4.27%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
10,70.91543772782802,69.69270296206258,603301,振德医疗,bottom_area,2023-09-01,26.31,2023-08-29,25.52,3.0956112852664543,5.015673981191227,31.157270029673594,False,-1.1274,0.7537,1,1,1,100.0,9.734928454140272,9.734928454140272,4.904388714733546,3.0956112852664543,历史1/1次成功; 当前距低点3.10%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
11,69.31291642678515,66.50952028359123,688202,美迪西,confirmed_rebound,2023-09-01,71.99,2023-08-29,70.68,1.8534238822863438,8.658743633276726,28.526645768025073,True,-1.7872,1.3818,2,3,2,66.66666666666666,17.304624024394695,23.795418261555337,6.146576117713656,1.8534238822863438,历史2/3次成功; 当前距低点1.85%; 最新日涨幅-1.79%; 状态confirmed_rebound; 底部已确认
