rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.5074429734736,85.22942596403604,000798,中水渔业,bottom_area,2023-10-12,8.77,2023-10-11,8.66,1.2702078521939888,3.3487297921477963,28.4297520661157,False,0.3432,1.0748,3,3,3,100.0,15.08333261848572,17.3015873015873,8.729792147806013,1.2702078521939888,历史3/3次成功; 当前距低点1.27%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
2,90.91263042804802,86.18323630361803,300649,杭州园林,bottom_area,2023-10-12,18.15,2023-10-12,17.76,2.195945945945929,2.195945945945929,31.692307692307686,False,0.7773,3.609,2,2,2,100.0,48.22576914179969,71.60305343511452,7.804054054054071,2.195945945945929,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
3,89.35124667534821,83.36834212299229,601226,华电科工,bottom_area,2023-10-12,5.95,2023-09-25,5.87,1.3628620102214664,4.088586030664399,27.975460122699385,False,1.0187,0.3632,1,1,1,100.0,39.54659949622166,39.54659949622166,8.637137989778534,1.3628620102214664,历史1/1次成功; 当前距低点1.36%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
4,86.12952104171572,80.58048593144487,002333,罗普斯金,bottom_area,2023-10-12,6.07,2023-10-11,5.98,1.5050167224080242,3.3444816053511586,27.16199756394641,False,-0.817,3.0237,2,2,2,100.0,32.10711859427502,46.728971962616825,8.494983277591976,1.5050167224080242,历史2/2次成功; 当前距低点1.51%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
5,85.48951424530887,80.6910657576959,600004,白云机场,bottom_area,2023-10-12,10.88,2023-10-11,10.67,1.9681349578256873,1.9681349578256873,27.661016949152543,False,1.3979,0.5428,1,1,1,100.0,32.57211538461537,32.57211538461537,8.031865042174314,1.9681349578256873,历史1/1次成功; 当前距低点1.97%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
6,85.18969530535604,82.67739866096214,603226,菲林格尔,bottom_area,2023-10-12,5.43,2023-09-12,5.25,3.428571428571423,8.952380952380947,29.71887550200803,True,0.3697,0.6381,3,3,3,100.0,18.62656730163969,20.479302832244016,6.571428571428578,3.428571428571423,历史3/3次成功; 当前距低点3.43%; 最新日涨幅0.37%; 状态bottom_area; 底部已确认
7,84.91549424514155,81.36969364165554,002850,科达利,bottom_area,2023-10-12,88.58,2023-10-11,86.2,2.7610208816705284,8.805104408352673,29.804560260586317,False,1.7927,2.6815,3,3,3,100.0,12.60656587023842,13.44718098343773,7.238979118329472,2.7610208816705284,历史3/3次成功; 当前距低点2.76%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
8,84.60990912568552,80.85940888383935,600322,津投城开,bottom_area,2023-10-12,2.35,2023-10-11,2.29,2.6200873362445436,3.9301310043668063,30.182926829268286,False,1.7316,3.9864,2,2,2,100.0,24.802193604714613,35.828877005347586,7.379912663755457,2.6200873362445436,历史2/2次成功; 当前距低点2.62%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
9,84.4606954688575,78.56808880823951,600408,安泰集团,bottom_area,2023-10-12,2.52,2023-10-12,2.49,1.2048192771084258,1.6064257028112285,27.192982456140342,False,-0.3953,2.564,2,2,2,100.0,17.60793957014374,21.457489878542503,8.795180722891574,1.2048192771084258,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
10,82.69319747720795,81.7644834669919,002534,西子洁能,bottom_area,2023-10-12,13.03,2023-09-22,12.48,4.407051282051273,7.2115384615384635,27.861271676300582,True,1.8765,0.4822,3,3,3,100.0,25.712690269187092,33.11594202898551,5.592948717948727,4.407051282051273,历史3/3次成功; 当前距低点4.41%; 最新日涨幅1.88%; 状态bottom_area; 底部已确认
11,79.58414787916516,76.28532309660909,000006,深振业A,bottom_area,2023-10-12,4.44,2023-10-11,4.32,2.77777777777778,3.47222222222221,29.18032786885245,False,0.9091,1.075,1,1,1,100.0,18.809980806142043,18.809980806142043,7.2222222222222205,2.77777777777778,历史1/1次成功; 当前距低点2.78%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
