rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.90740321904269,86.09037834788118,300382,斯莱克,bottom_area,2023-03-10,16.21,2023-03-10,15.87,2.1424070573409053,3.0245746691871593,27.9291553133515,False,0.496,1.2551,3,3,3,100.0,30.403583003325068,49.70059880239522,7.857592942659094,2.1424070573409053,历史3/3次成功; 当前距低点2.14%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
2,87.20242961670643,79.83770811152624,300707,威唐工业,bottom_area,2023-03-10,16.25,2023-03-10,16.19,0.37059913526867644,3.7059913526868304,27.33393177737881,False,-3.618,3.4034,4,4,4,100.0,30.92835559106886,59.14285714285715,9.629400864731325,0.37059913526867644,历史4/4次成功; 当前距低点0.37%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
3,84.04993665432151,76.84161015776722,601689,拓普集团,bottom_area,2023-03-10,54.26,2023-03-10,54.1,0.2957486136783671,6.11829944547134,27.000404803670218,False,-5.8313,1.9475,3,3,3,100.0,30.569446220182318,47.99107142857144,9.704251386321634,0.2957486136783671,历史3/3次成功; 当前距低点0.30%; 最新日涨幅-5.83%; 状态bottom_area; 底部未确认
4,83.5788229062184,76.06876153966593,603348,文灿股份,bottom_area,2023-03-10,49.5,2023-03-10,49.47,0.06064281382656385,3.8002829997978624,30.500140488901383,False,-4.014,1.8121,3,3,3,100.0,23.532404060163973,31.539888682745836,9.939357186173437,0.06064281382656385,历史3/3次成功; 当前距低点0.06%; 最新日涨幅-4.01%; 状态bottom_area; 底部未确认
5,78.28059272835438,75.475518345741,000650,仁和药业,bottom_area,2023-03-10,6.35,2023-01-12,6.16,3.0844155844155763,9.740259740259734,27.444051825677267,True,-1.8547,1.7842,2,2,2,100.0,14.827881065637138,17.19038817005545,6.915584415584425,3.0844155844155763,历史2/2次成功; 当前距低点3.08%; 最新日涨幅-1.85%; 状态bottom_area; 底部已确认
6,76.72188366382399,73.17682004151804,300473,德尔股份,bottom_area,2023-03-10,18.33,2023-03-08,17.88,2.5167785234899287,4.474272930648774,27.90322580645162,False,-1.2392,2.4951,1,1,1,100.0,21.37137137137137,21.37137137137137,7.483221476510071,2.5167785234899287,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
7,74.87668705417627,71.33072345504752,300759,康龙化成,bottom_area,2023-03-10,57.21,2023-03-10,55.84,2.4534383954154677,3.2234957020057258,28.096832346124124,False,-0.3831,1.5829,1,1,1,100.0,10.669693530079462,10.669693530079462,7.546561604584532,2.4534383954154677,历史1/1次成功; 当前距低点2.45%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
8,74.69098916169192,69.19601175742575,002855,捷荣技术,bottom_area,2023-03-10,10.2,2023-02-27,10.1,0.9900990099009866,3.861386138613867,31.710615280594993,False,-1.4493,1.2741,1,1,1,100.0,21.093749999999993,21.093749999999993,9.009900990099014,0.9900990099009866,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
9,72.3113484332981,69.6918134858408,002144,宏达高科,confirmed_rebound,2023-03-10,11.44,2023-01-20,11.1,3.063063063063062,10.360360360360364,28.34086507424145,True,-1.8026,2.0062,1,1,1,100.0,10.352673492605236,10.352673492605236,6.936936936936938,3.063063063063062,历史1/1次成功; 当前距低点3.06%; 最新日涨幅-1.80%; 状态confirmed_rebound; 底部已确认
10,69.05099140723813,67.8051025962817,000679,大连友谊,confirmed_rebound,2023-03-10,5.66,2023-01-18,5.44,4.044117647058819,11.029411764705875,28.515111695137975,True,-2.0761,1.3255,3,4,3,75.0,16.40156361062258,24.94061757719715,5.955882352941182,4.044117647058819,历史3/4次成功; 当前距低点4.04%; 最新日涨幅-2.08%; 状态confirmed_rebound; 底部已确认
11,61.86947451607281,56.425111728857026,000419,通程控股,bottom_area,2023-03-10,5.98,2023-02-16,5.97,0.16750418760470143,7.035175879396983,30.093676814988285,True,-2.447,2.268,1,2,1,50.0,24.82269503546099,24.82269503546099,9.8324958123953,0.16750418760470143,历史1/2次成功; 当前距低点0.17%; 最新日涨幅-2.45%; 状态bottom_area; 底部已确认
