rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.95682968245362,80.26012601211501,002755,奥赛康,bottom_area,2023-07-21,8.1,2023-07-17,7.94,2.0151133501259353,3.022670025188908,28.853046594982075,False,1.1236,0.4212,1,1,1,100.0,30.831099195710454,30.831099195710454,7.984886649874065,2.0151133501259353,历史1/1次成功; 当前距低点2.02%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
2,81.43971897473725,75.56262585284898,601669,中国电建,bottom_area,2023-07-21,5.67,2023-06-07,5.61,1.069518716577533,5.882352941176471,29.78723404255319,False,-0.1761,0.3892,1,1,1,100.0,16.457680250783696,16.457680250783696,8.930481283422468,1.069518716577533,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
3,77.62429497275748,70.95314152777142,300722,新余国科,bottom_area,2023-07-21,24.59,2023-07-21,24.52,0.28548123980424256,4.2414355628058695,27.88235294117647,False,-2.1488,0.9086,3,4,3,75.0,26.070100830780092,45.90377113133938,9.714518760195757,0.28548123980424256,历史3/4次成功; 当前距低点0.29%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
4,77.62214909236322,71.03647581379286,002825,纳尔股份,bottom_area,2023-07-21,8.64,2023-07-17,8.61,0.34843205574914216,3.019744483159115,32.94392523364487,False,-0.6897,0.8347,1,1,1,100.0,23.123123123123136,23.123123123123136,9.651567944250857,0.34843205574914216,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
5,76.27176794175426,70.04173953085215,002590,万安科技,bottom_area,2023-07-21,11.4,2023-07-21,11.34,0.5291005291005335,7.319223985890654,27.95425667090216,False,-4.6025,10.7339,1,1,1,100.0,30.204778156996575,30.204778156996575,9.470899470899468,0.5291005291005335,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-4.60%; 状态bottom_area; 底部未确认
6,75.62842358635451,69.15527332833659,600990,四创电子,bottom_area,2023-07-21,22.98,2023-07-21,22.91,0.3055434308162387,1.3531209079004747,28.607042692427555,False,-0.9483,0.844,1,1,1,100.0,12.483399734395755,12.483399734395755,9.694456569183762,0.3055434308162387,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
7,75.6148393443787,73.53830798578723,600995,南网储能,bottom_area,2023-07-21,11.12,2023-06-07,10.74,3.5381750465549255,8.379888268156428,32.7909887359199,True,-1.5058,0.9315,1,1,1,100.0,26.64165103189493,26.64165103189493,6.461824953445075,3.5381750465549255,历史1/1次成功; 当前距低点3.54%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
8,75.22615583297458,68.95730951356003,601360,三六零,bottom_area,2023-07-21,11.55,2023-07-21,11.5,0.4347826086956583,2.1739130434782608,28.836633663366335,False,-0.6879,1.1604,1,1,1,100.0,13.003300330033007,13.003300330033007,9.565217391304342,0.4347826086956583,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
9,73.59169083081662,68.08314542800528,688287,退市观典,bottom_area,2023-07-21,11.0,2023-07-21,10.9,0.9174311926605472,2.0183486238532002,27.13903743315508,False,-0.722,0.7855,1,1,1,100.0,14.219830899308223,14.219830899308223,9.082568807339452,0.9174311926605472,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
10,73.27432963870028,73.17879596250901,600935,华塑股份,bottom_area,2023-07-21,3.83,2023-06-27,3.65,4.931506849315073,6.575342465753431,28.571428571428577,False,1.0554,0.3478,1,1,1,100.0,28.50877192982458,28.50877192982458,5.068493150684928,4.931506849315073,历史1/1次成功; 当前距低点4.93%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
11,71.9010611259372,67.47638044126415,603033,三维股份,bottom_area,2023-07-21,15.86,2023-07-17,15.6,1.6666666666666652,5.25641025641027,27.677329624478446,False,-0.2516,0.1237,2,3,2,66.66666666666666,19.192009540846744,24.922480620155024,8.333333333333336,1.6666666666666652,历史2/3次成功; 当前距低点1.67%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
12,69.22776078551372,63.54587717303095,688169,石头科技,bottom_area,2023-07-21,249.95,2023-07-21,248.69,0.5066548715267968,4.14572359162009,32.512890094979646,False,-0.5886,0.9856,2,3,2,66.66666666666666,23.679481792717084,29.71190476190475,9.493345128473203,0.5066548715267968,历史2/3次成功; 当前距低点0.51%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
13,67.50726652722966,62.190595631820855,002829,星网宇达,bottom_area,2023-07-21,31.84,2023-07-21,31.62,0.6957621758380735,2.688172043010746,29.37234755416574,False,-1.789,2.36,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,9.304237824161927,0.6957621758380735,历史2/3次成功; 当前距低点0.70%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
14,65.08675624107481,59.169778400977094,002403,爱仕达,bottom_area,2023-07-21,8.6,2023-07-21,8.6,0.0,4.1860465116279215,31.089743589743595,False,-4.3382,3.9342,2,3,2,66.66666666666666,16.4145792167227,21.63892445582587,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
15,59.223372841420016,55.25862821605298,688318,财富趋势,bottom_area,2023-07-21,89.2,2023-07-19,88.0,1.3636363636363669,5.113636363636364,28.837134077308747,False,-0.4575,0.565,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,8.636363636363633,1.3636363636363669,历史1/3次成功; 当前距低点1.36%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
16,55.86864864864865,50.789680589680586,600081,东风科技,bottom_area,2023-07-21,12.01,2023-07-21,12.01,0.0,2.248126561198997,27.344222625529348,False,-1.9592,2.5206,1,2,1,50.0,13.923013923013915,13.923013923013915,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
