rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,76.57262151528342,76.38743984293693,002459,晶澳科技,bottom_area,2025-04-09,9.9,2025-04-09,9.44,4.872881355932213,5.7203389830508575,28.212927756654,False,-0.9009,1.7456,5,5,5,100.0,17.51402867990521,26.683937823834192,5.127118644067787,4.872881355932213,历史5/5次成功; 当前距低点4.87%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
2,75.26871658423084,74.52049057748663,002779,中坚科技,bottom_area,2025-04-09,74.0,2025-04-09,70.83,4.475504729634338,5.520259776930674,32.542857142857144,False,-5.972,13.5008,3,3,3,100.0,29.487319145445806,38.253119429590015,5.524495270365662,4.475504729634338,历史3/3次成功; 当前距低点4.48%; 最新日涨幅-5.97%; 状态bottom_area; 底部未确认
3,74.33203785613792,72.71059166207365,601233,桐昆股份,bottom_area,2025-04-09,10.0,2025-04-09,9.63,3.842159916926264,4.9844236760124465,27.045454545454533,False,-1.088,2.1025,2,2,2,100.0,18.444711143363076,26.601356443104756,6.1578400830737365,3.842159916926264,历史2/2次成功; 当前距低点3.84%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
4,73.38963139582309,70.48721659485832,002003,伟星股份,bottom_area,2025-04-09,10.71,2025-04-09,10.41,2.8818443804034652,3.746397694524501,28.698630136986296,False,-1.9231,1.8256,1,1,1,100.0,11.386138613861391,11.386138613861391,7.118155619596535,2.8818443804034652,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
5,72.99101756445891,70.88610272375358,002532,天山铝业,bottom_area,2025-04-09,6.87,2025-04-09,6.64,3.463855421686753,4.969879518072291,32.793522267206484,False,-3.2394,4.1654,2,2,2,100.0,14.213403683867579,16.548797736916548,6.536144578313246,3.463855421686753,历史2/2次成功; 当前距低点3.46%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
6,72.48363777051811,72.21795299361852,603351,威尔药业,bottom_area,2025-04-09,20.93,2025-04-09,19.97,4.807210816224341,7.961942914371558,27.249544626593806,False,-3.8585,2.6679,3,3,3,100.0,21.17415943338722,27.308781869688385,5.19278918377566,4.807210816224341,历史3/3次成功; 当前距低点4.81%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
7,71.56049546096608,70.96695366666309,603338,浙江鼎力,bottom_area,2025-04-09,44.0,2025-04-09,42.08,4.562737642585556,4.681558935361214,30.971128608923888,False,-1.2346,2.8906,2,2,2,100.0,17.903201568592223,25.796855078623032,5.437262357414445,4.562737642585556,历史2/2次成功; 当前距低点4.56%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
8,69.91866271536082,67.65258938044931,002648,卫星化学,bottom_area,2025-04-09,16.42,2025-04-09,15.9,3.270440251572335,6.9182389937106885,31.4359637774903,False,-6.9161,5.8367,1,1,1,100.0,11.12469437652812,11.12469437652812,6.729559748427666,3.270440251572335,历史1/1次成功; 当前距低点3.27%; 最新日涨幅-6.92%; 状态bottom_area; 底部未确认
9,66.56638858806242,65.84746975967104,002353,杰瑞股份,bottom_area,2025-04-09,28.76,2025-04-09,27.54,4.429920116194634,6.390704429920121,27.200634417129262,False,1.5178,2.4008,2,3,2,66.66666666666666,21.833446010366288,28.642501776830144,5.5700798838053664,4.429920116194634,历史2/3次成功; 当前距低点4.43%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
10,58.61705328738865,57.86401616816767,002841,视源股份,bottom_area,2025-04-09,32.35,2025-04-09,31.01,4.321186713963237,5.9013221541438305,29.968383017163504,False,0.0619,1.1896,1,2,1,50.0,30.356569225827172,30.356569225827172,5.678813286036764,4.321186713963237,历史1/2次成功; 当前距低点4.32%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
11,50.02109276873333,49.90193818853149,002821,凯莱英,bottom_area,2025-04-09,62.82,2025-04-09,59.9,4.874791318864777,7.579298831385642,27.944183808492717,False,-1.951,2.8344,1,2,1,50.0,16.80893761044718,16.80893761044718,5.125208681135223,4.874791318864777,历史1/2次成功; 当前距低点4.87%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
