rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.10317520727597,77.7419063859557,000938,紫光股份,bottom_area,2023-11-01,19.55,2023-10-23,19.3,1.2953367875647668,4.766839378238332,28.011935844834014,False,-0.306,1.2424,1,1,1,100.0,30.942334739803094,30.942334739803094,18.704663212435236,1.2953367875647668,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
2,90.78695437980454,78.82613340595728,600048,保利发展,bottom_area,2023-11-01,10.94,2023-10-30,10.7,2.24299065420561,4.018691588785061,28.139691067830768,False,-0.726,0.5573,2,2,2,100.0,31.721247836269217,31.987577639751546,17.75700934579439,2.24299065420561,历史2/2次成功; 当前距低点2.24%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
3,89.13212915005194,77.28958111548255,688023,安恒信息,bottom_area,2023-11-01,118.52,2023-10-30,116.0,2.172413793103445,5.36206896551724,29.6159213639949,False,-0.0675,0.6818,1,1,1,100.0,39.261744966442954,39.261744966442954,17.827586206896555,2.172413793103445,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
4,82.9153575718783,75.6235913271511,600004,白云机场,bottom_area,2023-11-01,10.62,2023-10-23,10.12,4.940711462450594,9.584980237154157,31.38983050847458,True,0.2833,0.4042,1,1,1,100.0,32.57211538461537,32.57211538461537,15.05928853754941,4.940711462450594,历史1/1次成功; 当前距低点4.94%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
5,82.4717561977409,73.7511777478287,601155,新城控股,bottom_area,2023-11-01,11.84,2023-10-20,11.4,3.8596491228070127,6.052631578947364,27.06333973128599,False,-0.5042,0.5014,2,2,2,100.0,24.2536438055306,24.642857142857142,16.140350877192986,3.8596491228070127,历史2/2次成功; 当前距低点3.86%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
6,76.84106782176497,68.42833706523362,300511,雪榕生物,bottom_area,2023-11-01,5.71,2023-10-30,5.51,3.629764065335757,3.9927404718693404,27.212681638044923,False,0.8834,2.3775,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,16.370235934664244,3.629764065335757,历史2/3次成功; 当前距低点3.63%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
7,69.09615770393452,58.87274661508706,603326,我乐家居,bottom_area,2023-11-01,10.02,2023-10-23,9.9,1.2121212121212042,5.05050505050505,30.76923076923077,False,-0.0997,1.9506,1,2,1,50.0,20.141843971631218,20.141843971631218,18.787878787878796,1.2121212121212042,历史1/2次成功; 当前距低点1.21%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
8,68.88006620726816,58.77522762085656,000014,沙河股份,bottom_area,2023-11-01,10.97,2023-10-23,10.83,1.2927054478301068,5.909510618651899,31.671924290220822,False,-1.7905,3.4228,1,2,1,50.0,20.605355064027936,20.605355064027936,18.707294552169895,1.2927054478301068,历史1/2次成功; 当前距低点1.29%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
9,60.6782004708182,53.26840048548134,300454,深信服,bottom_area,2023-11-01,82.73,2023-10-27,80.44,2.846842366981609,6.364992541024373,27.150878464046375,False,-1.3945,0.5766,1,3,1,33.33333333333333,29.49391262831224,29.49391262831224,17.15315763301839,2.846842366981609,历史1/3次成功; 当前距低点2.85%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
10,60.07390697674418,53.079,002366,融发核电,bottom_area,2023-11-01,5.16,2023-10-23,5.0,3.200000000000003,8.000000000000007,28.469241773962807,True,-0.3861,0.8631,1,4,1,25.0,25.0,25.0,16.799999999999997,3.200000000000003,历史1/4次成功; 当前距低点3.20%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
11,59.47255222694762,54.0351392212463,600328,中盐化工,bottom_area,2023-11-01,7.97,2023-10-26,7.61,4.73061760840998,6.17608409986859,28.207547169811313,False,-0.2503,0.4091,1,2,1,50.0,37.26315789473683,37.26315789473683,15.269382391590023,4.73061760840998,历史1/2次成功; 当前距低点4.73%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
12,58.14147994007116,52.872541875566114,002080,中材科技,bottom_area,2023-11-01,17.32,2023-10-26,16.53,4.77918935269207,5.626134301270415,27.244718309859145,False,0.1735,0.4568,1,3,1,33.33333333333333,28.579356270810223,28.579356270810223,15.22081064730793,4.77918935269207,历史1/3次成功; 当前距低点4.78%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
13,58.138838090335874,52.841389015254904,000428,华天酒店,bottom_area,2023-11-01,3.97,2023-10-23,3.79,4.749340369393145,6.596306068601583,32.32142857142857,False,0.0,0.7082,1,3,1,33.33333333333333,28.045977011494273,28.045977011494273,15.250659630606854,4.749340369393145,历史1/3次成功; 当前距低点4.75%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,54.06810192585393,48.181109647007595,300620,光库科技,bottom_area,2023-11-01,38.45,2023-10-26,37.09,3.6667565381504432,7.1178215152331985,28.46673095467695,True,-0.3886,2.2917,1,6,1,16.666666666666664,22.444343480236245,22.444343480236245,16.33324346184956,3.6667565381504432,历史1/6次成功; 当前距低点3.67%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
