rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.83316703484284,77.44095185842481,300484,蓝海华腾,bottom_area,2022-09-15,11.23,2022-09-15,11.08,1.3537906137184148,7.039711191335734,27.34426229508197,False,-4.3441,2.4866,2,2,2,100.0,23.589217514531214,28.708133971291865,13.646209386281585,1.3537906137184148,历史2/2次成功; 当前距低点1.35%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
2,85.91822855726808,77.0426439281717,603315,福鞍股份,bottom_area,2022-09-15,20.39,2022-09-15,20.06,1.6450648055832597,7.128614157527418,27.555074033947278,False,-4.3621,0.606,1,1,1,100.0,41.68490153172865,41.68490153172865,13.35493519441674,1.6450648055832597,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
3,84.5007479498079,76.75416172700402,600215,派斯林,bottom_area,2022-09-15,7.01,2022-09-15,6.85,2.3357664233576667,5.4014598540146,27.894736842105267,False,-1.683,1.2875,2,2,2,100.0,21.718866517524237,23.993288590604024,12.664233576642333,2.3357664233576667,历史2/2次成功; 当前距低点2.34%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
4,84.18197263582346,74.78801600619593,002451,摩恩电气,bottom_area,2022-09-15,6.17,2022-09-15,6.1,1.1475409836065622,5.081967213114762,27.20763723150359,False,-3.1397,2.3281,1,1,1,100.0,23.464566929133863,23.464566929133863,13.852459016393437,1.1475409836065622,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
5,84.10574570661895,74.20255813953489,002110,三钢闽光,bottom_area,2022-09-15,5.2,2022-09-15,5.16,0.7751937984496131,1.5503875968992262,30.55181695827725,False,0.1927,0.4241,1,1,1,100.0,22.90322580645161,22.90322580645161,14.224806201550386,0.7751937984496131,历史1/1次成功; 当前距低点0.78%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
6,83.950039917793,74.85650254259329,688183,生益电子,bottom_area,2022-09-15,9.8,2022-09-15,9.67,1.344364012409522,5.687693898655644,27.07390648567119,False,-3.5433,1.0014,1,1,1,100.0,26.24544349939247,26.24544349939247,13.655635987590479,1.344364012409522,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
7,83.66435659305196,73.56822525597273,000151,中成股份,bottom_area,2022-09-15,11.79,2022-09-15,11.72,0.5972696245733661,11.774744027303745,29.440096327513537,False,-7.8906,14.8605,1,1,1,100.0,191.97080291970806,191.97080291970806,14.402730375426634,0.5972696245733661,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-7.89%; 状态bottom_area; 底部未确认
8,82.64708265732573,73.00602301199974,605258,协和电子,bottom_area,2022-09-15,21.57,2022-09-15,21.39,0.8415147265077125,6.4516129032258025,32.095238095238095,False,-5.3532,3.1006,1,1,1,100.0,49.971379507727534,49.971379507727534,14.158485273492289,0.8415147265077125,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-5.35%; 状态bottom_area; 底部未确认
9,79.24029790040694,70.13699107065385,002012,凯恩股份,bottom_area,2022-09-15,5.32,2022-09-15,5.27,0.9487666034155733,5.123339658444031,30.198675496688747,False,-1.845,4.3619,1,1,1,100.0,25.646123260437374,25.646123260437374,14.051233396584426,0.9487666034155733,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
10,76.91052621904038,70.19259825475915,002112,三变科技,bottom_area,2022-09-15,9.9,2022-09-15,9.65,2.5906735751295336,10.259067357512954,27.22473604826546,False,-5.9829,13.9507,1,1,1,100.0,16.44803229061553,16.44803229061553,12.409326424870466,2.5906735751295336,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-5.98%; 状态bottom_area; 底部未确认
11,75.71980439855803,66.84946813001267,002645,华宏科技,bottom_area,2022-09-15,17.39,2022-09-15,17.25,0.8115942028985541,7.7681159420289845,31.979495268138802,False,-5.1282,1.4687,1,1,1,100.0,16.50485436893203,16.50485436893203,14.188405797101444,0.8115942028985541,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-5.13%; 状态bottom_area; 底部未确认
12,65.52168865034808,58.50673153884105,002115,三维通信,bottom_area,2022-09-15,5.0,2022-09-15,4.93,1.4198782961460505,5.476673427991896,30.07092198581561,False,-2.9126,10.2618,1,2,1,50.0,20.720720720720706,20.720720720720706,13.580121703853948,1.4198782961460505,历史1/2次成功; 当前距低点1.42%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
13,65.10537835863919,58.753928081889306,688079,美迪凯,bottom_area,2022-09-15,9.75,2022-09-15,9.56,1.9874476987447647,5.43933054393305,28.389513108614228,False,-2.8884,1.0133,1,2,1,50.0,29.007036747458958,29.007036747458958,13.012552301255234,1.9874476987447647,历史1/2次成功; 当前距低点1.99%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
14,64.06995802753626,57.41815773278831,605319,无锡振华,bottom_area,2022-09-15,13.85,2022-08-29,13.63,1.614086573734401,5.282465150403513,27.345415778251603,False,-1.7033,1.1637,1,2,1,50.0,17.248790972595383,17.248790972595383,13.3859134262656,1.614086573734401,历史1/2次成功; 当前距低点1.61%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
15,63.717371380914614,56.50751039866462,603033,三维股份,bottom_area,2022-09-15,17.27,2022-09-09,17.09,1.053247513165592,6.143943826799302,27.584745762711872,False,-1.9864,0.2008,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,13.946752486834407,1.053247513165592,历史1/3次成功; 当前距低点1.05%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
16,63.26675512934884,56.402033898305106,300543,朗科智能,bottom_area,2022-09-15,9.12,2022-09-15,9.0,1.3333333333333246,4.888888888888884,28.000000000000004,False,-3.0818,1.5694,1,2,1,50.0,18.559322033898297,18.559322033898297,13.666666666666675,1.3333333333333246,历史1/2次成功; 当前距低点1.33%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
17,61.17385381883767,54.17527720605051,300508,维宏股份,bottom_area,2022-09-15,21.69,2022-09-15,21.48,0.9776536312849202,5.214152700186224,27.895266868076536,False,-3.8137,1.7972,1,2,1,50.0,42.06627680311891,42.06627680311891,14.02234636871508,0.9776536312849202,历史1/2次成功; 当前距低点0.98%; 最新日涨幅-3.81%; 状态bottom_area; 底部未确认
18,54.60407916914987,51.43586665867708,601606,长城军工,bottom_area,2022-09-15,12.16,2022-08-29,11.66,4.288164665523156,10.463121783876506,27.033792240300375,True,-3.7975,3.0382,1,2,1,50.0,18.886462882096076,18.886462882096076,10.711835334476843,4.288164665523156,历史1/2次成功; 当前距低点4.29%; 最新日涨幅-3.80%; 状态bottom_area; 底部已确认
19,49.297473740487966,43.57358579456785,688298,东方生物,bottom_area,2022-09-15,81.9,2022-09-15,81.19,0.8744919325040127,6.897401157778062,27.314234556848703,False,-3.8507,2.6918,1,5,1,20.0,15.470039788586028,15.470039788586028,14.125508067495987,0.8744919325040127,历史1/5次成功; 当前距低点0.87%; 最新日涨幅-3.85%; 状态bottom_area; 底部未确认
