rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.21712476455642,85.35344635468354,300705,九典制药,bottom_area,2025-12-30,15.14,2025-12-30,14.98,1.0680907877169568,1.1348464619492653,27.49273959341723,False,0.3979,1.3581,2,2,2,100.0,29.939211562786006,41.42097631706138,13.931909212283042,1.0680907877169568,历史2/2次成功; 当前距低点1.07%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,91.51822349873555,84.23425491788603,603327,福蓉科技,bottom_area,2025-12-30,10.83,2025-12-19,10.51,3.044719314938157,7.4215033301617455,29.651941097724226,False,1.1204,2.2586,6,7,6,85.71428571428571,45.770740930580004,129.39632545931758,11.955280685061842,3.044719314938157,历史6/7次成功; 当前距低点3.04%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
3,85.9561355533296,77.36052199799666,603322,超讯通信,bottom_area,2025-12-30,38.7,2025-12-26,38.0,1.8421052631579022,3.157894736842113,31.29632977761707,False,0.2071,4.1689,5,7,5,71.42857142857143,25.025847915496684,39.45833333333333,13.157894736842096,1.8421052631579022,历史5/7次成功; 当前距低点1.84%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
4,85.38767491217797,74.25015209754606,600048,保利发展,bottom_area,2025-12-30,6.09,2025-12-30,6.09,0.0,1.4778325123152687,28.77192982456141,False,-1.6155,0.958,2,2,2,100.0,31.721247836269217,31.987577639751546,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
5,82.5506978528607,75.28707390286876,301567,贝隆精密,bottom_area,2025-12-30,44.59,2025-12-17,43.48,2.552897884084652,6.830726770929177,31.527559055118115,False,-1.6975,7.5671,2,2,2,100.0,16.4929090246331,16.59192825112107,12.447102115915348,2.552897884084652,历史2/2次成功; 当前距低点2.55%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
6,81.50751856908505,71.23027770360483,002910,庄园牧场,bottom_area,2025-12-30,11.28,2025-12-30,11.25,0.266666666666661,3.555555555555559,29.73141786383511,False,-3.5897,11.6107,1,1,1,100.0,33.37783711615487,33.37783711615487,14.733333333333338,0.266666666666661,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
7,80.99853224580164,70.74918701478194,600325,华发股份,bottom_area,2025-12-30,4.19,2025-12-30,4.18,0.23923444976078173,1.4354066985646052,27.177700348432065,False,-1.1792,0.8803,3,4,3,75.0,24.406675055035087,32.553606237816766,14.760765550239219,0.23923444976078173,历史3/4次成功; 当前距低点0.24%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
8,78.68046245468476,71.30809442657171,300768,迪普科技,bottom_area,2025-12-30,18.45,2025-12-17,18.05,2.216066481994452,5.7063711911357204,29.43706020328381,False,-1.0724,1.3161,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,12.783933518005547,2.216066481994452,历史2/3次成功; 当前距低点2.22%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
9,77.62986229353945,70.14200202038616,000692,惠天热电,bottom_area,2025-12-30,3.48,2025-12-17,3.41,2.0527859237536608,6.744868035190615,28.511530398322844,False,-1.1364,2.3396,3,5,3,60.0,36.0341608954005,59.042553191489375,12.947214076246338,2.0527859237536608,历史3/5次成功; 当前距低点2.05%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
10,77.20529819885043,73.68645368029978,000430,张家界,bottom_area,2025-12-30,7.57,2025-12-29,7.21,4.993065187239949,4.993065187239949,28.543111992071356,False,4.9931,0.0126,3,4,3,75.0,36.15936724304767,53.99999999999999,10.00693481276005,4.993065187239949,历史3/4次成功; 当前距低点4.99%; 最新日涨幅4.99%; 状态bottom_area; 底部未确认
11,77.11650509296184,69.31481574463598,601566,九牧王,bottom_area,2025-12-30,13.78,2025-12-30,13.54,1.7725258493353047,4.726735598227479,27.51605995717345,False,-1.5714,5.9034,2,3,2,66.66666666666666,30.373699002439853,38.914728682170555,13.227474150664694,1.7725258493353047,历史2/3次成功; 当前距低点1.77%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
12,76.28634615384617,66.33595317725754,603696,安记食品,bottom_area,2025-12-30,21.21,2025-12-30,21.21,0.0,5.139085337105138,28.271897193101115,False,-10.0127,15.7874,1,1,1,100.0,16.053511705685615,16.053511705685615,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
13,74.65073941567213,69.97734948591076,603072,天和磁材,bottom_area,2025-12-30,41.08,2025-12-17,39.49,4.026335781210424,6.330716637123322,27.05947543405984,False,-1.4868,3.1887,1,1,1,100.0,22.674167027260935,22.674167027260935,10.973664218789574,4.026335781210424,历史1/1次成功; 当前距低点4.03%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
