rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.71627910081865,87.9222843973844,601886,江河集团,bottom_area,2024-07-22,4.62,2024-07-22,4.57,1.0940919037199084,1.9693654266958391,27.8041074249605,False,0.0,0.5325,3,3,3,100.0,27.40222547239673,33.5540838852097,8.905908096280092,1.0940919037199084,历史3/3次成功; 当前距低点1.09%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,90.85539171536566,84.28603869911137,000065,北方国际,bottom_area,2024-07-22,9.52,2024-07-18,9.42,1.061571125265389,3.290870488322723,28.905660377358487,False,-1.6529,0.7238,3,3,3,100.0,29.926993896325044,41.48061104582843,8.93842887473461,1.061571125265389,历史3/3次成功; 当前距低点1.06%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
3,88.29879361435353,81.93570187314147,000923,河钢资源,bottom_area,2024-07-22,15.04,2024-07-22,14.88,1.0752688172042901,3.427419354838708,32.578160398731306,False,-1.9557,2.1845,3,3,3,100.0,17.458681593372262,27.519999999999996,8.92473118279571,1.0752688172042901,历史3/3次成功; 当前距低点1.08%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
4,87.86950403830069,82.36875338004833,688339,亿华通,bottom_area,2024-07-22,20.23,2024-07-22,19.91,1.6072325464590673,2.009040683073825,31.627747252747255,False,1.5053,0.8648,4,5,4,80.0,30.501309602016203,76.30996309963099,8.392767453540934,1.6072325464590673,历史4/5次成功; 当前距低点1.61%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
5,87.67804630456872,84.41974052973677,000811,冰轮环境,bottom_area,2024-07-22,8.55,2024-07-18,8.3,3.012048192771084,3.975903614457832,30.13468013468013,False,0.3521,0.8863,3,3,3,100.0,32.0817763938432,47.451868629671566,6.987951807228916,3.012048192771084,历史3/3次成功; 当前距低点3.01%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
6,87.5987003878591,81.78887029130438,601515,衢州东峰,bottom_area,2024-07-22,2.9,2024-07-18,2.86,1.3986013986014,4.195804195804199,31.90476190476191,False,-1.0239,0.5443,3,3,3,100.0,20.632696129653542,34.48275862068966,8.6013986013986,1.3986013986014,历史3/3次成功; 当前距低点1.40%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
7,87.55568995196009,82.82606770159069,300349,金卡智能,bottom_area,2024-07-22,10.77,2024-07-18,10.55,2.085308056872027,2.654028436018951,29.24211938296445,False,0.5602,0.8095,1,1,1,100.0,45.48693586698337,45.48693586698337,7.914691943127973,2.085308056872027,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
8,86.91835844154164,83.07906435057242,605099,共创草坪,bottom_area,2024-07-22,18.35,2024-07-09,17.88,2.6286353467561656,9.060402684563766,28.96305125148988,True,0.1091,0.0693,1,1,1,100.0,44.31372549019606,44.31372549019606,7.371364653243835,2.6286353467561656,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.11%; 状态bottom_area; 底部已确认
9,86.85292947460857,83.70368203182696,600955,维远股份,bottom_area,2024-07-22,14.14,2024-07-09,13.72,3.0612244897959178,7.069970845481041,28.911917098445596,True,1.0722,0.2741,3,3,3,100.0,19.641257357858347,25.969084423305596,6.938775510204083,3.0612244897959178,历史3/3次成功; 当前距低点3.06%; 最新日涨幅1.07%; 状态bottom_area; 底部已确认
10,86.40907328729767,80.82852867830421,002687,乔治白,bottom_area,2024-07-22,4.07,2024-07-09,4.01,1.4962593516209601,6.733167082294276,31.45299145299145,False,-0.2451,0.4788,1,1,1,100.0,64.00000000000001,64.00000000000001,8.50374064837904,1.4962593516209601,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
11,85.46551070822237,81.42065079163056,603368,柳药集团,bottom_area,2024-07-22,17.11,2024-07-16,16.7,2.4550898203592824,3.413173652694613,30.705394190871377,False,-0.5811,1.2192,3,3,3,100.0,31.603524634675978,42.85714285714285,7.544910179640718,2.4550898203592824,历史3/3次成功; 当前距低点2.46%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
