rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.11068354678581,73.68161500546684,002522,浙江众成,bottom_area,2025-03-03,4.96,2025-03-03,4.92,0.8130081300813016,8.130081300813014,28.798842257597684,False,-9.1575,14.1519,2,2,2,100.0,36.58749216157104,37.41339491916859,19.1869918699187,0.8130081300813016,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-9.16%; 状态bottom_area; 底部未确认
2,85.93254365257391,72.06212447929433,002016,世荣兆业,bottom_area,2025-03-03,5.85,2025-03-03,5.83,0.34305317324184514,2.5728987993139,31.572769953051637,False,-0.3407,1.5614,1,1,1,100.0,28.571428571428566,28.571428571428566,19.656946826758155,0.34305317324184514,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
3,85.22640813362631,73.54059987698542,300548,长芯博创,bottom_area,2025-03-03,42.29,2025-03-03,41.5,1.9036144578313232,9.710843373493978,28.816466552315607,False,-6.2722,17.0595,1,1,1,100.0,26.026026026026024,26.026026026026024,18.096385542168676,1.9036144578313232,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-6.27%; 状态bottom_area; 底部未确认
4,84.64433687391482,71.96762917982926,600986,浙文互联,bottom_area,2025-03-03,8.3,2025-03-03,8.21,1.0962241169305706,5.359317904993903,28.234265734265723,False,-2.3529,6.6487,2,3,2,66.66666666666666,36.345986557872585,50.432276657060505,18.90377588306943,1.0962241169305706,历史2/3次成功; 当前距低点1.10%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
5,79.79382839776629,69.06777357545349,688078,龙软科技,bottom_area,2025-03-03,34.45,2025-03-03,33.75,2.0740740740740824,4.296296296296305,30.95335515548282,False,1.4728,3.3271,2,4,2,50.0,29.713239055604213,29.719161038037694,17.925925925925917,2.0740740740740824,历史2/4次成功; 当前距低点2.07%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
6,79.77962339397192,68.56434829582292,300502,新易盛,bottom_area,2025-03-03,91.8,2025-03-03,90.28,1.6836508639787287,6.889676561807708,30.226447175206733,False,-4.4148,8.0217,3,5,3,60.0,33.242324009109716,34.5909668057319,18.316349136021273,1.6836508639787287,历史3/5次成功; 当前距低点1.68%; 最新日涨幅-4.41%; 状态bottom_area; 底部未确认
7,70.72509914262545,61.34766964044338,300422,博世科,bottom_area,2025-03-03,4.2,2025-02-06,4.11,2.1897810218978067,6.5693430656934195,30.220713073005083,False,-0.2375,2.4154,1,2,1,50.0,45.4320987654321,45.4320987654321,17.810218978102192,2.1897810218978067,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
8,64.28290631737647,56.12425192986421,002313,日海智能,bottom_area,2025-03-03,10.47,2025-03-03,10.21,2.5465230166503408,5.0930460333006815,29.779917469050883,False,0.77,4.1168,1,4,1,25.0,20.08238928939237,20.08238928939237,17.45347698334966,2.5465230166503408,历史1/4次成功; 当前距低点2.55%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
9,61.83091165539484,54.9428497903538,300638,广和通,bottom_area,2025-03-03,33.31,2025-03-03,32.18,3.511497824735869,6.40149160969547,27.587758775877585,False,-0.2396,11.0658,1,3,1,33.33333333333333,46.64371772805508,46.64371772805508,16.488502175264134,3.511497824735869,历史1/3次成功; 当前距低点3.51%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
