rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.8330385354572,76.59448548812667,000037,深南电A,bottom_area,2021-07-28,7.29,2021-07-28,7.2,1.249999999999998,6.388888888888888,31.753554502369667,False,-4.9544,1.4028,1,1,1,100.0,34.43271767810025,34.43271767810025,18.750000000000004,1.249999999999998,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
2,82.95613001125943,72.07914897561878,601717,中创智领,bottom_area,2021-07-28,9.41,2021-07-28,9.2,2.282608695652183,7.065217391304353,28.626842513576424,False,-4.7571,2.4383,1,1,1,100.0,22.814498933901906,22.814498933901906,17.717391304347817,2.282608695652183,历史1/1次成功; 当前距低点2.28%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
3,79.49807375284841,70.4046076529334,605337,李子园,bottom_area,2021-07-28,44.41,2021-07-28,42.98,3.32712889716147,6.3983248022335975,27.15254237288136,False,-3.7703,6.1258,1,1,1,100.0,26.615384615384624,26.615384615384624,16.67287110283853,3.32712889716147,历史1/1次成功; 当前距低点3.33%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
4,78.06146890641091,69.58208445642411,300490,华自科技,bottom_area,2021-07-28,16.33,2021-07-28,15.75,3.682539682539672,13.904761904761914,32.692307692307686,False,-10.5696,10.0754,1,1,1,100.0,26.54986522911052,26.54986522911052,16.31746031746033,3.682539682539672,历史1/1次成功; 当前距低点3.68%; 最新日涨幅-10.57%; 状态bottom_area; 底部未确认
5,76.49264413069025,68.9277431961801,603020,爱普股份,bottom_area,2021-07-28,14.87,2021-07-28,14.26,4.277699859747542,5.820476858345022,27.540650406504064,False,-1.5232,2.4678,1,1,1,100.0,20.112359550561788,20.112359550561788,15.72230014025246,4.277699859747542,历史1/1次成功; 当前距低点4.28%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
6,69.17581879425398,58.92530290102389,600009,上海机场,bottom_area,2021-07-28,38.86,2021-07-28,38.4,1.197916666666669,3.9583333333333415,27.34153263954589,False,-1.8439,1.4316,1,2,1,50.0,20.250284414106932,20.250284414106932,18.802083333333332,1.197916666666669,历史1/2次成功; 当前距低点1.20%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
7,63.722441100817605,56.41567075255144,300573,兴齐眼药,bottom_area,2021-07-28,90.83,2021-07-28,87.92,3.309827115559596,13.398544131028208,29.944223107569716,False,-7.8803,7.4473,1,2,1,50.0,42.86062675283501,42.86062675283501,16.690172884440404,3.309827115559596,历史1/2次成功; 当前距低点3.31%; 最新日涨幅-7.88%; 状态bottom_area; 底部未确认
8,55.62282081157506,50.22678728299521,603196,璞源材料,bottom_area,2021-07-28,7.13,2021-07-28,6.83,4.3923865300146385,9.370424597364563,27.340425531914896,False,-4.6791,2.3772,1,2,1,50.0,22.85714285714286,22.85714285714286,15.607613469985363,4.3923865300146385,历史1/2次成功; 当前距低点4.39%; 最新日涨幅-4.68%; 状态bottom_area; 底部未确认
