rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.3683276650258,81.06690832076468,002246,北化股份,bottom_area,2025-01-20,9.52,2025-01-06,9.2,3.478260869565221,6.521739130434799,27.38752959747435,False,-0.9365,1.8317,4,4,4,100.0,25.577113458996685,31.992687385740403,11.521739130434778,3.478260869565221,历史4/4次成功; 当前距低点3.48%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
2,82.95482397426413,76.35308445117406,300682,朗新科技,bottom_area,2025-01-20,10.49,2025-01-13,10.18,3.0451866404715178,7.26915520628684,29.256428075052128,True,-0.6629,1.3556,2,2,2,100.0,19.0651074809093,21.503593145384194,11.954813359528483,3.0451866404715178,历史2/2次成功; 当前距低点3.05%; 最新日涨幅-0.66%; 状态bottom_area; 底部已确认
3,82.28224970358052,76.69438884933768,300434,金石亚药,bottom_area,2025-01-20,8.64,2025-01-13,8.33,3.7214885954381813,7.563025210084043,27.439024390243905,True,0.232,3.5218,3,4,3,75.0,27.550445413638354,39.62264150943396,11.278511404561819,3.7214885954381813,历史3/4次成功; 当前距低点3.72%; 最新日涨幅0.23%; 状态bottom_area; 底部已确认
4,77.78672017016811,71.1268982377907,600325,华发股份,bottom_area,2025-01-20,5.34,2025-01-13,5.2,2.6923076923076863,5.1923076923076845,29.539295392953925,False,0.565,1.6869,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,12.307692307692314,2.6923076923076863,历史2/3次成功; 当前距低点2.69%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
5,76.36693998823223,72.71580866697884,600199,金种子酒,bottom_area,2025-01-20,11.85,2025-01-13,11.3,4.867256637168132,8.407079646017692,27.93367346938775,True,0.2538,1.3173,3,4,3,75.0,20.20512795549562,23.70304114490161,10.132743362831867,4.867256637168132,历史3/4次成功; 当前距低点4.87%; 最新日涨幅0.25%; 状态bottom_area; 底部已确认
6,66.4497309861888,62.00204669440592,600202,哈空调,bottom_area,2025-01-20,4.67,2025-01-20,4.5,3.7777777777777763,4.888888888888884,27.884615384615387,False,0.2146,9.4006,2,5,2,40.0,34.27623670827554,41.50485436893204,11.222222222222221,3.7777777777777763,历史2/5次成功; 当前距低点3.78%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
7,66.08515657559421,62.36993335361216,300347,泰格医药,bottom_area,2025-01-20,50.64,2025-01-13,48.51,4.390847247990111,6.472892187177903,29.797395079594786,False,1.7685,2.2568,2,4,2,50.0,22.102500424890394,23.423271500843175,10.609152752009889,4.390847247990111,历史2/4次成功; 当前距低点4.39%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
8,65.0002154512483,59.96698963143676,603269,海鸥股份,bottom_area,2025-01-20,11.39,2025-01-17,11.04,3.170289855072477,4.891304347826096,28.451069345430984,False,2.8907,11.2845,1,2,1,50.0,27.55511022044088,27.55511022044088,11.829710144927521,3.170289855072477,历史1/2次成功; 当前距低点3.17%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
9,62.05916166153294,57.00972856046334,002571,德力股份,bottom_area,2025-01-20,4.2,2025-01-20,4.08,2.9411764705882377,4.166666666666665,27.142857142857135,False,0.2387,8.0036,1,3,1,33.33333333333333,28.291814946619215,28.291814946619215,12.058823529411763,2.9411764705882377,历史1/3次成功; 当前距低点2.94%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
10,51.615318244426874,48.11706057791035,300601,康泰生物,bottom_area,2025-01-20,15.02,2025-01-13,14.48,3.7292817679557952,6.21546961325967,28.775209050664035,False,-0.4639,1.1995,1,5,1,20.0,24.837758112094402,24.837758112094402,11.270718232044205,3.7292817679557952,历史1/5次成功; 当前距低点3.73%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
