rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.05193200870325,79.3717736808156,603222,济民健康,bottom_area,2024-05-21,6.63,2024-05-21,6.58,0.7598784194528849,3.0395136778115526,29.474812433011788,False,-2.6432,3.2507,8,8,8,100.0,22.980088586925643,68.46504559270518,9.240121580547116,0.7598784194528849,历史8/8次成功; 当前距低点0.76%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
2,80.34714533672832,77.55744219903089,301448,开创电气,bottom_area,2024-05-21,20.99,2024-05-21,20.35,3.14496314496313,3.4398034398034363,31.802949061662193,False,0.962,6.5953,2,2,2,100.0,13.48364607283245,13.90887290167866,6.85503685503687,3.14496314496313,历史2/2次成功; 当前距低点3.14%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
3,79.92839752806675,73.56567640905617,688091,上海谊众,bottom_area,2024-05-21,27.98,2024-05-21,27.8,0.6474820143884882,4.02877697841727,31.996086105675147,False,-2.8809,1.0606,2,2,2,100.0,23.720082805709236,32.96853625171,9.352517985611513,0.6474820143884882,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
4,78.98069817107337,73.21123421330495,603232,格尔软件,bottom_area,2024-05-21,11.89,2024-05-17,11.77,1.0195412064571028,4.6728971962616885,29.940476190476197,False,-2.541,3.7109,4,6,4,66.66666666666666,25.4253843944112,48.01488833746897,8.980458793542898,1.0195412064571028,历史4/6次成功; 当前距低点1.02%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
5,77.78683237157665,76.62806648809809,603139,康惠股份,bottom_area,2024-05-21,14.35,2024-05-15,13.77,4.21205519244735,9.658678286129268,28.318584070796465,True,-2.5136,2.1269,3,3,3,100.0,18.180388854183054,29.315476190476186,5.787944807552651,4.21205519244735,历史3/3次成功; 当前距低点4.21%; 最新日涨幅-2.51%; 状态bottom_area; 底部已确认
6,77.56542616381125,73.16457381975454,300557,理工光科,bottom_area,2024-05-21,22.66,2024-05-21,22.23,1.9343229869545646,2.4291497975708465,27.660266840221283,False,-0.614,0.9653,1,1,1,100.0,14.165753924790064,14.165753924790064,8.065677013045436,1.9343229869545646,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
7,77.05006053384521,71.88166740559765,603110,东方材料,bottom_area,2024-05-21,14.2,2024-05-14,14.01,1.356174161313344,6.281227694503931,27.220779220779225,False,-3.7288,4.5225,1,1,1,100.0,10.396475770925107,10.396475770925107,8.643825838686658,1.356174161313344,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
8,76.69677682389258,76.13256736592746,605155,西大门,bottom_area,2024-05-21,10.66,2024-05-13,10.19,4.612365063788034,8.635917566241421,32.87220026350462,True,-0.5597,1.3418,2,2,2,100.0,37.09010597507621,57.16054477919933,5.387634936211967,4.612365063788034,历史2/2次成功; 当前距低点4.61%; 最新日涨幅-0.56%; 状态bottom_area; 底部已确认
9,75.51261609907122,68.64783281733747,300600,国瑞科技,bottom_area,2024-05-21,6.04,2024-05-21,6.04,0.0,0.0,30.173410404624278,False,-20.0,0.7358,1,1,1,100.0,28.482972136222923,28.482972136222923,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态bottom_area; 底部未确认
10,71.6904830354739,70.76556703853483,605108,同庆楼,bottom_area,2024-05-21,26.09,2024-05-14,25.01,4.3182726909236235,5.117952818872442,27.821067821067814,False,-0.4958,0.8794,2,2,2,100.0,13.82381061204675,17.52165223184544,5.681727309076377,4.3182726909236235,历史2/2次成功; 当前距低点4.32%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
11,68.90626026579564,64.89459442840341,300758,七彩化学,bottom_area,2024-05-21,13.2,2024-05-17,12.96,1.8518518518518396,9.49074074074073,28.51627137341422,True,-3.7901,12.4511,2,4,2,50.0,28.047401347449473,38.59480269489894,8.148148148148161,1.8518518518518396,历史2/4次成功; 当前距低点1.85%; 最新日涨幅-3.79%; 状态bottom_area; 底部已确认
12,53.51354378818738,48.64867617107943,002748,世龙实业,bottom_area,2024-05-21,6.17,2024-05-21,6.17,0.0,0.0,31.747787610619465,False,-4.9307,0.0554,1,2,1,50.0,12.627291242362526,12.627291242362526,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
