rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.6033697447926,81.07455950088566,000411,英特集团,bottom_area,2023-01-19,11.92,2023-01-05,11.54,3.292894280762572,3.812824956672455,31.675547661338076,False,0.1681,1.1157,2,2,2,100.0,34.206228285076975,47.98426745329401,16.70710571923743,3.292894280762572,历史2/2次成功; 当前距低点3.29%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
2,87.29927177702828,73.14673342787249,002095,生意宝,bottom_area,2023-01-19,20.25,2023-01-19,20.19,0.29717682020801744,2.377414561664192,32.699999999999996,False,-1.2677,4.1764,1,1,1,100.0,33.84030418250951,33.84030418250951,19.702823179791984,0.29717682020801744,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
3,86.26508393118895,75.55190390637031,002395,双象股份,bottom_area,2023-01-19,9.45,2023-01-17,9.2,2.717391304347826,4.021739130434794,32.65007320644217,False,-0.6309,0.7923,1,1,1,100.0,36.59976387249114,36.59976387249114,17.282608695652176,2.717391304347826,历史1/1次成功; 当前距低点2.72%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
4,84.38603378625739,74.9909421641791,000919,金陵药业,bottom_area,2023-01-19,7.95,2022-12-29,7.68,3.515625000000006,4.947916666666677,31.12107623318386,False,1.145,1.3835,1,1,1,100.0,20.8955223880597,20.8955223880597,16.484374999999996,3.515625000000006,历史1/1次成功; 当前距低点3.52%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
5,75.20021022951323,64.03105175390473,002838,道恩股份,bottom_area,2023-01-19,17.21,2023-01-13,17.01,1.1757789535567271,2.057613168724267,32.17703349282296,False,0.467,0.857,1,2,1,50.0,24.95606326889279,24.95606326889279,18.824221046443274,1.1757789535567271,历史1/2次成功; 当前距低点1.18%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
6,65.46661134874394,54.72078365283335,000419,通程控股,bottom_area,2023-01-19,6.07,2023-01-19,6.06,0.16501650165017617,2.1452145214521585,29.039812646370024,False,-1.9386,3.1144,1,2,1,50.0,24.82269503546099,24.82269503546099,19.834983498349825,0.16501650165017617,历史1/2次成功; 当前距低点0.17%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
7,65.22889271757452,54.691357270180816,300434,金石亚药,bottom_area,2023-01-19,12.01,2023-01-19,11.97,0.3341687552213797,2.422723475355047,31.127733026467197,False,-1.1523,2.1517,1,2,1,50.0,26.7379679144385,26.7379679144385,19.665831244778623,0.3341687552213797,历史1/2次成功; 当前距低点0.33%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
8,61.04129009733977,51.0195857530004,000715,中兴商业,bottom_area,2023-01-19,6.16,2023-01-19,6.15,0.1626016260162567,2.7642276422764214,31.05381165919282,False,-1.7544,3.5583,1,3,1,33.33333333333333,24.33862433862435,24.33862433862435,19.837398373983746,0.1626016260162567,历史1/3次成功; 当前距低点0.16%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
9,60.78464018622945,50.824837222299855,000679,大连友谊,bottom_area,2023-01-19,5.45,2023-01-18,5.44,0.18382352941176078,2.5735294117647,28.515111695137975,False,-0.3656,2.0601,1,4,1,25.0,24.94061757719715,24.94061757719715,19.81617647058824,0.18382352941176078,历史1/4次成功; 当前距低点0.18%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
