rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.30880899717847,83.08415658325414,002660,茂硕电源,bottom_area,2023-03-30,9.09,2023-03-20,8.91,2.020202020202017,7.519640852974185,28.31858407079646,True,0.0,1.6207,2,2,2,100.0,20.21622144792876,24.71428571428572,5.979797979797984,2.020202020202017,历史2/2次成功; 当前距低点2.02%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
2,83.51265374486351,80.13476998342513,300699,光威复材,bottom_area,2023-03-30,51.66,2023-03-30,50.72,1.853312302839112,2.917981072555213,30.767130767130773,False,-0.5008,2.2718,2,2,2,100.0,33.98022598870056,49.6271186440678,6.146687697160888,1.853312302839112,历史2/2次成功; 当前距低点1.85%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
3,81.11290630325638,77.38716736283313,601958,金钼股份,bottom_area,2023-03-30,11.1,2023-03-30,10.93,1.5553522415370533,1.7383348581884677,29.11802853437095,False,0.271,0.5956,1,1,1,100.0,9.749303621169918,9.749303621169918,6.444647758462947,1.5553522415370533,历史1/1次成功; 当前距低点1.56%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
4,80.55259559238522,77.13125333901215,300767,震安科技,bottom_area,2023-03-30,40.85,2023-03-28,40.15,1.7434620174346271,3.6861768368617787,28.9128895184136,False,0.492,0.7284,1,1,1,100.0,10.679283541737075,10.679283541737075,6.256537982565373,1.7434620174346271,历史1/1次成功; 当前距低点1.74%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
5,80.19807508456849,74.65355743075791,603315,福鞍股份,bottom_area,2023-03-30,14.52,2023-03-30,14.48,0.276243093922646,4.834254143646404,27.089627391742194,False,-2.6157,1.0578,1,1,1,100.0,41.68490153172865,41.68490153172865,7.723756906077354,0.276243093922646,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
6,78.58492585888997,76.0772065179384,002192,融捷股份,bottom_area,2023-03-30,78.27,2023-03-30,76.5,2.3137254901960733,3.1503267973856164,27.336626139817632,False,-1.3238,4.8202,2,2,2,100.0,17.809143202072256,25.707231766279197,5.686274509803926,2.3137254901960733,历史2/2次成功; 当前距低点2.31%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
7,77.54464208357103,72.11916371253622,002374,中锐股份,bottom_area,2023-03-30,4.36,2023-03-30,4.35,0.22988505747127988,2.7586206896551753,29.611650485436897,False,-1.8018,1.3976,2,2,2,100.0,10.82420238478892,12.068965517241388,7.77011494252872,0.22988505747127988,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
8,77.04043290242956,72.59327718310428,603356,华菱精工,bottom_area,2023-03-30,12.21,2023-03-30,12.1,0.9090909090909192,7.3553719008264515,28.613569321533923,False,-8.0572,8.2394,2,2,2,100.0,31.91400245070737,38.38297872340427,7.090909090909081,0.9090909090909192,历史2/2次成功; 当前距低点0.91%; 最新日涨幅-8.06%; 状态bottom_area; 底部未确认
9,77.02014781266867,78.47066618765255,300707,威唐工业,confirmed_rebound,2023-03-30,15.84,2023-03-20,15.09,4.970178926441352,9.542743538767404,32.27109515260324,True,-1.0618,2.587,4,4,4,100.0,30.92835559106886,59.14285714285715,3.0298210735586486,4.970178926441352,历史4/4次成功; 当前距低点4.97%; 最新日涨幅-1.06%; 状态confirmed_rebound; 底部已确认
10,76.95852070920236,72.34471134891581,002708,光洋股份,bottom_area,2023-03-30,6.41,2023-03-20,6.36,0.7861635220125759,6.132075471698108,31.759656652360512,False,-0.4658,1.0501,1,1,1,100.0,35.522388059701484,35.522388059701484,7.2138364779874244,0.7861635220125759,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
11,76.92182959834363,72.6028885366748,002347,泰尔股份,bottom_area,2023-03-30,5.07,2023-03-20,5.02,0.9960159362549943,6.175298804780887,29.09604519774012,False,-0.9766,2.1973,2,2,2,100.0,22.816155222237516,29.585798816568047,7.003984063745006,0.9960159362549943,历史2/2次成功; 当前距低点1.00%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
12,76.34999814316393,71.75931478185885,603051,鹿山新材,bottom_area,2023-03-30,48.02,2023-03-30,47.65,0.7764952780692645,2.3504721930745114,28.880597014925375,False,-0.7441,4.6061,2,2,2,100.0,15.58991406374611,18.738110336081178,7.223504721930736,0.7764952780692645,历史2/2次成功; 当前距低点0.78%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
13,74.05758694070893,74.94654277935365,000887,中鼎股份,bottom_area,2023-03-30,12.68,2023-03-20,12.12,4.620462046204625,6.600660066006607,28.45336481700119,False,0.9554,0.9337,2,2,2,100.0,17.53331314354936,23.84615384615385,3.379537953795375,4.620462046204625,历史2/2次成功; 当前距低点4.62%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
14,73.59158847980419,73.15321714113072,002729,好利科技,bottom_area,2023-03-30,21.36,2023-03-29,20.6,3.689320388349505,3.737864077669901,30.49932523616734,False,1.7627,4.0636,1,1,1,100.0,13.144449605202036,13.144449605202036,4.310679611650495,3.689320388349505,历史1/1次成功; 当前距低点3.69%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
15,72.99384834980667,71.61132064523618,601702,华峰铝业,confirmed_rebound,2023-03-30,12.68,2023-03-20,12.31,3.0056864337936573,9.098294069861893,29.212190914318576,True,-0.7825,2.299,1,1,1,100.0,19.96927803379416,19.96927803379416,4.994313566206343,3.0056864337936573,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-0.78%; 状态confirmed_rebound; 底部已确认
16,72.86205466843303,68.83046125990155,688357,建龙微纳,bottom_area,2023-03-30,93.19,2023-03-30,92.23,1.0408760706928264,2.992518703241885,27.108195684817826,False,-0.8617,0.8487,2,3,2,66.66666666666666,18.801032443088825,26.291618828932272,6.959123929307173,1.0408760706928264,历史2/3次成功; 当前距低点1.04%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
17,72.49416542824582,72.77758299763858,002324,普利特,bottom_area,2023-03-30,14.38,2023-03-20,13.8,4.202898550724639,7.391304347826083,29.01234567901235,True,1.1252,1.268,1,1,1,100.0,8.226837060702884,8.226837060702884,3.7971014492753614,4.202898550724639,历史1/1次成功; 当前距低点4.20%; 最新日涨幅1.13%; 状态bottom_area; 底部已确认
18,71.22546885489565,70.37336581810393,605128,上海沿浦,bottom_area,2023-03-30,41.36,2023-03-28,40.01,3.374156460884783,4.748812796800796,32.75630252100841,False,-0.8153,2.3323,1,1,1,100.0,16.80883090817863,16.80883090817863,4.625843539115217,3.374156460884783,历史1/1次成功; 当前距低点3.37%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
19,70.78989173887759,69.4697625272167,002767,先锋电子,confirmed_rebound,2023-03-30,13.64,2023-03-20,13.24,3.021148036253779,9.063444108761324,30.279094260136908,True,-2.1521,1.9754,1,1,1,100.0,8.645054031587705,8.645054031587705,4.978851963746221,3.021148036253779,历史1/1次成功; 当前距低点3.02%; 最新日涨幅-2.15%; 状态confirmed_rebound; 底部已确认
