rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.82429767561148,81.35056009841742,300757,罗博特科,bottom_area,2025-10-15,223.93,2025-10-15,217.82,2.805068405105139,2.8372050316775352,28.031454437322417,False,1.4727,2.9578,7,8,7,87.5,23.46030140890924,74.11052233156698,7.194931594894862,2.805068405105139,历史7/8次成功; 当前距低点2.81%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
2,81.67834474214564,78.00364525475779,603219,富佳股份,bottom_area,2025-10-15,17.47,2025-10-13,17.03,2.583675866118601,7.398708162066929,28.355069415229273,True,0.9827,0.8498,1,1,1,100.0,16.475409836065587,16.475409836065587,7.4163241338814,2.583675866118601,历史1/1次成功; 当前距低点2.58%; 最新日涨幅0.98%; 状态bottom_area; 底部已确认
3,81.02122662495543,80.29399077679147,605298,必得科技,bottom_area,2025-10-15,40.41,2025-10-13,38.66,4.5266425245732025,7.682359027418537,28.007448789571704,True,3.2711,2.1661,3,3,3,100.0,19.272772757087996,28.626692456479695,5.473357475426798,4.5266425245732025,历史3/3次成功; 当前距低点4.53%; 最新日涨幅3.27%; 状态bottom_area; 底部已确认
4,80.53733630145038,76.8164312647406,301191,菲菱科思,bottom_area,2025-10-15,98.97,2025-10-13,96.54,2.5170913610938395,8.245286927698356,27.890648341798617,True,-1.0003,5.4384,1,1,1,100.0,31.749460043196553,31.749460043196553,7.48290863890616,2.5170913610938395,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
5,79.67587091931628,78.32413559322033,688621,阳光诺和,bottom_area,2025-10-15,61.42,2025-10-14,59.0,4.10169491525424,5.898305084745757,31.355439208842352,False,3.6624,2.9545,1,1,1,100.0,46.0,46.0,5.89830508474576,4.10169491525424,历史1/1次成功; 当前距低点4.10%; 最新日涨幅3.66%; 状态bottom_area; 底部未确认
6,78.25155886877243,75.81748641769939,688039,当虹科技,bottom_area,2025-10-15,52.89,2025-10-15,51.18,3.341148886283706,3.7514654161781977,27.885021840214176,False,1.9468,4.7902,5,7,5,71.42857142857143,35.1053311436126,79.31638913234006,6.658851113716294,3.341148886283706,历史5/7次成功; 当前距低点3.34%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
7,77.80384613550646,76.603401064949,600706,曲江文旅,bottom_area,2025-10-15,10.21,2025-10-13,9.8,4.183673469387756,4.59183673469387,31.420573827851634,False,1.2897,4.2515,2,2,2,100.0,21.086970834156286,24.578313253012034,5.816326530612245,4.183673469387756,历史2/2次成功; 当前距低点4.18%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
8,77.02873633299927,72.82162380004952,301617,博苑新材,bottom_area,2025-10-15,72.11,2025-10-15,70.66,2.0520803849419798,4.882536088310222,27.89795918367347,False,-1.4621,8.8962,1,1,1,100.0,13.765414396329238,13.765414396329238,7.94791961505802,2.0520803849419798,历史1/1次成功; 当前距低点2.05%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
9,76.98572687233009,75.4531194475503,603083,剑桥科技,bottom_area,2025-10-15,103.83,2025-10-15,99.89,3.9443387726499126,5.115627189908899,29.901754385964914,False,2.0342,9.1882,1,1,1,100.0,28.63554757630162,28.63554757630162,6.055661227350088,3.9443387726499126,历史1/1次成功; 当前距低点3.94%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
10,75.5457433658403,73.59485091058926,601869,长飞光纤,bottom_area,2025-10-15,86.01,2025-10-15,83.0,3.6265060240963916,4.433734939759044,30.833333333333336,False,0.9744,2.6492,1,1,1,100.0,14.748842180263628,14.748842180263628,6.373493975903608,3.6265060240963916,历史1/1次成功; 当前距低点3.63%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
11,75.49466058590745,73.3001606063836,000096,广聚能源,bottom_area,2025-10-15,11.39,2025-09-23,11.01,3.451407811080843,6.176203451407809,28.039215686274517,False,-0.1753,1.0035,2,2,2,100.0,16.82457212713937,21.149144254278735,6.548592188919159,3.451407811080843,历史2/2次成功; 当前距低点3.45%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
12,74.75103420567366,74.27344157072646,603228,景旺电子,bottom_area,2025-10-15,57.23,2025-10-15,54.68,4.663496708119966,4.9378200438917395,32.83380420095811,False,2.8022,2.4534,2,2,2,100.0,14.442011103440802,14.566719829877735,5.336503291880035,4.663496708119966,历史2/2次成功; 当前距低点4.66%; 最新日涨幅2.80%; 状态bottom_area; 底部未确认
13,71.77737261575263,70.09530587370081,002123,梦网科技,bottom_area,2025-10-15,12.71,2025-10-13,12.25,3.7551020408163334,5.1428571428571495,29.39481268011528,False,1.4366,2.0591,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,6.2448979591836675,3.7551020408163334,历史2/3次成功; 当前距低点3.76%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
14,70.38162744847331,66.37114941448651,688335,复洁科技,bottom_area,2025-10-15,24.94,2025-10-15,24.47,1.9207192480588573,5.476093175316714,30.973201692524693,False,-1.811,5.6331,2,3,2,66.66666666666666,16.36410017953784,21.15059221658205,8.079280751941143,1.9207192480588573,历史2/3次成功; 当前距低点1.92%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
15,67.88219367606689,66.88208769188911,000428,华天酒店,bottom_area,2025-10-15,3.21,2025-10-13,3.08,4.220779220779217,5.194805194805199,28.70370370370371,False,0.9434,2.0143,3,5,3,60.0,22.610023200353346,28.045977011494273,5.7792207792207835,4.220779220779217,历史3/5次成功; 当前距低点4.22%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
16,67.67849839744274,64.93066945606697,000700,模塑科技,bottom_area,2025-10-15,9.83,2025-10-15,9.56,2.8242677824267735,3.451882845188285,27.24505327245053,False,1.7598,3.4107,1,2,1,50.0,52.926829268292686,52.926829268292686,7.175732217573227,2.8242677824267735,历史1/2次成功; 当前距低点2.82%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
17,65.67899906897846,63.62653034807288,300459,汤姆猫,bottom_area,2025-10-15,4.65,2025-10-13,4.5,3.333333333333341,5.555555555555555,27.884615384615387,False,1.087,2.1144,3,6,3,50.0,15.895324452004822,19.047619047619044,6.66666666666666,3.333333333333341,历史3/6次成功; 当前距低点3.33%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
18,63.23754542494301,62.0633734939759,601900,南方传媒,bottom_area,2025-10-15,12.95,2025-09-23,12.45,4.016064257028113,9.156626506024102,30.756395995550616,True,0.3098,0.5636,1,2,1,50.0,39.999999999999986,39.999999999999986,5.983935742971888,4.016064257028113,历史1/2次成功; 当前距低点4.02%; 最新日涨幅0.31%; 状态bottom_area; 底部已确认
19,62.929806308933514,59.22308808776353,301529,福赛科技,bottom_area,2025-10-15,67.36,2025-10-15,66.16,1.813784764207985,3.2799274486094343,31.369294605809134,False,-0.4728,6.5181,1,2,1,50.0,29.400630914826507,29.400630914826507,8.186215235792016,1.813784764207985,历史1/2次成功; 当前距低点1.81%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
