rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,77.29119116119055,73.59063358655247,601798,蓝科高新,confirmed_rebound,2022-03-14,7.0,2022-03-09,6.9,1.4492753623188355,11.304347826086946,27.521008403361336,True,-3.4483,2.3519,1,1,1,100.0,21.74721189591078,21.74721189591078,6.5507246376811645,1.4492753623188355,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-3.45%; 状态confirmed_rebound; 底部已确认
2,76.66045957204437,72.9560257529885,688258,卓易信息,bottom_area,2022-03-14,28.47,2022-03-11,28.07,1.4250089063056592,4.98753117206982,27.803497942386834,False,-3.3277,1.0907,1,1,1,100.0,17.01637666325486,17.01637666325486,6.574991093694341,1.4250089063056592,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
3,74.67999800170045,69.22325551616692,001296,长江材料,bottom_area,2022-03-14,35.5,2022-03-14,35.48,0.05636978579482279,7.018038331454347,31.63776493256262,False,-8.3161,30.0754,1,1,1,100.0,20.009562514941443,20.009562514941443,7.943630214205177,0.05636978579482279,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-8.32%; 状态bottom_area; 底部未确认
4,73.3419680064487,71.90555087703237,600183,生益科技,confirmed_rebound,2022-03-14,16.98,2022-03-09,16.49,2.9714978775015286,8.18677986658582,30.97530347425702,True,-2.5818,0.5633,1,1,1,100.0,21.132075471698116,21.132075471698116,5.028502122498471,2.9714978775015286,历史1/1次成功; 当前距低点2.97%; 最新日涨幅-2.58%; 状态confirmed_rebound; 底部已确认
5,73.10630411832288,71.85595158190452,601966,玲珑轮胎,bottom_area,2022-03-14,21.93,2022-03-09,21.27,3.102961918194641,7.804419370004702,27.8493894165536,True,-3.3069,0.5834,1,1,1,100.0,22.476907287033857,22.476907287033857,4.897038081805359,3.102961918194641,历史1/1次成功; 当前距低点3.10%; 最新日涨幅-3.31%; 状态bottom_area; 底部已确认
6,73.09507444492971,73.20991352496887,002111,威海广泰,bottom_area,2022-03-14,9.18,2022-03-09,8.82,4.081632653061218,7.482993197278913,31.415241057542765,True,-1.8182,0.6102,2,2,2,100.0,14.871161150260495,15.227629513343796,3.9183673469387816,4.081632653061218,历史2/2次成功; 当前距低点4.08%; 最新日涨幅-1.82%; 状态bottom_area; 底部已确认
7,72.3777702159113,71.30065037445806,001267,汇绿生态,confirmed_rebound,2022-03-14,6.09,2022-03-09,5.9,3.220338983050839,9.66101694915253,31.949250288350626,True,-2.56,3.6356,1,1,1,100.0,20.930232558139547,20.930232558139547,4.779661016949161,3.220338983050839,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-2.56%; 状态confirmed_rebound; 底部已确认
8,69.51001218884467,69.26201991979318,605319,无锡振华,confirmed_rebound,2022-03-14,14.97,2022-03-09,14.42,3.8141470180305186,9.500693481276,31.169451073985677,True,-2.729,2.2274,1,1,1,100.0,17.248790972595383,17.248790972595383,4.185852981969481,3.8141470180305186,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-2.73%; 状态confirmed_rebound; 底部已确认
9,68.36789491134738,67.91314609170249,605303,园林股份,confirmed_rebound,2022-03-14,13.62,2022-03-09,13.14,3.65296803652967,9.741248097412477,28.39237057220709,True,-2.5054,1.9523,1,1,1,100.0,8.02103879026955,8.02103879026955,4.3470319634703305,3.65296803652967,历史1/1次成功; 当前距低点3.65%; 最新日涨幅-2.51%; 状态confirmed_rebound; 底部已确认
10,68.14290202784113,67.89682863840295,603129,春风动力,confirmed_rebound,2022-03-14,104.85,2022-03-09,101.0,3.8118811881188064,9.891089108910887,29.360749755210513,True,-4.0977,0.3246,1,1,1,100.0,20.09633197480549,20.09633197480549,4.188118811881194,3.8118811881188064,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-4.10%; 状态confirmed_rebound; 底部已确认
11,65.54021084244803,66.48863716757242,000338,潍柴动力,confirmed_rebound,2022-03-14,13.46,2022-03-09,12.85,4.747081712062267,9.338521400778218,32.68727082242012,True,-2.6753,0.7927,1,1,1,100.0,13.774104683195592,13.774104683195592,3.252918287937734,4.747081712062267,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-2.68%; 状态confirmed_rebound; 底部已确认
12,64.76803090598683,65.82755034522441,601901,方正证券,confirmed_rebound,2022-03-14,6.71,2022-03-09,6.4,4.843749999999994,10.156249999999991,29.51541850220264,False,-1.0324,0.2172,1,1,1,100.0,20.598388952819345,20.598388952819345,3.156250000000006,4.843749999999994,历史1/1次成功; 当前距低点4.84%; 最新日涨幅-1.03%; 状态confirmed_rebound; 底部未确认
13,55.147937825386094,51.29444280933482,002352,顺丰控股,bottom_area,2022-03-14,51.2,2022-03-09,51.08,0.23492560689116004,7.439310884886462,29.70964634649787,True,-4.6732,0.5466,1,2,1,50.0,8.27996340347668,8.27996340347668,7.76507439310884,0.23492560689116004,历史1/2次成功; 当前距低点0.23%; 最新日涨幅-4.67%; 状态bottom_area; 底部已确认
