rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.3354758523324,80.24402415206285,300561,汇金科技,bottom_area,2023-09-22,12.82,2023-09-21,12.46,2.8892455858747947,3.21027287319421,32.539252842447205,False,2.3962,3.545,2,2,2,100.0,24.79303273041607,27.62128325508607,17.110754414125207,2.8892455858747947,历史2/2次成功; 当前距低点2.89%; 最新日涨幅2.40%; 状态bottom_area; 底部未确认
2,88.39452587373022,78.34582254704414,601777,千里科技,bottom_area,2023-09-22,3.68,2023-08-25,3.56,3.3707865168539355,8.146067415730338,27.93522267206478,True,1.6575,0.5066,1,1,1,100.0,27.96352583586626,27.96352583586626,16.629213483146067,3.3707865168539355,历史1/1次成功; 当前距低点3.37%; 最新日涨幅1.66%; 状态bottom_area; 底部已确认
3,84.84481840914812,76.22272713138118,000058,深赛格,bottom_area,2023-09-22,7.09,2023-09-22,6.81,4.111600587371517,4.405286343612345,27.16577540106952,False,0.7102,4.2174,1,1,1,100.0,34.82352941176472,34.82352941176472,15.888399412628484,4.111600587371517,历史1/1次成功; 当前距低点4.11%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
4,81.03119639215954,73.18531864625203,600375,汉马科技,bottom_area,2023-09-22,5.69,2023-09-21,5.45,4.403669724770646,11.376146788990829,30.395913154533844,False,2.1544,2.9321,1,1,1,100.0,22.073578595317713,22.073578595317713,15.596330275229356,4.403669724770646,历史1/1次成功; 当前距低点4.40%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
5,78.39544110828976,69.57824451450713,002534,西子洁能,bottom_area,2023-09-22,12.91,2023-09-22,12.48,3.445512820512818,3.445512820512818,27.861271676300582,False,3.28,0.5049,2,3,2,66.66666666666666,29.824446659191896,33.11594202898551,16.554487179487182,3.445512820512818,历史2/3次成功; 当前距低点3.45%; 最新日涨幅3.28%; 状态bottom_area; 底部未确认
6,74.50782865818394,63.920925390399084,002386,天原股份,bottom_area,2023-09-22,5.76,2023-08-31,5.67,1.5873015873015848,5.996472663139327,31.604342581423396,False,0.6993,0.495,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,18.41269841269842,1.5873015873015848,历史1/3次成功; 当前距低点1.59%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
7,71.1777331163066,61.496926605504584,002265,建设工业,bottom_area,2023-09-22,12.4,2023-08-25,12.16,1.9736842105263175,7.1546052631578885,28.344136711844424,True,1.39,0.4704,1,4,1,25.0,32.75229357798165,32.75229357798165,18.026315789473685,1.9736842105263175,历史1/4次成功; 当前距低点1.97%; 最新日涨幅1.39%; 状态bottom_area; 底部已确认
8,65.59929702359955,57.172558982295904,300603,立昂技术,bottom_area,2023-09-22,9.2,2023-09-21,8.98,2.4498886414253773,2.672605790645882,27.346278317152095,False,1.9956,5.4856,1,5,1,20.0,35.36723163841809,35.36723163841809,17.550111358574625,2.4498886414253773,历史1/5次成功; 当前距低点2.45%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
9,65.03207293911639,54.309923861537,300573,兴齐眼药,bottom_area,2023-09-22,153.8,2023-09-22,153.62,0.11717224319750476,5.318317927353201,31.724444444444444,False,-2.4483,3.2162,1,4,1,25.0,42.86062675283501,42.86062675283501,19.882827756802495,0.11717224319750476,历史1/4次成功; 当前距低点0.12%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
10,64.32117204301076,56.85849462365592,002069,獐子岛,bottom_area,2023-09-22,4.16,2023-09-14,4.03,3.2258064516129004,5.707196029776663,28.79858657243816,False,1.2165,1.0193,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,16.7741935483871,3.2258064516129004,历史1/3次成功; 当前距低点3.23%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
11,60.184618374585924,54.93156761249547,688191,智洋创新,bottom_area,2023-09-22,18.76,2023-09-20,17.87,4.980414101846673,5.595970900951315,28.519999999999996,False,3.9335,3.691,1,2,1,50.0,22.671568627450974,22.671568627450974,15.019585898153329,4.980414101846673,历史1/2次成功; 当前距低点4.98%; 最新日涨幅3.93%; 状态bottom_area; 底部未确认
12,58.56192494916316,52.74346904607683,603232,格尔软件,bottom_area,2023-09-22,12.02,2023-09-21,11.53,4.249783174327843,4.336513443191674,29.176904176904184,False,3.176,2.7959,1,4,1,25.0,22.78481012658228,22.78481012658228,15.750216825672158,4.249783174327843,历史1/4次成功; 当前距低点4.25%; 最新日涨幅3.18%; 状态bottom_area; 底部未确认
