rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.71810665539918,78.16274377670713,300649,杭州园林,bottom_area,2023-10-16,17.56,2023-10-16,17.45,0.630372492836673,2.1203438395415533,32.88461538461539,False,-0.5099,3.4368,2,2,2,100.0,48.22576914179969,71.60305343511452,19.36962750716333,0.630372492836673,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
2,91.74305379520489,78.41623929527466,301313,凡拓数创,bottom_area,2023-10-16,27.82,2023-10-16,27.44,1.384839650145769,2.2230320699708432,31.82608695652174,False,-0.7138,4.7819,3,4,3,75.0,39.831579019392564,52.43243243243245,18.615160349854232,1.384839650145769,历史3/4次成功; 当前距低点1.38%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
3,87.08116533182137,72.94434566492826,600004,白云机场,bottom_area,2023-10-16,10.65,2023-10-16,10.62,0.2824858757062254,1.5065913370998132,28.000000000000004,False,-0.7456,0.3138,1,1,1,100.0,32.57211538461537,32.57211538461537,19.717514124293775,0.2824858757062254,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
4,86.08806969511689,72.89613871048573,601226,华电科工,bottom_area,2023-10-16,5.78,2023-10-16,5.73,0.8726003490401365,1.745200698080273,29.693251533742327,False,-0.1727,0.3235,1,1,1,100.0,39.54659949622166,39.54659949622166,19.127399650959866,0.8726003490401365,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
5,82.68921657011342,74.08752889349572,000058,深赛格,bottom_area,2023-10-16,7.08,2023-09-22,6.81,3.9647577092511086,7.782672540381795,27.16577540106952,True,-1.8031,2.2208,1,1,1,100.0,34.82352941176472,34.82352941176472,16.03524229074889,3.9647577092511086,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
6,82.43001713342748,70.9447829760456,002534,西子洁能,bottom_area,2023-10-16,12.7,2023-09-22,12.48,1.762820512820504,7.2115384615384635,27.861271676300582,True,-1.3975,0.4033,2,3,2,66.66666666666666,29.824446659191896,33.11594202898551,18.237179487179496,1.762820512820504,历史2/3次成功; 当前距低点1.76%; 最新日涨幅-1.40%; 状态bottom_area; 底部已确认
7,80.42479615893095,67.94104710887629,000524,岭南控股,bottom_area,2023-10-16,8.12,2023-10-16,8.06,0.7444168734491157,9.181141439205957,28.035714285714274,False,-9.375,3.0424,1,1,1,100.0,21.550094517958406,21.550094517958406,19.255583126550885,0.7444168734491157,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-9.38%; 状态bottom_area; 底部未确认
8,74.63866554017885,62.58391201736998,002333,罗普斯金,bottom_area,2023-10-16,5.96,2023-10-16,5.94,0.3367003367003295,1.3468013468013331,27.649208282582222,False,0.0,2.0841,1,2,1,50.0,46.728971962616825,46.728971962616825,19.66329966329967,0.3367003367003295,历史1/2次成功; 当前距低点0.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,69.39241776346657,60.47741964802119,600408,安泰集团,bottom_area,2023-10-16,2.51,2023-10-16,2.45,2.4489795918367188,4.0816326530612095,28.3625730994152,False,1.6194,3.4049,1,2,1,50.0,21.457489878542503,21.457489878542503,17.551020408163282,2.4489795918367188,历史1/2次成功; 当前距低点2.45%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
10,65.13295417793954,55.15290474744881,600322,津投城开,bottom_area,2023-10-16,2.31,2023-10-11,2.29,0.873362445414848,3.9301310043668063,30.182926829268286,False,-0.8584,2.6099,1,2,1,50.0,35.828877005347586,35.828877005347586,19.12663755458515,0.873362445414848,历史1/2次成功; 当前距低点0.87%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
11,63.437204907786416,53.29745801875695,000014,沙河股份,bottom_area,2023-10-16,11.28,2023-10-16,11.23,0.4452359750667759,2.760463045414058,29.148264984227122,False,-1.9983,2.1158,1,2,1,50.0,20.605355064027936,20.605355064027936,19.554764024933224,0.4452359750667759,历史1/2次成功; 当前距低点0.45%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
12,62.17600023809526,52.05190476190478,002069,獐子岛,bottom_area,2023-10-16,4.0,2023-10-16,3.99,0.25062656641603476,1.5037593984962307,29.50530035335689,False,-0.2494,0.7891,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,19.749373433583965,0.25062656641603476,历史1/3次成功; 当前距低点0.25%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
13,59.61894583725504,50.36988505747125,000428,华天酒店,bottom_area,2023-10-16,4.03,2023-10-16,4.0,0.7500000000000062,2.499999999999991,28.571428571428566,False,-1.467,1.7001,1,3,1,33.33333333333333,28.045977011494273,28.045977011494273,19.249999999999996,0.7500000000000062,历史1/3次成功; 当前距低点0.75%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
