rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.68744968940085,76.86313331578565,603928,兴业股份,bottom_area,2025-07-24,15.42,2025-07-23,15.37,0.3253090435914165,1.1060507482107997,31.04531179901301,False,0.3253,1.9225,1,1,1,100.0,31.69267707082834,31.69267707082834,19.674690956408586,0.3253090435914165,历史1/1次成功; 当前距低点0.33%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
2,87.98371543298519,74.22062509743344,300879,大叶股份,bottom_area,2025-07-24,33.23,2025-07-24,33.01,0.6664647076643407,1.787337170554388,28.503357158327923,False,0.1809,3.5204,1,1,1,100.0,21.667551779075957,21.667551779075957,19.33353529233566,0.6664647076643407,历史1/1次成功; 当前距低点0.67%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
3,79.98503742212897,67.73401549002085,002658,雪迪龙,bottom_area,2025-07-24,8.05,2025-07-17,7.98,0.877192982456144,2.1303258145363397,30.36649214659686,False,0.625,3.3358,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,19.12280701754386,0.877192982456144,历史2/3次成功; 当前距低点0.88%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
4,79.8738216535959,72.40157831066037,000999,华润三九,bottom_area,2025-07-24,31.82,2025-07-15,30.42,4.602235371466136,5.0295857988165595,30.036798528058867,False,0.6962,0.6123,1,1,1,100.0,20.293951384963254,20.293951384963254,15.397764628533864,4.602235371466136,历史1/1次成功; 当前距低点4.60%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
5,76.23279347192127,64.25905627737868,000607,华媒控股,bottom_area,2025-07-24,4.83,2025-07-23,4.8,0.6250000000000052,7.2916666666666785,27.819548872180455,False,-0.4124,5.5543,2,4,2,50.0,48.408904717089726,59.82721382289418,19.374999999999996,0.6250000000000052,历史2/4次成功; 当前距低点0.63%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
6,72.93550778816194,61.82915887850465,002636,金安国纪,bottom_area,2025-07-24,11.88,2025-07-24,11.77,0.9345794392523468,2.1240441801189465,29.096385542168683,False,0.5076,3.6247,1,2,1,50.0,69.0,69.0,19.065420560747654,0.9345794392523468,历史1/2次成功; 当前距低点0.93%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
7,69.05272218617806,58.16941271118261,603022,新通联,bottom_area,2025-07-24,10.23,2025-07-24,10.17,0.5899705014749312,0.6882989183874167,32.33532934131736,False,0.3925,2.0384,1,2,1,50.0,26.099706744868023,26.099706744868023,19.41002949852507,0.5899705014749312,历史1/2次成功; 当前距低点0.59%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
8,68.1874115556943,59.82978278103693,600241,时代万恒,bottom_area,2025-07-24,8.39,2025-07-15,8.16,2.8186274509803972,4.534313725490186,30.25641025641025,False,1.2063,1.984,1,2,1,50.0,22.50673854447439,22.50673854447439,17.181372549019603,2.8186274509803972,历史1/2次成功; 当前距低点2.82%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
9,63.06233594952343,56.73196109453089,000637,茂化实华,bottom_area,2025-07-24,4.23,2025-07-07,4.06,4.187192118226622,5.665024630541883,27.370304114490168,False,1.4388,3.4131,1,2,1,50.0,22.627737226277358,22.627737226277358,15.81280788177338,4.187192118226622,历史1/2次成功; 当前距低点4.19%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
