rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.94815333032511,80.61981905996669,300069,金利华电,bottom_area,2025-08-25,21.49,2025-08-15,21.09,1.8966334755808372,3.129445234708393,31.45921351966201,False,0.5615,6.0678,1,1,1,100.0,31.312598840274124,31.312598840274124,6.103366524419163,1.8966334755808372,历史1/1次成功; 当前距低点1.90%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
2,83.93621944330287,78.68628083380106,603221,爱丽家居,bottom_area,2025-08-25,12.53,2025-08-25,12.45,0.6425702811244987,1.1244979919678761,29.261363636363647,False,-0.2389,4.0355,4,4,4,100.0,17.856672444972688,20.699708454810505,7.357429718875502,0.6425702811244987,历史4/4次成功; 当前距低点0.64%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
3,80.81953607418237,80.30206891106195,002795,永和智控,bottom_area,2025-08-25,5.09,2025-08-14,4.91,3.6659877800407275,5.702647657841146,28.84057971014493,False,-0.7797,5.9528,6,6,6,100.0,23.766242201907538,32.328767123287676,4.3340122199592725,3.6659877800407275,历史6/6次成功; 当前距低点3.67%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
4,75.67427253446562,76.85147884631394,003001,中岩大地,bottom_area,2025-08-25,28.15,2025-08-15,26.86,4.802680565897242,7.1109456440804175,27.756858526089296,True,0.464,3.9461,2,2,2,100.0,20.815002884729275,25.533980582524272,3.1973194341027584,4.802680565897242,历史2/2次成功; 当前距低点4.80%; 最新日涨幅0.46%; 状态bottom_area; 底部已确认
5,75.25574463105568,75.70936575601685,688108,赛诺医疗,confirmed_rebound,2025-08-25,33.38,2025-08-25,32.0,4.312500000000008,9.375,31.914893617021278,False,2.0795,16.473,3,3,3,100.0,11.407880408692856,15.175537938844846,3.687499999999992,4.312500000000008,历史3/3次成功; 当前距低点4.31%; 最新日涨幅2.08%; 状态confirmed_rebound; 底部未确认
6,74.80296172446798,73.91663215022251,603262,技源集团,bottom_area,2025-08-25,30.89,2025-08-04,29.88,3.380187416332,4.0829986613119225,28.823249166269648,False,0.4226,11.2301,1,1,1,100.0,13.459459459459449,13.459459459459449,4.619812583668001,3.380187416332,历史1/1次成功; 当前距低点3.38%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
7,74.45882576881245,74.08506328736269,603511,爱慕股份,bottom_area,2025-08-25,15.54,2025-08-15,14.98,3.7383177570093373,4.072096128170891,29.999999999999993,False,0.5825,1.0897,1,1,1,100.0,18.754988028731056,18.754988028731056,4.261682242990663,3.7383177570093373,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
8,71.5010979027157,71.5231900077374,603839,安正时尚,confirmed_rebound,2025-08-25,7.77,2025-08-08,7.47,4.01606425702811,8.433734939759036,28.03468208092486,True,-0.6394,2.1039,1,1,1,100.0,31.88073394495412,31.88073394495412,3.9839357429718905,4.01606425702811,历史1/1次成功; 当前距低点4.02%; 最新日涨幅-0.64%; 状态confirmed_rebound; 底部已确认
9,71.39959590111904,72.56056494016165,603080,新疆火炬,confirmed_rebound,2025-08-25,22.1,2025-08-15,21.08,4.83870967741937,8.82352941176472,27.310344827586214,False,1.1442,5.6652,2,2,2,100.0,17.595822605794677,22.385321100917427,3.1612903225806304,4.83870967741937,历史2/2次成功; 当前距低点4.84%; 最新日涨幅1.14%; 状态confirmed_rebound; 底部未确认
10,71.02385205152446,71.12179756303536,600620,天宸股份,bottom_area,2025-08-25,6.39,2025-08-04,6.14,4.071661237785016,5.537459283387634,27.078384798099762,False,-0.6221,1.6345,1,1,1,100.0,29.38271604938273,29.38271604938273,3.928338762214984,4.071661237785016,历史1/1次成功; 当前距低点4.07%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
11,68.94114016702845,70.16692410834004,603022,新通联,confirmed_rebound,2025-08-25,10.67,2025-07-24,10.17,4.916420845624385,11.406096361848576,32.33532934131736,True,-0.1871,4.5758,2,2,2,100.0,18.958944281524914,26.099706744868023,3.0835791543756152,4.916420845624385,历史2/2次成功; 当前距低点4.92%; 最新日涨幅-0.19%; 状态confirmed_rebound; 底部已确认
