rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.84584567089757,82.37572481754633,300645,正元智慧,bottom_area,2025-09-22,17.84,2025-09-22,17.65,1.0764872521246531,1.7563739376770668,29.201764941837148,False,0.2247,2.7845,1,1,1,100.0,30.699547055863096,30.699547055863096,13.923512747875346,1.0764872521246531,历史1/1次成功; 当前距低点1.08%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
2,91.93139629106194,81.65301059001516,301009,可靠股份,bottom_area,2025-09-22,13.37,2025-09-22,13.22,1.1346444780635294,2.950075642965195,28.733153638814013,False,-1.3284,2.2815,1,1,1,100.0,53.96648044692738,53.96648044692738,13.86535552193647,1.1346444780635294,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
3,82.711291201175,75.01478657975389,300528,幸福蓝海,bottom_area,2025-09-22,24.04,2025-09-22,23.51,2.25435984687366,9.315185027647798,30.029761904761905,False,-8.9394,13.6205,2,2,2,100.0,21.584553928095872,23.169107856191747,12.74564015312634,2.25435984687366,历史2/2次成功; 当前距低点2.25%; 最新日涨幅-8.94%; 状态bottom_area; 底部未确认
4,80.52082512801661,70.9242420369167,300510,金冠股份,bottom_area,2025-09-22,4.39,2025-09-22,4.36,0.6880733944953982,2.0642201834862353,31.121642969984197,False,-1.3483,2.1643,3,4,3,75.0,30.849727829925854,40.000000000000014,14.311926605504603,0.6880733944953982,历史3/4次成功; 当前距低点0.69%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
5,79.06328159414724,75.05389414044747,300192,科德教育,bottom_area,2025-09-22,19.59,2025-09-09,18.71,4.703367183324421,8.177445216461772,32.649388048956084,True,1.0315,7.9163,1,1,1,100.0,26.599845797995382,26.599845797995382,10.29663281667558,4.703367183324421,历史1/1次成功; 当前距低点4.70%; 最新日涨幅1.03%; 状态bottom_area; 底部已确认
6,75.87761667498539,69.60379151013522,600977,中国电影,confirmed_rebound,2025-09-22,16.88,2025-09-19,16.41,2.8641072516758004,16.33150517976843,29.114470842332608,True,-9.9733,5.6714,1,1,1,100.0,17.655677655677643,17.655677655677643,12.1358927483242,2.8641072516758004,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-9.97%; 状态confirmed_rebound; 底部已确认
7,71.0318740786962,63.79410922902488,300584,海辰药业,bottom_area,2025-09-22,59.42,2025-09-22,58.41,1.7291559664441107,4.742338640643731,28.66389838788471,False,-1.7201,9.2687,2,5,2,40.0,41.271961465147655,54.23197492163009,13.270844033555889,1.7291559664441107,历史2/5次成功; 当前距低点1.73%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
8,69.02766341294749,62.69099298434973,603839,安正时尚,bottom_area,2025-09-22,8.35,2025-09-19,8.16,2.3284313725490136,4.411764705882345,29.533678756476682,False,0.7238,2.9887,1,2,1,50.0,31.88073394495412,31.88073394495412,12.671568627450986,2.3284313725490136,历史1/2次成功; 当前距低点2.33%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
9,66.31666666666666,57.666666666666664,000718,苏宁环球,bottom_area,2025-09-22,2.72,2025-09-22,2.72,0.0,4.41176470588234,27.46666666666666,False,-9.9338,9.736,2,4,2,50.0,27.77777777777778,36.111111111111114,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-9.93%; 状态bottom_area; 底部未确认
10,65.39698680859601,57.20245476003149,601900,南方传媒,bottom_area,2025-09-22,12.75,2025-09-22,12.71,0.3147128245475936,1.2588512981903883,29.310344827586203,False,-1.2393,0.6211,1,2,1,50.0,39.999999999999986,39.999999999999986,14.685287175452405,0.3147128245475936,历史1/2次成功; 当前距低点0.31%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
11,65.26031366876092,60.61116203536632,688682,霍莱沃,bottom_area,2025-09-22,29.04,2025-09-04,28.05,3.529411764705877,8.698752228163984,27.687548337200308,True,1.1494,1.1416,1,2,1,50.0,26.22699386503069,26.22699386503069,11.470588235294123,3.529411764705877,历史1/2次成功; 当前距低点3.53%; 最新日涨幅1.15%; 状态bottom_area; 底部已确认
12,60.920209049989374,53.737928254443545,300902,国安达,bottom_area,2025-09-22,22.36,2025-09-04,22.19,0.7661108607480763,5.8134294727354625,32.798304058146584,False,-1.3674,2.9902,1,2,1,50.0,26.906779661016937,26.906779661016937,14.233889139251923,0.7661108607480763,历史1/2次成功; 当前距低点0.77%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
13,58.90315434888944,51.909643732370284,601669,中国电建,bottom_area,2025-09-22,5.63,2025-09-18,5.59,0.7155635062611813,3.220035778175308,28.69897959183674,False,-1.7452,1.5706,1,2,1,50.0,16.457680250783696,16.457680250783696,14.284436493738816,0.7155635062611813,历史1/2次成功; 当前距低点0.72%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
