rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.71376882131287,85.69571070965473,000607,华媒控股,bottom_area,2025-07-23,4.85,2025-07-23,4.8,1.041666666666663,7.2916666666666785,27.819548872180455,False,-3.3865,9.1231,4,4,4,100.0,30.810272632552305,59.82721382289418,6.9583333333333375,1.041666666666663,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
2,84.12376226127866,78.14703473186997,002636,金安国纪,bottom_area,2025-07-23,11.82,2025-07-23,11.8,0.1694915254237252,2.4576271186440604,28.915662650602414,False,-1.99,3.9763,2,2,2,100.0,42.49180327868853,69.0,7.830508474576275,0.1694915254237252,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
3,83.19542271640776,77.40549192073665,002658,雪迪龙,bottom_area,2025-07-23,8.0,2025-07-17,7.98,0.25062656641603476,2.1303258145363397,30.36649214659686,False,-0.9901,3.7847,3,3,3,100.0,22.83290587185592,34.81481481481481,7.7493734335839655,0.25062656641603476,历史3/3次成功; 当前距低点0.25%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
4,81.0095610290645,77.34478059277474,600241,时代万恒,bottom_area,2025-07-23,8.29,2025-07-15,8.16,1.5931372549019485,4.534313725490186,30.25641025641025,False,-1.1919,2.4189,2,2,2,100.0,15.79104050511391,22.50673854447439,6.406862745098052,1.5931372549019485,历史2/2次成功; 当前距低点1.59%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
5,79.69607462344761,73.93239507054832,603022,新通联,bottom_area,2025-07-23,10.19,2025-07-23,10.18,0.0982318271119822,1.0805500982318215,32.26879574184963,False,-0.8755,2.5264,2,2,2,100.0,18.958944281524914,26.099706744868023,7.901768172888018,0.0982318271119822,历史2/2次成功; 当前距低点0.10%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
6,76.83642496998802,71.14483793517408,603928,兴业股份,bottom_area,2025-07-23,15.37,2025-07-23,15.37,0.0,1.1060507482107997,31.04531179901301,False,-1.1576,2.6845,1,1,1,100.0,31.69267707082834,31.69267707082834,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
7,76.73660035495648,74.8553437541332,000637,茂化实华,bottom_area,2025-07-23,4.17,2025-07-07,4.06,2.709359605911338,5.665024630541883,27.370304114490168,False,-0.9501,2.942,2,2,2,100.0,16.089697073177668,22.627737226277358,5.290640394088662,2.709359605911338,历史2/2次成功; 当前距低点2.71%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
8,76.57107010007506,71.1469964037864,300879,大叶股份,bottom_area,2025-07-23,33.17,2025-07-23,33.11,0.18121413470251366,1.6309272123225587,28.286766298462208,False,-0.8667,3.9488,1,1,1,100.0,21.667551779075957,21.667551779075957,7.818785865297487,0.18121413470251366,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
9,74.55439419503934,74.08862900805497,300640,德艺文创,bottom_area,2025-07-23,6.49,2025-06-23,6.26,3.6741214057508054,7.348242811501597,27.880184331797235,True,-0.916,4.2589,2,2,2,100.0,14.600138780466654,17.724867724867735,4.325878594249195,3.6741214057508054,历史2/2次成功; 当前距低点3.67%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
10,73.95547064600575,73.07381159354186,002811,郑中设计,confirmed_rebound,2025-07-23,10.41,2025-06-23,10.07,3.376365441906652,9.632571996027794,31.728813559322035,True,-1.5137,2.3039,2,2,2,100.0,15.709273124134537,16.78832116788322,4.6236345580933484,3.376365441906652,历史2/2次成功; 当前距低点3.38%; 最新日涨幅-1.51%; 状态confirmed_rebound; 底部已确认
11,72.73817009466215,72.57396234148547,002041,登海种业,bottom_area,2025-07-23,9.9,2025-06-23,9.53,3.882476390346286,5.771248688352578,29.719764011799416,False,-0.8016,1.4271,2,2,2,100.0,18.2043468358871,21.395106715252467,4.1175236096537144,3.882476390346286,历史2/2次成功; 当前距低点3.88%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
12,72.70238087320703,70.73532818705513,688157,松井股份,bottom_area,2025-07-23,29.89,2025-07-17,29.14,2.5737817433081673,6.280027453671923,30.701545778834717,False,-1.5805,0.9671,1,1,1,100.0,8.943820224719094,8.943820224719094,5.426218256691833,2.5737817433081673,历史1/1次成功; 当前距低点2.57%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
13,71.23820366669065,71.71328245798617,301348,蓝箭电子,bottom_area,2025-07-23,20.65,2025-07-15,19.79,4.34562910560889,7.124810510358769,29.92209631728045,True,-1.5729,6.6608,1,1,1,100.0,26.727509778357234,26.727509778357234,3.6543708943911097,4.34562910560889,历史1/1次成功; 当前距低点4.35%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
