rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.44312658774689,78.99598477331634,300515,三德科技,bottom_area,2023-07-28,13.48,2023-07-28,13.22,1.9667170953101345,2.7231467473524917,27.162534435261698,False,0.6721,1.7683,1,1,1,100.0,23.441396508728182,23.441396508728182,18.03328290468987,1.9667170953101345,历史1/1次成功; 当前距低点1.97%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
2,90.88242426416386,77.4073834362359,301386,未来电器,bottom_area,2023-07-28,27.16,2023-07-28,26.84,1.1922503725782425,2.2727272727272707,28.13922356091031,False,-0.8035,11.0888,1,1,1,100.0,27.880184331797242,27.880184331797242,18.807749627421757,1.1922503725782425,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
3,90.78417137513863,77.21825880708062,688143,长盈通,bottom_area,2023-07-28,30.76,2023-07-28,30.42,1.1176857330703478,3.6489151873767236,27.20746590093323,False,-0.2594,1.7011,1,1,1,100.0,25.949367088607595,25.949367088607595,18.882314266929654,1.1176857330703478,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
4,87.3643788910811,75.45408742056838,002045,国光电器,bottom_area,2023-07-28,13.57,2023-07-28,13.31,1.9534184823441005,2.404207362885051,27.937195452084456,False,-0.2939,2.6743,3,4,3,75.0,30.875707313510432,33.77563329312426,18.046581517655902,1.9534184823441005,历史3/4次成功; 当前距低点1.95%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
5,84.3550322051467,76.01998396344085,600995,南网储能,bottom_area,2023-07-28,11.2,2023-06-07,10.74,4.283054003724386,8.379888268156428,32.7909887359199,True,0.9919,0.9809,1,1,1,100.0,26.64165103189493,26.64165103189493,15.716945996275616,4.283054003724386,历史1/1次成功; 当前距低点4.28%; 最新日涨幅0.99%; 状态bottom_area; 底部已确认
6,75.2411098470335,68.44850965250964,002219,新里程,bottom_area,2023-07-28,3.93,2023-07-28,3.75,4.800000000000004,6.400000000000006,27.884615384615387,False,-1.2563,1.1671,1,1,1,100.0,23.938223938223942,23.938223938223942,15.199999999999998,4.800000000000004,历史1/1次成功; 当前距低点4.80%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
7,73.39336014526255,62.35998282227474,000037,深南电A,bottom_area,2023-07-28,10.49,2023-07-28,10.38,1.05973025048169,1.6377649325626198,29.769959404600804,False,-0.7569,4.9876,2,6,2,33.33333333333333,39.8001852690304,45.16765285996055,18.94026974951831,1.05973025048169,历史2/6次成功; 当前距低点1.06%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
8,69.77592626527756,59.965347417478554,688322,奥比中光,bottom_area,2023-07-28,33.85,2023-07-28,33.29,1.6821868428957714,2.1327726043857043,27.6304347826087,False,0.3558,1.4361,1,3,1,33.33333333333333,28.749462827675128,28.749462827675128,18.31781315710423,1.6821868428957714,历史1/3次成功; 当前距低点1.68%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
9,69.76651689064478,59.45120789779327,688320,禾川科技,bottom_area,2023-07-28,35.71,2023-07-28,35.28,1.2188208616780039,5.2721088435374135,30.510143785700215,False,-3.8244,5.1232,1,2,1,50.0,33.54902936784469,33.54902936784469,18.781179138321995,1.2188208616780039,历史1/2次成功; 当前距低点1.22%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
10,67.4056170083483,58.15459707582457,002829,星网宇达,bottom_area,2023-07-28,31.18,2023-07-28,30.6,1.8954248366013016,2.7450980392156854,31.6506589233862,False,0.225,1.947,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,18.1045751633987,1.8954248366013016,历史1/3次成功; 当前距低点1.90%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
11,67.35460657225248,58.40611258780135,688027,国盾量子,bottom_area,2023-07-28,139.65,2023-07-28,136.68,2.1729587357330984,2.6338893766461764,27.096223597183695,False,0.1291,0.9297,1,3,1,33.33333333333333,26.382393397524062,26.382393397524062,17.827041264266903,2.1729587357330984,历史1/3次成功; 当前距低点2.17%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
12,65.5515114299988,57.056056754174044,002403,爱仕达,bottom_area,2023-07-28,8.61,2023-07-28,8.41,2.378121284185485,2.378121284185485,32.61217948717949,False,1.4134,1.859,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,17.621878715814514,2.378121284185485,历史1/3次成功; 当前距低点2.38%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
13,65.04648798795134,54.65386655912533,603033,三维股份,bottom_area,2023-07-28,15.64,2023-07-28,15.57,0.4495825305073878,1.220295439948616,27.816411682892905,False,0.0,0.1456,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,19.550417469492615,0.4495825305073878,历史1/3次成功; 当前距低点0.45%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,62.69538654304892,55.618436641416935,300342,天银机电,bottom_area,2023-07-28,11.49,2023-07-28,11.11,3.4203420342034274,3.600360036003604,28.368794326241137,False,1.0554,5.7466,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,16.579657965796574,3.4203420342034274,历史1/3次成功; 当前距低点3.42%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
