rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.88976951296023,79.74262585284899,601669,中国电建,bottom_area,2023-07-24,5.67,2023-06-07,5.61,1.069518716577533,5.882352941176471,29.78723404255319,False,0.0,0.4526,1,1,1,100.0,16.457680250783696,16.457680250783696,13.930481283422466,1.069518716577533,历史1/1次成功; 当前距低点1.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,83.66599504477148,77.71830798578722,600995,南网储能,bottom_area,2023-07-24,11.12,2023-06-07,10.74,3.5381750465549255,8.379888268156428,32.7909887359199,True,0.0,0.4841,1,1,1,100.0,26.64165103189493,26.64165103189493,11.461824953445074,3.5381750465549255,历史1/1次成功; 当前距低点3.54%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,82.1021267198333,76.42136275855368,002590,万安科技,bottom_area,2023-07-24,11.65,2023-07-24,11.24,3.6476868327402148,3.825622775800709,28.589580686149933,False,2.193,7.7557,1,1,1,100.0,30.204778156996575,30.204778156996575,11.352313167259783,3.6476868327402148,历史1/1次成功; 当前距低点3.65%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
4,80.2184160849515,75.37851392143492,002755,奥赛康,bottom_area,2023-07-24,8.27,2023-07-17,7.94,4.15617128463475,4.282115869017619,28.853046594982075,False,2.0988,0.4474,1,1,1,100.0,30.831099195710454,30.831099195710454,10.84382871536525,4.15617128463475,历史1/1次成功; 当前距低点4.16%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
5,78.57043638373696,70.49249904980464,000037,深南电A,bottom_area,2023-07-24,10.93,2023-07-24,10.75,1.6744186046511602,2.604651162790692,27.266576454668467,False,0.2752,4.3609,3,6,3,50.0,32.47405090542621,45.16765285996055,13.32558139534884,1.6744186046511602,历史3/6次成功; 当前距低点1.67%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
6,74.8827473625241,68.37457273401711,300722,新余国科,bottom_area,2023-07-24,24.71,2023-07-24,24.08,2.6162790697674527,3.7375415282392117,29.176470588235297,False,0.488,0.6105,2,4,2,50.0,32.63273662949948,45.90377113133938,12.383720930232547,2.6162790697674527,历史2/4次成功; 当前距低点2.62%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
7,73.4053557482155,69.6234534967556,600935,华塑股份,bottom_area,2023-07-24,3.82,2023-06-27,3.65,4.657534246575341,6.575342465753431,28.571428571428577,False,-0.2611,0.188,1,1,1,100.0,28.50877192982458,28.50877192982458,10.34246575342466,4.657534246575341,历史1/1次成功; 当前距低点4.66%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
8,71.71024606167292,62.838364678355454,002829,星网宇达,bottom_area,2023-07-24,31.71,2023-07-24,31.58,0.41165294490184473,1.6149461684610678,29.46169309805674,False,-0.4083,2.1972,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,14.588347055098156,0.41165294490184473,历史2/3次成功; 当前距低点0.41%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
9,68.42920890005894,65.06651075595796,301338,凯格精机,bottom_area,2023-07-24,47.89,2023-07-24,45.7,4.792122538293212,7.8774617067833566,27.25246736708054,False,-4.3157,48.3064,1,1,1,100.0,15.873925501432662,15.873925501432662,10.207877461706788,4.792122538293212,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
10,65.13338771537131,58.53181003423482,688318,财富趋势,bottom_area,2023-07-24,89.55,2023-07-19,88.0,1.7613636363636331,5.113636363636364,28.837134077308747,False,0.3924,0.6727,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,13.238636363636367,1.7613636363636331,历史1/3次成功; 当前距低点1.76%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
11,62.38238644801722,55.69353011329754,603033,三维股份,bottom_area,2023-07-24,15.82,2023-07-17,15.6,1.4102564102564144,5.25641025641027,27.677329624478446,False,-0.2522,0.1307,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,13.589743589743586,1.4102564102564144,历史1/3次成功; 当前距低点1.41%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
12,61.72000112285115,56.960832556694626,000792,盐湖股份,bottom_area,2023-07-24,19.09,2023-05-30,18.5,3.1891891891891886,10.486486486486493,29.49695121951219,True,-2.602,0.5669,1,2,1,50.0,24.904214559386965,24.904214559386965,11.81081081081081,3.1891891891891886,历史1/2次成功; 当前距低点3.19%; 最新日涨幅-2.60%; 状态bottom_area; 底部已确认
13,57.065392841164446,50.389114855172004,605333,沪光股份,bottom_area,2023-07-24,13.51,2023-07-24,13.4,0.8208955223880555,3.134328358208954,27.879440258342296,False,-2.3138,4.2608,1,3,1,33.33333333333333,29.01840490797546,29.01840490797546,14.179104477611945,0.8208955223880555,历史1/3次成功; 当前距低点0.82%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
14,56.35608701662181,49.546996811528686,002403,爱仕达,bottom_area,2023-07-24,8.55,2023-07-24,8.5,0.5882352941176554,1.9999999999999991,31.891025641025646,False,-0.5814,1.6012,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,14.411764705882343,0.5882352941176554,历史1/3次成功; 当前距低点0.59%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
