rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.76218834825737,87.87685752330226,300586,美联新材,bottom_area,2023-04-14,15.26,2023-04-13,15.02,1.59786950732357,2.596537949400803,27.087378640776706,False,1.5303,1.3864,2,2,2,100.0,69.69134206257787,124.33414043583537,8.40213049267643,1.59786950732357,历史2/2次成功; 当前距低点1.60%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
2,92.06367341135656,86.06401829016703,000983,山西焦煤,bottom_area,2023-04-14,10.4,2023-04-11,10.25,1.4634146341463448,3.8048780487804934,27.715091678420308,False,0.1927,0.9982,3,3,3,100.0,21.938729333444627,27.212389380530986,8.536585365853655,1.4634146341463448,历史3/3次成功; 当前距低点1.46%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
3,89.63627749080334,85.76931124874969,002006,精工科技,bottom_area,2023-04-14,22.18,2023-04-11,21.6,2.685185185185177,4.62962962962963,29.938371715861166,False,0.9558,0.8127,3,3,3,100.0,35.330825112752166,61.48648648648647,7.314814814814824,2.685185185185177,历史3/3次成功; 当前距低点2.69%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
4,88.09862068873227,82.67170507923638,002347,泰尔股份,bottom_area,2023-04-14,4.89,2023-04-11,4.81,1.6632016632016646,4.365904365904365,32.06214689265538,False,0.0,1.9008,2,2,2,100.0,22.816155222237516,29.585798816568047,8.336798336798337,1.6632016632016646,历史2/2次成功; 当前距低点1.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,85.48395678795993,79.39580241407383,001299,美能能源,bottom_area,2023-04-14,16.21,2023-04-14,16.03,1.1228945726762303,2.121023081721771,29.07079646017699,False,0.0617,2.8871,1,1,1,100.0,15.247322794492616,15.247322794492616,8.87710542732377,1.1228945726762303,历史1/1次成功; 当前距低点1.12%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
6,85.33230670826907,79.15520481831396,002729,好利科技,bottom_area,2023-04-14,20.08,2023-04-14,19.87,1.0568696527428147,1.4594866633115207,32.962213225371116,False,0.6012,1.6765,1,1,1,100.0,13.144449605202036,13.144449605202036,8.943130347257187,1.0568696527428147,历史1/1次成功; 当前距低点1.06%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
7,85.08768289654903,80.5860682513063,000887,中鼎股份,bottom_area,2023-04-14,12.37,2023-04-06,12.11,2.146985962014862,6.853839801816681,28.512396694214885,False,1.1447,1.2622,2,2,2,100.0,17.53331314354936,23.84615384615385,7.8530140379851385,2.146985962014862,历史2/2次成功; 当前距低点2.15%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
8,84.72853307323372,82.0723045215542,002125,湘潭电化,bottom_area,2023-04-14,12.73,2023-04-10,12.32,3.327922077922079,7.629870129870126,29.236071223434806,False,1.7586,1.4234,3,3,3,100.0,23.333155157078114,32.067510548523195,6.6720779220779205,3.327922077922079,历史3/3次成功; 当前距低点3.33%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
9,80.47796799104297,77.15810871402982,300530,领湃科技,bottom_area,2023-04-14,23.59,2023-04-06,22.95,2.7886710239651444,6.753812636165581,28.393135725429016,False,0.0,0.2478,3,4,3,75.0,27.802573379948058,34.07510431154381,7.211328976034856,2.7886710239651444,历史3/4次成功; 当前距低点2.79%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,79.82578229927293,75.87156398104268,001227,兰州银行,bottom_area,2023-04-14,3.07,2023-04-11,3.0,2.3333333333333277,3.6666666666666625,28.571428571428577,False,0.0,0.7279,1,1,1,100.0,11.137440758293856,11.137440758293856,7.666666666666673,2.3333333333333277,历史1/1次成功; 当前距低点2.33%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,77.99551183556838,71.56503080657205,002329,皇氏集团,bottom_area,2023-04-14,6.21,2023-04-14,6.18,0.48543689320388755,1.9417475728155358,30.32694475760992,False,-0.7987,2.8632,1,1,1,100.0,27.644230769230756,27.644230769230756,9.514563106796112,0.48543689320388755,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
