rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.40693375326235,86.65902292063936,000301,东方盛虹,bottom_area,2022-10-27,13.47,2022-10-26,13.18,2.2003034901365774,6.980273141122913,30.00531067445565,False,1.0503,1.1152,4,4,4,100.0,17.503843430918035,28.337639965546952,7.7996965098634226,2.2003034901365774,历史4/4次成功; 当前距低点2.20%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
2,83.54574621536287,79.09656446424884,002796,世嘉科技,bottom_area,2022-10-27,9.6,2022-10-26,9.4,2.1276595744680775,5.957446808510643,27.075252133436774,False,-1.4374,13.1432,2,2,2,100.0,31.7614424410541,36.33841886269071,7.872340425531924,2.1276595744680775,历史2/2次成功; 当前距低点2.13%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
3,80.88821629475385,76.07375817263926,603030,全筑股份,bottom_area,2022-10-27,2.86,2022-10-25,2.81,1.7793594306049758,4.62633451957295,27.577319587628864,False,-2.0548,3.3846,1,1,1,100.0,27.906976744186036,27.906976744186036,8.220640569395025,1.7793594306049758,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
4,79.6662678557788,76.7156653426018,603363,傲农生物,bottom_area,2022-10-27,13.65,2022-10-27,13.25,3.0188679245283048,4.7547169811320815,28.60991379310344,False,0.3676,5.3615,1,1,1,100.0,24.078947368421055,24.078947368421055,6.981132075471697,3.0188679245283048,历史1/1次成功; 当前距低点3.02%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
5,79.02462035976662,74.29543045937197,002677,浙江美大,bottom_area,2022-10-27,10.4,2022-10-26,10.22,1.76125244618395,3.7181996086105578,31.82121414276184,False,-0.2876,0.6586,1,1,1,100.0,18.124118476727787,18.124118476727787,8.23874755381605,1.76125244618395,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
6,76.62531482332432,75.11297308339027,002551,尚荣医疗,bottom_area,2022-10-27,4.47,2022-10-25,4.3,3.953488372093022,9.534883720930235,28.925619834710748,True,-3.0369,6.0263,2,2,2,100.0,33.746917052485834,52.61780104712043,6.046511627906979,3.953488372093022,历史2/2次成功; 当前距低点3.95%; 最新日涨幅-3.04%; 状态bottom_area; 底部已确认
7,76.55118304758615,74.09936579695172,000401,金隅冀东,bottom_area,2022-10-27,8.16,2022-10-25,7.9,3.2911392405063267,3.670886075949356,27.12177121771217,False,0.6165,0.431,1,1,1,100.0,13.350340136054426,13.350340136054426,6.708860759493673,3.2911392405063267,历史1/1次成功; 当前距低点3.29%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
8,75.85392900678819,74.37772978959023,000509,华塑控股,bottom_area,2022-10-27,3.93,2022-10-25,3.78,3.9682539682539777,7.142857142857144,27.16763005780348,True,1.5504,3.6232,1,1,1,100.0,13.953488372093018,13.953488372093018,6.031746031746023,3.9682539682539777,历史1/1次成功; 当前距低点3.97%; 最新日涨幅1.55%; 状态bottom_area; 底部已确认
9,75.44291022957684,74.52734093067423,600126,杭钢股份,bottom_area,2022-10-27,4.07,2022-10-11,3.9,4.358974358974368,7.179487179487174,31.698774080560423,True,0.2463,0.1781,1,1,1,100.0,19.54732510288064,19.54732510288064,5.641025641025632,4.358974358974368,历史1/1次成功; 当前距低点4.36%; 最新日涨幅0.25%; 状态bottom_area; 底部已确认
10,74.0779093516169,67.90638811616779,603366,日出东方,bottom_area,2022-10-27,6.91,2022-10-27,6.88,0.43604651162791064,5.813953488372099,30.010172939979658,False,-4.426,5.56,1,1,1,100.0,17.583732057416277,17.583732057416277,9.56395348837209,0.43604651162791064,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-4.43%; 状态bottom_area; 底部未确认
11,72.61041351619394,66.76437085611619,000596,古井贡酒,bottom_area,2022-10-27,202.61,2022-10-27,201.41,0.5957996127302602,5.575691375800601,27.74010691350053,False,-4.4473,0.9508,1,1,1,100.0,13.402118135167584,13.402118135167584,9.40420038726974,0.5957996127302602,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-4.45%; 状态bottom_area; 底部未确认
12,72.55418196994992,65.95834724540902,600230,沧州大化,bottom_area,2022-10-27,18.11,2022-10-27,18.11,0.0,4.859193815571502,32.626488095238095,False,-3.1551,5.2999,1,1,1,100.0,14.02337228714524,14.02337228714524,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
13,72.14048579256169,71.91252102849442,000813,德展健康,bottom_area,2022-10-27,3.47,2022-10-26,3.31,4.8338368580060465,7.552870090634441,31.469979296066253,False,2.6627,4.6908,1,1,1,100.0,20.50359712230217,20.50359712230217,5.166163141993954,4.8338368580060465,历史1/1次成功; 当前距低点4.83%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
14,58.03665024334555,57.06061343459589,600346,恒力石化,bottom_area,2022-10-27,15.96,2022-10-25,15.33,4.109589041095896,4.631441617742982,28.994905048633623,False,1.1407,0.3114,1,2,1,50.0,23.443421765024375,23.443421765024375,5.890410958904104,4.109589041095896,历史1/2次成功; 当前距低点4.11%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
