rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.64182203265709,85.57846532009685,688188,柏楚电子,bottom_area,2025-06-17,139.37,2025-06-11,136.66,1.9830235621249876,2.8757500365871556,31.8675840063815,False,0.259,0.2884,3,3,3,100.0,25.69762925667648,34.07281509974057,8.016976437875014,1.9830235621249876,历史3/3次成功; 当前距低点1.98%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
2,90.36844518267004,84.5442834349304,000715,中兴商业,bottom_area,2025-06-17,5.4,2025-06-16,5.32,1.5037593984962419,2.631578947368415,29.999999999999993,False,-0.1848,1.5438,4,4,4,100.0,20.069112169364704,29.105691056910565,8.496240601503759,1.5037593984962419,历史4/4次成功; 当前距低点1.50%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
3,90.21881978679555,84.08078172461828,300553,集智股份,bottom_area,2025-06-17,35.78,2025-06-17,35.32,1.3023782559456423,4.699886749716865,28.371527073615905,False,-2.0531,2.8758,4,4,4,100.0,15.10862445255024,17.361392148927557,8.697621744054358,1.3023782559456423,历史4/4次成功; 当前距低点1.30%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
4,90.11075921939023,84.58806722689076,301260,格力博,bottom_area,2025-06-17,19.36,2025-06-16,19.04,1.6806722689075646,3.046218487394968,27.272727272727277,False,0.207,3.0745,1,1,1,100.0,58.71313672922254,58.71313672922254,8.319327731092436,1.6806722689075646,历史1/1次成功; 当前距低点1.68%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
5,88.55999399967301,82.44113365475887,002136,安纳达,bottom_area,2025-06-17,10.59,2025-06-13,10.46,1.2428298279158603,2.963671128107062,30.0334448160535,False,-0.0943,3.3719,3,3,3,100.0,22.230030443048534,42.29299363057326,8.757170172084141,1.2428298279158603,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
6,88.54682723505265,82.56912326557334,002041,登海种业,bottom_area,2025-06-17,9.89,2025-06-03,9.76,1.3319672131147622,6.249999999999995,28.023598820059004,False,0.3043,0.6697,2,2,2,100.0,18.2043468358871,21.395106715252467,8.668032786885238,1.3319672131147622,历史2/2次成功; 当前距低点1.33%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
7,88.43386474014358,81.09495480320219,000811,冰轮环境,bottom_area,2025-06-17,8.84,2025-06-17,8.8,0.4545454545454448,2.045454545454542,31.7300232738557,False,-1.2291,1.7302,5,5,5,100.0,28.501712040676264,47.451868629671566,9.545454545454556,0.4545454545454448,历史5/5次成功; 当前距低点0.45%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
8,87.13247297582,83.185661039503,603198,迎驾贡酒,bottom_area,2025-06-17,38.76,2025-06-16,37.79,2.5668166181529473,3.2283672929346356,29.78446674098848,False,0.3625,0.7157,2,2,2,100.0,36.655929725224325,39.66017405719024,7.433183381847053,2.5668166181529473,历史2/2次成功; 当前距低点2.57%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
9,86.77259096112475,80.72993142344195,001311,多利科技,bottom_area,2025-06-17,20.04,2025-06-10,19.8,1.2121212121212042,5.707070707070702,31.794695142955565,False,-0.2985,1.6955,2,2,2,100.0,29.32025691977575,46.9244288224956,8.787878787878796,1.2121212121212042,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
10,84.84580946587992,78.85154821495513,002909,集泰股份,bottom_area,2025-06-17,6.13,2025-06-16,6.06,1.15511551155116,2.640264026402643,27.598566308243726,False,-0.487,3.6163,1,1,1,100.0,35.18930957683742,35.18930957683742,8.84488448844884,1.15511551155116,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
11,83.94226308809955,79.43882468168462,001230,劲旅环境,bottom_area,2025-06-17,20.85,2025-06-13,20.42,2.105778648383936,5.484818805093033,27.356812522234076,False,-1.2316,6.9859,1,1,1,100.0,84.69119579500656,84.69119579500656,7.894221351616065,2.105778648383936,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
