rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.14348950580657,86.91847592539122,002800,天顺股份,bottom_area,2023-05-12,15.24,2023-05-11,15.01,1.5323117921385772,6.862091938707524,29.662605435801314,False,0.0657,3.5852,4,4,4,100.0,10.7104667283181,11.768447837150124,6.467688207861423,1.5323117921385772,历史4/4次成功; 当前距低点1.53%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
12,82.82862078290516,77.33070016794952,688008,澜起科技,bottom_area,2023-05-12,53.73,2023-05-12,53.5,0.42990654205606893,5.570093457943919,31.864493122771265,False,-3.6924,1.3474,3,3,3,100.0,34.8434789453621,62.20095693779905,7.570093457943932,0.42990654205606893,历史3/3次成功; 当前距低点0.43%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
13,82.67951501174807,79.00940090518466,300552,万集科技,bottom_area,2023-05-12,17.36,2023-05-04,17.08,1.6393442622950887,7.728337236533961,31.129032258064527,True,-0.2872,1.5618,2,2,2,100.0,16.113472167835834,23.929299796057098,6.360655737704912,1.6393442622950887,历史2/2次成功; 当前距低点1.64%; 最新日涨幅-0.29%; 状态bottom_area; 底部已确认
14,82.49990920699042,78.20984909104634,300762,上海瀚讯,bottom_area,2023-05-12,11.58,2023-05-10,11.44,1.2237762237762289,3.2342657342657435,27.50316856780735,False,-0.2584,1.0229,1,1,1,100.0,32.580961727183514,32.580961727183514,6.776223776223772,1.2237762237762289,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
15,82.1569894915229,76.07128656622491,000620,盈新发展,bottom_area,2023-05-12,1.25,2023-05-12,1.25,0.0,5.600000000000005,30.16759776536313,False,-5.303,7.5379,3,3,3,100.0,35.0606804635748,58.4192439862543,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.30%; 状态bottom_area; 底部未确认
16,81.79837482460798,77.75298716471555,300661,圣邦股份,bottom_area,2023-05-12,121.21,2023-04-25,119.58,1.363104198026422,6.790433182806494,30.20079383609619,False,-1.7668,0.5288,1,1,1,100.0,31.832606108687024,31.832606108687024,6.636895801973577,1.363104198026422,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
17,81.57733660288358,79.07631816780871,002309,中利集团,confirmed_rebound,2023-05-12,3.87,2023-05-10,3.78,2.3809523809523894,8.730158730158744,31.021897810218984,True,-1.7766,1.1231,3,3,3,100.0,19.11230965795784,30.136986301369873,5.619047619047611,2.3809523809523894,历史3/3次成功; 当前距低点2.38%; 最新日涨幅-1.78%; 状态confirmed_rebound; 底部已确认
18,81.31544929676879,77.91972583620273,688286,敏芯股份,bottom_area,2023-05-12,46.26,2023-05-10,45.45,1.7821782178217713,7.172717271727167,29.183546276098475,True,-1.3646,1.6046,2,2,2,100.0,12.005871896969783,16.00279524807827,6.217821782178229,1.7821782178217713,历史2/2次成功; 当前距低点1.78%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
19,81.14843285106417,75.4529323072951,688010,福光股份,bottom_area,2023-05-12,23.03,2023-05-10,22.98,0.21758050478677418,3.829416884247167,30.907997594708352,False,-0.4323,0.6645,2,2,2,100.0,28.59685945273632,42.08955223880597,7.782419495213226,0.21758050478677418,历史2/2次成功; 当前距低点0.22%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
20,80.37464705052032,74.47462928147952,688206,概伦电子,bottom_area,2023-05-12,26.73,2023-05-12,26.72,0.037425149700604655,4.528443113772458,27.588075880758804,False,-3.1522,1.5779,2,2,2,100.0,31.34386356342422,39.570720968629594,7.9625748502993945,0.037425149700604655,历史2/2次成功; 当前距低点0.04%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
21,80.22726900951801,77.17284888521883,002079,苏州固锝,bottom_area,2023-05-12,12.35,2023-05-10,12.11,1.98183319570603,4.624277456647404,28.512396694214885,False,-1.3578,1.6694,2,2,2,100.0,19.631336405529957,22.488479262672804,6.01816680429397,1.98183319570603,历史2/2次成功; 当前距低点1.98%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
22,80.0984320527326,76.68680445922934,002758,浙农股份,bottom_area,2023-05-12,12.3,2023-04-25,12.09,1.7369727047146473,5.789909015715462,28.249258160237396,False,-1.2841,1.0965,2,2,2,100.0,14.016678634294234,19.064430714916153,6.263027295285354,1.7369727047146473,历史2/2次成功; 当前距低点1.74%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
23,79.80134454262495,73.89013383576383,605305,中际联合,bottom_area,2023-05-12,31.52,2023-05-12,31.52,0.0,3.648477157360413,32.64957264957265,False,-2.836,1.6858,3,3,3,100.0,13.118999117009956,15.395207931699245,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
24,79.44306141029116,74.07519500827766,300454,深信服,bottom_area,2023-05-12,113.18,2023-05-12,112.77,0.3635718719517698,2.7578256628535955,32.67462686567165,False,-1.4111,0.7276,2,2,2,100.0,22.979241270579003,29.49391262831224,7.636428128048231,0.3635718719517698,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
25,79.17849793829406,74.12259403044197,688181,八亿时空,bottom_area,2023-05-12,33.52,2023-05-10,33.33,0.5700570057005846,2.9402940294029527,28.751603249251822,False,-1.0626,0.5947,2,2,2,100.0,25.76518281418983,28.477257745550418,7.429942994299416,0.5700570057005846,历史2/2次成功; 当前距低点0.57%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
26,79.15755360677036,76.71880997832045,688229,博睿数据,confirmed_rebound,2023-05-12,54.36,2023-05-09,53.1,2.3728813559321997,8.079096045197739,31.92307692307692,False,0.4806,1.4484,2,2,2,100.0,9.725696074440098,11.21206614573869,5.627118644067801,2.3728813559321997,历史2/2次成功; 当前距低点2.37%; 最新日涨幅0.48%; 状态confirmed_rebound; 底部未确认
27,79.11823613922492,75.23038449857253,002383,合众思壮,bottom_area,2023-05-12,6.61,2023-04-28,6.52,1.3803680981595208,5.828220858895718,28.50877192982456,False,-2.2189,0.9532,1,1,1,100.0,18.48184818481848,18.48184818481848,6.61963190184048,1.3803680981595208,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
28,78.90658339963127,75.83479426485243,002068,黑猫股份,bottom_area,2023-05-12,9.48,2023-05-10,9.3,1.9354838709677389,7.95698924731181,28.953399541634827,True,-3.9514,1.7251,2,2,2,100.0,12.89084672397248,15.184678522571824,6.064516129032262,1.9354838709677389,历史2/2次成功; 当前距低点1.94%; 最新日涨幅-3.95%; 状态bottom_area; 底部已确认
29,78.46764489417698,74.7414066496164,000629,钒钛股份,confirmed_rebound,2023-05-12,4.14,2023-04-25,4.08,1.470588235294108,9.803921568627459,31.08108108108108,False,-2.5882,0.8102,1,1,1,100.0,27.173913043478265,27.173913043478265,6.529411764705892,1.470588235294108,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-2.59%; 状态confirmed_rebound; 底部未确认
30,77.78950306027699,73.01062573916782,600203,福日电子,bottom_area,2023-05-12,5.72,2023-05-09,5.68,0.7042253521126767,3.3450704225352186,28.19216182048041,False,-1.5491,1.1004,2,2,2,100.0,21.43150291389641,24.045801526717554,7.295774647887324,0.7042253521126767,历史2/2次成功; 当前距低点0.70%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
31,77.64385432149977,72.7286970073326,000059,华锦股份,bottom_area,2023-05-12,6.7,2023-05-12,6.66,0.6006006006006012,3.003003003003006,30.334728033472807,False,-2.1898,0.9564,2,2,2,100.0,18.645518154311638,25.41603630862328,7.3993993993994,0.6006006006006012,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
32,77.30512357410268,75.91436208885428,001309,德明利,bottom_area,2023-05-12,64.41,2023-05-10,62.5,3.0559999999999943,5.327999999999998,27.325581395348834,False,0.1711,6.6185,1,1,1,100.0,20.226032735775533,20.226032735775533,4.944000000000006,3.0559999999999943,历史1/1次成功; 当前距低点3.06%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
33,77.19708777244266,76.4819320442368,002553,南方精工,bottom_area,2023-05-12,10.01,2023-04-26,9.67,3.5160289555325734,7.445708376421931,28.844738778513612,True,-2.1505,1.6839,2,2,2,100.0,25.52945195081221,32.14285714285715,4.483971044467427,3.5160289555325734,历史2/2次成功; 当前距低点3.52%; 最新日涨幅-2.15%; 状态bottom_area; 底部已确认
34,76.87083887097002,72.70082905355835,000603,盛达资源,bottom_area,2023-05-12,13.78,2023-05-12,13.63,1.1005135730007232,6.309611151870868,29.706034038164,False,-5.487,4.4393,1,1,1,100.0,11.666666666666679,11.666666666666679,6.899486426999276,1.1005135730007232,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-5.49%; 状态bottom_area; 底部未确认
35,76.82805924925758,74.09317010780197,300353,东土科技,bottom_area,2023-05-12,10.62,2023-05-10,10.4,2.1153846153846043,4.038461538461537,32.90322580645161,False,-1.0252,2.4044,1,1,1,100.0,21.377672209026137,21.377672209026137,5.884615384615396,2.1153846153846043,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
36,76.68044550401723,71.28129741158381,688328,深科达,bottom_area,2023-05-12,19.55,2023-05-10,19.51,0.20502306509481877,2.614044079958985,29.285973178687925,False,-1.1628,1.7926,1,1,1,100.0,22.681451612903224,22.681451612903224,7.794976934905182,0.20502306509481877,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
37,76.1385406749404,75.95554033136312,605286,同力天启,confirmed_rebound,2023-05-12,29.22,2023-05-10,28.13,3.874866690366157,8.922858158549598,30.146511050409742,True,-2.7621,2.9175,3,3,3,100.0,20.64643217955895,30.46080191502094,4.125133309633843,3.874866690366157,历史3/3次成功; 当前距低点3.87%; 最新日涨幅-2.76%; 状态confirmed_rebound; 底部已确认
38,75.95217218413852,72.80034546292032,000158,常山北明,confirmed_rebound,2023-05-12,6.8,2023-04-27,6.68,1.7964071856287442,8.38323353293414,30.705394190871377,True,-1.1628,1.9575,1,1,1,100.0,11.538461538461533,11.538461538461533,6.203592814371256,1.7964071856287442,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-1.16%; 状态confirmed_rebound; 底部已确认
39,75.80287294218456,70.18784531683755,300499,高澜股份,bottom_area,2023-05-12,16.58,2023-05-12,16.58,0.0,3.1966224366706952,32.95592397897292,False,-1.9515,11.6412,2,2,2,100.0,9.880888800201893,10.396039603960403,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
40,75.71028329021873,75.4635033391197,300758,七彩化学,bottom_area,2023-05-12,10.03,2023-04-26,9.66,3.8302277432712133,7.349896480331253,30.252707581227433,True,-1.8591,0.8489,2,2,2,100.0,23.905497816011056,38.59480269489894,4.169772256728787,3.8302277432712133,历史2/2次成功; 当前距低点3.83%; 最新日涨幅-1.86%; 状态bottom_area; 底部已确认
41,75.3102830063738,70.02301596905589,600160,巨化股份,bottom_area,2023-05-12,13.89,2023-05-12,13.86,0.21645021645022464,3.03030303030303,27.24409448818898,False,-1.9068,0.6392,1,1,1,100.0,16.05657237936772,16.05657237936772,7.783549783549776,0.21645021645022464,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
42,75.23146690518784,69.6587656529517,600199,金种子酒,bottom_area,2023-05-12,22.87,2023-05-12,22.87,0.0,2.885876694359423,27.350698856416773,False,-2.1395,1.319,1,1,1,100.0,23.70304114490161,23.70304114490161,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
43,75.22985596354808,75.80698244456129,300409,道氏技术,confirmed_rebound,2023-05-12,12.82,2023-04-26,12.28,4.397394136807825,8.55048859934854,28.811594202898554,True,-1.4604,0.8171,2,2,2,100.0,42.9195756800168,50.03460207612457,3.602605863192175,4.397394136807825,历史2/2次成功; 当前距低点4.40%; 最新日涨幅-1.46%; 状态confirmed_rebound; 底部已确认
44,75.18585870200768,70.11257034648717,001201,东瑞股份,bottom_area,2023-05-12,24.5,2023-05-12,24.41,0.3687013519049564,1.9254403932814375,28.163625662154203,False,-1.1299,0.8778,1,1,1,100.0,18.4043517679057,18.4043517679057,7.6312986480950435,0.3687013519049564,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
45,74.7680074896858,70.20947899820796,002385,大北农,bottom_area,2023-05-12,6.9,2023-04-25,6.85,0.7299270072992805,4.963503649635047,30.73811931243681,False,-0.8621,0.8317,1,1,1,100.0,23.353293413173663,23.353293413173663,7.27007299270072,0.7299270072992805,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
46,74.68431658611213,71.91674215738098,002748,世龙实业,bottom_area,2023-05-12,10.02,2023-04-26,9.82,2.0366598778004,3.9714867617108,29.857142857142854,False,-1.378,0.4418,1,1,1,100.0,8.711433756805816,8.711433756805816,5.9633401221996,2.0366598778004,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
47,74.59046635646455,75.07810234795224,300432,富临精工,bottom_area,2023-05-12,10.1,2023-04-26,9.68,4.338842975206611,7.334710743801661,32.54355400696864,True,-1.0774,1.3637,3,3,3,100.0,11.40142113668444,13.323239969719907,3.6611570247933893,4.338842975206611,历史3/3次成功; 当前距低点4.34%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
48,74.47846905452717,73.70493214292813,002403,爱仕达,bottom_area,2023-05-12,8.08,2023-04-25,7.81,3.457106274007689,7.298335467349568,28.545288197621225,True,-0.3699,0.7581,2,2,2,100.0,9.877066922933613,11.190233977619528,4.542893725992311,3.457106274007689,历史2/2次成功; 当前距低点3.46%; 最新日涨幅-0.37%; 状态bottom_area; 底部已确认
49,74.35450062052247,68.97434990254767,688157,松井股份,bottom_area,2023-05-12,72.88,2023-05-12,72.81,0.09614064002196562,1.9502815547314953,31.259441087613293,False,-1.0589,0.7785,1,1,1,100.0,8.943820224719094,8.943820224719094,7.903859359978034,0.09614064002196562,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
50,74.33151202687492,69.57582117006258,301367,瑞迈特,bottom_area,2023-05-12,208.94,2023-05-12,207.77,0.5631226837368183,2.902247677720557,30.488457678153218,False,-0.9763,2.2609,1,1,1,100.0,17.901832736465128,17.901832736465128,7.436877316263183,0.5631226837368183,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
51,73.92220645820815,69.19093785828937,600114,东睦股份,bottom_area,2023-05-12,7.16,2023-05-10,7.12,0.5617977528089892,3.089887640449435,27.04918032786885,False,-1.2414,1.074,1,1,1,100.0,15.816326530612232,15.816326530612232,7.438202247191011,0.5617977528089892,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
52,73.38942797349146,67.95317404952912,300598,诚迈科技,bottom_area,2023-05-12,41.68,2023-05-12,41.68,0.0,2.087332053742796,29.211956521739136,False,-1.4657,1.1299,1,1,1,100.0,14.533193814672712,14.533193814672712,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
53,72.92027640207553,68.53864472184458,688289,圣湘生物,confirmed_rebound,2023-05-12,18.12,2023-04-26,17.98,0.7786429365962212,12.45828698553948,27.058823529411757,False,-0.5488,0.6818,1,1,1,100.0,25.182530200451346,25.182530200451346,7.2213570634037785,0.7786429365962212,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-0.55%; 状态confirmed_rebound; 底部未确认
54,72.62832517833571,68.41816353079493,688321,微芯生物,bottom_area,2023-05-12,22.53,2023-05-12,22.33,0.895656068069874,3.35871025526198,30.866873065015476,False,-1.4436,0.7987,1,1,1,100.0,15.754082612872244,15.754082612872244,7.104343931930127,0.895656068069874,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
55,72.62507240968046,72.25082353954753,000518,四环生物,confirmed_rebound,2023-05-12,2.78,2023-04-25,2.68,3.731343283582076,9.328358208955223,27.956989247311824,True,-1.0676,0.2826,2,2,2,100.0,15.635947452229296,17.834394904458602,4.268656716417924,3.731343283582076,历史2/2次成功; 当前距低点3.73%; 最新日涨幅-1.07%; 状态confirmed_rebound; 底部已确认
56,72.5171662995707,69.94718314084301,601528,瑞丰银行,confirmed_rebound,2023-05-12,5.77,2023-05-10,5.65,2.1238938053097205,8.849557522123893,32.33532934131736,False,-0.8591,2.3148,1,1,1,100.0,9.406779661016945,9.406779661016945,5.87610619469028,2.1238938053097205,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-0.86%; 状态confirmed_rebound; 底部未确认
57,72.37290298533163,72.22844609314535,600405,动力源,confirmed_rebound,2023-05-12,5.6,2023-04-28,5.39,3.896103896103896,8.719851576994445,29.908972691807552,True,-1.5817,1.6037,2,2,2,100.0,17.535284818614105,21.8568665377176,4.103896103896104,3.896103896103896,历史2/2次成功; 当前距低点3.90%; 最新日涨幅-1.58%; 状态confirmed_rebound; 底部已确认
58,72.20379023337921,70.5108321350863,301326,捷邦科技,bottom_area,2023-05-12,32.32,2023-05-10,31.45,2.7662957074721812,5.850556438791733,29.452669358456706,False,-1.4334,3.3994,1,1,1,100.0,10.096700796359514,10.096700796359514,5.233704292527818,2.7662957074721812,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
59,72.1996665108575,68.13079664966311,601138,工业富联,bottom_area,2023-05-12,14.36,2023-05-12,14.22,0.9845288326300898,4.00843881856539,28.43482637141419,False,-0.6916,0.4049,1,1,1,100.0,15.298507462686556,15.298507462686556,7.015471167369911,0.9845288326300898,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
60,71.37528588814382,72.62414977207483,002370,亚太药业,confirmed_rebound,2023-05-12,4.28,2023-04-25,4.08,4.901960784313729,9.558823529411757,32.56198347107438,True,-0.4651,0.7744,3,3,3,100.0,15.325915915645853,15.633423180592995,3.0980392156862706,4.901960784313729,历史3/3次成功; 当前距低点4.90%; 最新日涨幅-0.47%; 状态confirmed_rebound; 底部已确认
61,69.35085882551074,70.50832735369117,688116,天奈科技,bottom_area,2023-05-12,53.07,2023-05-10,50.61,4.8606994665085965,7.883817427385896,29.374825565168848,True,-0.8223,0.9734,2,2,2,100.0,9.896355577047169,11.226578491576134,3.1393005334914035,4.8606994665085965,历史2/2次成功; 当前距低点4.86%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
62,69.20952408914815,64.59504008767529,688298,东方生物,bottom_area,2023-05-12,53.44,2023-05-12,53.22,0.4133784291619671,2.8372792183389666,31.488156539649854,False,-1.6381,0.7524,4,6,4,66.66666666666666,11.510087309128625,15.470039788586028,7.586621570838033,0.4133784291619671,历史4/6次成功; 当前距低点0.41%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
63,68.26385870116879,69.18823364644928,001266,宏英智能,confirmed_rebound,2023-05-12,24.73,2023-04-25,23.62,4.699407281964434,8.044030482641823,28.6404833836858,True,-0.1615,1.9248,2,2,2,100.0,11.03700134047409,13.763753373468953,3.3005927180355665,4.699407281964434,历史2/2次成功; 当前距低点4.70%; 最新日涨幅-0.16%; 状态confirmed_rebound; 底部已确认
64,68.08013285102015,67.79378108298222,300525,博思软件,confirmed_rebound,2023-05-12,18.94,2023-04-26,18.25,3.7808219178082263,10.849315068493153,32.38236383845868,True,-0.4729,0.6531,1,1,1,100.0,8.946532556908405,8.946532556908405,4.219178082191774,3.7808219178082263,历史1/1次成功; 当前距低点3.78%; 最新日涨幅-0.47%; 状态confirmed_rebound; 底部已确认
65,67.97272206152797,68.09114143794179,000970,中科三环,confirmed_rebound,2023-05-12,11.96,2023-04-27,11.49,4.090513489991302,9.486510008703219,27.140139505389975,True,-1.8868,0.8596,1,1,1,100.0,14.341463414634154,14.341463414634154,3.909486510008698,4.090513489991302,历史1/1次成功; 当前距低点4.09%; 最新日涨幅-1.89%; 状态confirmed_rebound; 底部已确认
66,67.56627386637223,68.75338263122795,300610,晨化股份,confirmed_rebound,2023-05-12,11.12,2023-04-25,10.6,4.905660377358487,8.490566037735853,27.989130434782616,True,-1.0676,0.7884,2,2,2,100.0,11.227356406480116,14.142857142857146,3.0943396226415136,4.905660377358487,历史2/2次成功; 当前距低点4.91%; 最新日涨幅-1.07%; 状态confirmed_rebound; 底部已确认
67,65.95463057153478,61.57079030203021,300727,润禾材料,bottom_area,2023-05-12,26.0,2023-05-12,25.89,0.42487446890691166,6.527616840478941,30.36578805809575,False,-5.0748,3.2471,2,3,2,66.66666666666666,22.273319486404827,26.812499999999993,7.5751255310930885,0.42487446890691166,历史2/3次成功; 当前距低点0.42%; 最新日涨幅-5.07%; 状态bottom_area; 底部未确认
68,62.886198891998795,63.710080251068845,603090,宏盛股份,confirmed_rebound,2023-05-12,19.92,2023-04-25,19.03,4.676826064109304,10.772464529689946,29.387755102040806,True,-3.3479,1.5348,1,1,1,100.0,8.189482135688475,8.189482135688475,3.323173935890696,4.676826064109304,历史1/1次成功; 当前距低点4.68%; 最新日涨幅-3.35%; 状态confirmed_rebound; 底部已确认
69,59.804847280638185,56.76911722862501,603068,博通集成,bottom_area,2023-05-12,28.23,2023-05-10,27.87,1.2917115177610314,4.377466810190164,30.167877724880977,False,-1.8087,1.271,1,2,1,50.0,9.807631661936297,9.807631661936297,6.708288482238969,1.2917115177610314,历史1/2次成功; 当前距低点1.29%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
70,58.61836273752507,56.661996772809886,002623,亚玛顿,bottom_area,2023-05-12,26.53,2023-04-25,25.95,2.235067437379583,7.013487475915222,30.42895442359249,True,-2.4991,0.8361,1,2,1,50.0,11.601884570082444,11.601884570082444,5.764932562620418,2.235067437379583,历史1/2次成功; 当前距低点2.24%; 最新日涨幅-2.50%; 状态bottom_area; 底部已确认
71,56.353248265810734,53.54377490044615,300459,汤姆猫,confirmed_rebound,2023-05-12,6.8,2023-05-12,6.71,1.3412816691505194,9.538002980625928,29.144667370644147,False,-11.3429,16.8127,1,2,1,50.0,13.5048231511254,13.5048231511254,6.658718330849481,1.3412816691505194,历史1/2次成功; 当前距低点1.34%; 最新日涨幅-11.34%; 状态confirmed_rebound; 底部未确认
72,54.19249099132527,51.04567524670487,000509,华塑控股,bottom_area,2023-05-12,3.4,2023-05-12,3.37,0.8902077151335253,2.6706231454005893,28.902953586497894,False,-1.7341,0.517,1,2,1,50.0,13.953488372093018,13.953488372093018,7.109792284866474,0.8902077151335253,历史1/2次成功; 当前距低点0.89%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
