rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.88326117204653,82.70237022958966,300561,汇金科技,bottom_area,2023-09-18,12.93,2023-09-18,12.7,1.8110236220472475,2.5984251968503944,31.239848402815372,False,0.3882,3.0526,2,2,2,100.0,24.79303273041607,27.62128325508607,8.188976377952754,1.8110236220472475,历史2/2次成功; 当前距低点1.81%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,87.60683200762172,82.02844340487987,603106,恒银科技,bottom_area,2023-09-18,7.22,2023-09-11,7.11,1.5471167369901466,6.610407876230657,30.634146341463413,False,0.5571,3.5715,1,1,1,100.0,34.60144927536232,34.60144927536232,8.452883263009854,1.5471167369901466,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
3,87.53614849035284,81.88216698204054,688191,智洋创新,bottom_area,2023-09-18,18.32,2023-09-18,18.05,1.4958448753462579,4.099722991689742,27.799999999999997,False,0.2737,3.2466,2,2,2,100.0,16.51985643994637,22.671568627450974,8.504155124653742,1.4958448753462579,历史2/2次成功; 当前距低点1.50%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
4,84.29281215048321,81.32715294277733,688259,创耀科技,bottom_area,2023-09-18,80.98,2023-09-18,78.53,3.1198268177766493,8.022411817139943,28.72572154656018,False,0.26,13.0281,3,3,3,100.0,16.776118748968262,19.50136612021858,6.880173182223351,3.1198268177766493,历史3/3次成功; 当前距低点3.12%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
5,79.22613581759583,75.18386363432109,000028,国药一致,bottom_area,2023-09-18,31.34,2023-09-08,30.65,2.2512234910277367,5.481239804241435,30.577576443941112,False,-1.2602,1.6419,2,2,2,100.0,12.240070934754426,14.150943396226415,7.748776508972263,2.2512234910277367,历史2/2次成功; 当前距低点2.25%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
6,78.62870850370213,74.136775206979,601778,晶科科技,bottom_area,2023-09-18,3.73,2023-08-29,3.66,1.9125683060109244,7.377049180327869,28.79377431906614,True,0.2688,0.8774,2,3,2,66.66666666666666,26.348195043103452,42.344827586206904,8.087431693989076,1.9125683060109244,历史2/3次成功; 当前距低点1.91%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
7,76.09869162446546,73.9501402522711,603258,电魂网络,bottom_area,2023-09-18,29.6,2023-09-15,28.6,3.4965034965034962,6.188811188811187,29.695181907571282,False,2.4576,3.9715,1,1,1,100.0,15.065420560747667,15.065420560747667,6.503496503496504,3.4965034965034962,历史1/1次成功; 当前距低点3.50%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
8,74.0427227060871,73.37307076207446,002265,建设工业,bottom_area,2023-09-18,12.71,2023-08-25,12.16,4.52302631578948,7.1546052631578885,28.344136711844424,True,1.5987,0.8384,3,4,3,75.0,19.519197645561725,32.75229357798165,5.476973684210521,4.52302631578948,历史3/4次成功; 当前距低点4.52%; 最新日涨幅1.60%; 状态bottom_area; 底部已确认
9,72.43632226583217,70.44050787601184,603326,我乐家居,confirmed_rebound,2023-09-18,12.6,2023-09-13,12.17,3.5332785538208684,11.421528348397704,30.29782359679267,True,-2.4012,16.5267,1,1,1,100.0,20.141843971631218,20.141843971631218,6.4667214461791325,3.5332785538208684,历史1/1次成功; 当前距低点3.53%; 最新日涨幅-2.40%; 状态confirmed_rebound; 底部已确认
10,71.58373446821153,70.86046899160753,601858,中国科传,bottom_area,2023-09-18,29.0,2023-09-18,27.76,4.466858789625355,6.952449567723342,27.177334732423912,False,-0.0345,2.8377,2,2,2,100.0,16.15541415028679,21.243523316062173,5.533141210374646,4.466858789625355,历史2/2次成功; 当前距低点4.47%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
11,71.21406466975691,69.47713626317747,002386,天原股份,bottom_area,2023-09-18,5.88,2023-08-31,5.67,3.703703703703703,5.996472663139327,31.604342581423396,False,0.3413,0.3476,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,6.296296296296297,3.703703703703703,历史2/3次成功; 当前距低点3.70%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
12,57.1415659880359,56.17796453798471,002861,瀛通通讯,bottom_area,2023-09-18,11.66,2023-09-18,11.2,4.107142857142865,5.000000000000004,28.662420382165603,False,3.1858,12.0329,1,2,1,50.0,18.668012108980825,18.668012108980825,5.892857142857136,4.107142857142865,历史1/2次成功; 当前距低点4.11%; 最新日涨幅3.19%; 状态bottom_area; 底部未确认
13,57.100157779967674,55.726980976013266,002069,獐子岛,bottom_area,2023-09-18,4.18,2023-09-14,4.03,3.7220843672456443,4.21836228287841,28.79858657243816,False,0.9662,1.3453,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,6.277915632754357,3.7220843672456443,历史1/3次成功; 当前距低点3.72%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
