rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.82891089108911,81.96,002388,新亚制程,bottom_area,2024-11-26,4.04,2024-11-26,4.0,1.0000000000000009,5.000000000000004,32.88590604026845,False,-1.9417,7.6297,1,1,1,100.0,50.505050505050505,50.505050505050505,6.999999999999999,1.0000000000000009,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
2,82.11922050767278,76.3442385273427,600421,退市华嵘,bottom_area,2024-11-26,9.55,2024-11-26,9.53,0.2098635886673804,6.295907660021002,30.992034757422164,False,-6.0964,5.1136,3,3,3,100.0,26.842621018840468,44.900662251655625,7.79013641133262,0.2098635886673804,历史3/3次成功; 当前距低点0.21%; 最新日涨幅-6.10%; 状态bottom_area; 底部未确认
3,81.29185839569342,78.30674231289319,601019,山东出版,bottom_area,2024-11-26,10.43,2024-11-25,10.22,2.054794520547936,3.2289628180039145,28.028169014084497,False,0.4817,0.219,1,1,1,100.0,20.815450643776817,20.815450643776817,5.945205479452064,2.054794520547936,历史1/1次成功; 当前距低点2.05%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
4,79.92891373998339,76.516599025974,002721,金一文化,bottom_area,2024-11-26,2.35,2024-11-26,2.31,1.731601731601733,3.89610389610389,31.249999999999993,False,-3.2922,2.9419,2,2,2,100.0,23.250811688311686,23.376623376623378,6.2683982683982675,1.731601731601733,历史2/2次成功; 当前距低点1.73%; 最新日涨幅-3.29%; 状态bottom_area; 底部未确认
5,79.19545443018784,78.80273261518755,000506,招金黄金,confirmed_rebound,2024-11-26,3.05,2024-11-26,2.94,3.7414965986394515,10.204081632653072,29.832935560859198,False,-1.2945,8.1328,5,5,5,100.0,26.845940107986554,67.59259259259258,4.2585034013605485,3.7414965986394515,历史5/5次成功; 当前距低点3.74%; 最新日涨幅-1.29%; 状态confirmed_rebound; 底部未确认
6,77.24308658160972,74.42897678980061,000782,恒申新材,bottom_area,2024-11-26,4.93,2024-11-22,4.83,2.0703933747411933,6.8322981366459645,27.0392749244713,False,-0.6048,3.3919,1,1,1,100.0,22.631578947368432,22.631578947368432,5.929606625258807,2.0703933747411933,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
7,77.13934633746972,71.69395345266064,603079,圣达生物,confirmed_rebound,2024-11-26,15.42,2024-11-26,15.39,0.19493177387913815,9.616634178037689,27.439886845827438,False,-9.719,14.6892,2,2,2,100.0,28.539773640349868,34.84698914116485,7.805068226120862,0.19493177387913815,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-9.72%; 状态confirmed_rebound; 底部未确认
8,76.87696608393708,72.60520266218458,002824,和胜股份,confirmed_rebound,2024-11-26,17.69,2024-11-26,17.51,1.027984009137634,9.080525414049113,29.051863857374382,False,-5.4011,12.224,4,5,4,80.0,13.81186130655046,19.06976744186047,6.972015990862366,1.027984009137634,历史4/5次成功; 当前距低点1.03%; 最新日涨幅-5.40%; 状态confirmed_rebound; 底部未确认
9,75.36198519781823,71.34745520024302,603007,顺景科技,confirmed_rebound,2024-11-26,12.27,2024-11-26,12.13,1.1541632316570385,10.552349546578725,32.8721638074156,False,-3.9154,6.9964,1,1,1,100.0,15.263157894736846,15.263157894736846,6.845836768342961,1.1541632316570385,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-3.92%; 状态confirmed_rebound; 底部未确认
10,72.00344314140774,71.8701034318866,301628,强达电路,confirmed_rebound,2024-11-26,86.24,2024-11-25,83.0,3.903614457831319,8.433734939759036,27.26316711944615,False,1.3634,11.6812,1,1,1,100.0,19.08787309538719,19.08787309538719,4.096385542168681,3.903614457831319,历史1/1次成功; 当前距低点3.90%; 最新日涨幅1.36%; 状态confirmed_rebound; 底部未确认
11,68.91986855149145,64.74173990903476,002583,海能达,confirmed_rebound,2024-11-26,18.83,2024-11-26,18.69,0.749063670411969,10.486891385767775,29.097116843702576,False,-7.2871,25.3048,1,1,1,100.0,14.621532675129286,14.621532675129286,7.250936329588031,0.749063670411969,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-7.29%; 状态confirmed_rebound; 底部未确认
12,68.48072947876605,63.738217549906985,301548,崇德科技,bottom_area,2024-11-26,44.62,2024-11-26,44.5,0.2696629213483089,4.49438202247191,27.382506527415146,False,-3.1053,3.659,2,3,2,66.66666666666666,32.023560988787416,54.89098408956984,7.730337078651692,0.2696629213483089,历史2/3次成功; 当前距低点0.27%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
