rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.94970668117357,88.51213864891061,002636,金安国纪,bottom_area,2025-08-04,11.84,2025-07-25,11.67,1.4567266495287055,7.112253641816624,29.698795180722897,True,0.0,2.2284,2,2,2,100.0,42.49180327868853,69.0,6.543273350471295,1.4567266495287055,历史2/2次成功; 当前距低点1.46%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
2,91.61231359515104,88.76873646072771,000607,华媒控股,bottom_area,2025-08-04,4.77,2025-07-31,4.66,2.360515021459215,2.5751072961373414,29.924812030075188,False,0.4211,2.3258,4,4,4,100.0,30.810272632552305,59.82721382289418,5.639484978540785,2.360515021459215,历史4/4次成功; 当前距低点2.36%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
3,91.48251592844234,86.39504476043685,001226,拓山重工,bottom_area,2025-08-04,36.45,2025-08-04,36.08,1.0254988913525627,4.129711751662977,30.642060745866985,False,-0.7893,7.1057,4,4,4,100.0,24.15689372430483,41.451766953199616,6.974501108647438,1.0254988913525627,历史4/4次成功; 当前距低点1.03%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
4,88.18511686081199,84.91978673420341,002658,雪迪龙,bottom_area,2025-08-04,8.01,2025-08-01,7.85,2.038216560509556,2.292993630573245,31.50087260034905,False,0.0,2.3078,3,3,3,100.0,22.83290587185592,34.81481481481481,5.9617834394904445,2.038216560509556,历史3/3次成功; 当前距低点2.04%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,87.50908912622359,83.16786133110037,001298,好上好,bottom_area,2025-08-04,28.43,2025-08-01,28.05,1.3547237076648806,1.532976827094473,27.481902792140637,False,0.3176,4.2511,2,2,2,100.0,21.70231927191558,34.86910994764398,6.64527629233512,1.3547237076648806,历史2/2次成功; 当前距低点1.35%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
6,86.2770281322329,82.19102615557435,300651,金陵体育,bottom_area,2025-08-04,21.29,2025-08-04,20.98,1.4775977121067623,2.9551954242135414,29.949916527545906,False,-3.0068,17.0581,5,5,5,100.0,17.311553436439517,25.720461095100855,6.522402287893238,1.4775977121067623,历史5/5次成功; 当前距低点1.48%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
7,83.09939916080779,78.80016628676869,603262,技源集团,bottom_area,2025-08-04,30.25,2025-08-04,29.88,1.238286479250338,1.706827309236953,28.823249166269648,False,0.0662,10.2196,1,1,1,100.0,13.459459459459449,13.459459459459449,6.761713520749662,1.238286479250338,历史1/1次成功; 当前距低点1.24%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
8,82.69084168389567,78.96042777334398,603511,爱慕股份,bottom_area,2025-08-04,15.24,2025-08-04,15.0,1.6000000000000014,1.6000000000000014,29.906542056074763,False,0.6605,1.0178,1,1,1,100.0,18.754988028731056,18.754988028731056,6.399999999999999,1.6000000000000014,历史1/1次成功; 当前距低点1.60%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
9,82.4468007747448,77.90645444883555,002987,京北方,bottom_area,2025-08-04,20.11,2025-08-04,19.9,1.055276381909552,1.3567839195980056,28.158844765342966,False,-0.544,2.9454,1,1,1,100.0,28.88432580424366,28.88432580424366,6.944723618090448,1.055276381909552,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
10,82.36369272728696,79.73706015739627,603928,兴业股份,bottom_area,2025-08-04,15.47,2025-08-01,15.12,2.314814814814824,2.314814814814824,32.16689098250337,False,1.4426,2.1036,1,1,1,100.0,31.69267707082834,31.69267707082834,5.685185185185176,2.314814814814824,历史1/1次成功; 当前距低点2.31%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
11,82.31989954490079,78.06159369049954,605033,美邦股份,bottom_area,2025-08-04,21.25,2025-08-04,20.99,1.2386850881372158,1.6674606955693254,32.50803858520901,False,-0.2347,2.5811,1,1,1,100.0,31.96664350243223,31.96664350243223,6.761314911862784,1.2386850881372158,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
