rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.36004052852,86.7814875509639,001209,洪兴股份,bottom_area,2025-11-17,22.0,2025-11-17,21.59,1.8990273274664202,2.2232515053265423,30.0162074554295,False,1.2891,8.408,4,4,4,100.0,14.469192782727669,21.88679245283018,6.1009726725335796,1.8990273274664202,历史4/4次成功; 当前距低点1.90%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
2,86.7647378427973,82.86880865358556,603759,海天股份,bottom_area,2025-11-17,11.35,2025-11-17,11.17,1.6114592658907763,2.7752909579230125,32.17972070431087,False,0.1765,4.934,1,1,1,100.0,39.90825688073395,39.90825688073395,6.388540734109224,1.6114592658907763,历史1/1次成功; 当前距低点1.61%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
3,84.27371544525191,80.39208891115854,300669,沪宁股份,bottom_area,2025-11-17,28.2,2025-11-17,27.77,1.5484335613971902,4.321209938782856,28.758337609030267,False,-2.6915,1.2973,3,3,3,100.0,14.95977113518351,19.86588432523052,6.45156643860281,1.5484335613971902,历史3/3次成功; 当前距低点1.55%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
4,84.16800292936374,79.10761687592512,002338,奥普光电,bottom_area,2025-11-17,50.6,2025-11-17,50.21,0.7767377016530583,1.57339175463055,28.628287135749815,False,0.5165,1.0172,3,3,3,100.0,15.960101267172554,20.995288574793882,7.223262298346941,0.7767377016530583,历史3/3次成功; 当前距低点0.78%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
5,83.81078013203005,83.16645893439097,300563,神宇股份,bottom_area,2025-11-17,38.0,2025-10-23,36.68,3.5986913849509277,6.27044711014176,28.776699029126213,False,0.3698,2.5146,4,4,4,100.0,15.86814673160799,20.477137176938378,4.401308615049072,3.5986913849509277,历史4/4次成功; 当前距低点3.60%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
6,82.55158813048534,80.40739103618704,688141,杰华特,bottom_area,2025-11-17,40.56,2025-11-12,39.52,2.631578947368419,7.945344129554639,30.666666666666657,True,-3.0824,3.9746,4,4,4,100.0,12.674145355844196,14.416058394160567,5.3684210526315805,2.631578947368419,历史4/4次成功; 当前距低点2.63%; 最新日涨幅-3.08%; 状态bottom_area; 底部已确认
7,82.380716035235,76.46584074270238,000661,长春高新,bottom_area,2025-11-17,102.16,2025-11-17,102.03,0.12741350583161368,3.155934529060079,28.03131833251041,False,-2.286,2.279,3,3,3,100.0,16.270664172034742,25.03526756324649,7.872586494168386,0.12741350583161368,历史3/3次成功; 当前距低点0.13%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
8,82.09705187734141,77.88495582405308,002181,粤传媒,bottom_area,2025-11-17,9.63,2025-11-17,9.51,1.261829652996856,2.313354363827557,32.0228734810579,False,-0.1037,3.4297,2,2,2,100.0,14.634018456375832,17.187499999999993,6.738170347003145,1.261829652996856,历史2/2次成功; 当前距低点1.26%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
9,79.81871898750634,74.83913146965486,603809,豪能股份,bottom_area,2025-11-17,12.36,2025-11-13,12.28,0.6514657980456032,2.6872964169381115,27.764705882352946,False,-0.5632,1.3489,2,2,2,100.0,30.615448866660387,31.661442006269603,7.348534201954397,0.6514657980456032,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
10,76.40241423774138,72.08327798759065,603151,邦基科技,bottom_area,2025-11-17,19.68,2025-11-17,19.49,0.9748589020010329,2.2575679835813305,27.73451983685577,False,-0.6562,1.9824,1,1,1,100.0,36.42987249544626,36.42987249544626,7.025141097998968,0.9748589020010329,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
11,75.90552398113924,73.44440677401015,002123,梦网科技,bottom_area,2025-11-17,12.08,2025-11-13,11.81,2.2861981371718847,2.370872142252323,31.93083573487032,False,1.5126,2.0733,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,5.713801862828116,2.2861981371718847,历史2/3次成功; 当前距低点2.29%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
12,75.54779868613846,70.79110157853219,603173,福斯达,bottom_area,2025-11-17,38.98,2025-11-05,38.74,0.6195147134744318,6.143520908621568,29.422481326288942,False,-3.2994,4.9585,1,1,1,100.0,35.34190927555856,35.34190927555856,7.380485286525568,0.6195147134744318,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
13,73.16009233146622,68.83181123259196,688631,莱斯信息,bottom_area,2025-11-17,64.4,2025-11-17,63.87,0.8298105526851547,1.8005323312979469,32.11818471676055,False,-0.155,1.8498,1,1,1,100.0,17.17085641244142,17.17085641244142,7.170189447314845,0.8298105526851547,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
14,72.05212360424872,68.83928918963001,600292,电投水电,bottom_area,2025-11-17,13.73,2025-11-17,13.51,1.6284233900814258,4.367135455218356,27.16981132075472,False,-1.9286,3.9857,2,3,2,66.66666666666666,26.050687378220395,40.524193548387096,6.371576609918575,1.6284233900814258,历史2/3次成功; 当前距低点1.63%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
15,71.5761526005698,71.37438754743219,601669,中国电建,confirmed_rebound,2025-11-17,5.66,2025-09-29,5.45,3.8532110091743115,11.0091743119266,30.484693877551017,True,-0.5272,0.7411,2,2,2,100.0,12.417788431987212,16.457680250783696,4.146788990825689,3.8532110091743115,历史2/2次成功; 当前距低点3.85%; 最新日涨幅-0.53%; 状态confirmed_rebound; 底部已确认
