rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.08018839034104,85.08854053640383,000661,长春高新,bottom_area,2025-12-01,100.09,2025-11-24,98.68,1.4288609647344919,2.452371301175504,30.394300627777387,False,0.8362,1.046,3,3,3,100.0,16.270664172034742,25.03526756324649,8.571139035265508,1.4288609647344919,历史3/3次成功; 当前距低点1.43%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
2,84.96194789786968,79.45914064664518,000803,山高环能,bottom_area,2025-12-01,6.83,2025-11-28,6.73,1.4858841010401134,3.417533432392266,29.822732012513033,False,-0.7267,2.1804,2,2,2,100.0,25.843851596863644,36.1111111111111,8.514115898959886,1.4858841010401134,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
3,81.94725439788951,76.73718741979889,600506,统一股份,bottom_area,2025-12-01,25.51,2025-11-28,25.12,1.5525477707006392,4.657643312101904,31.17808219178082,False,-1.8469,11.0876,1,1,1,100.0,28.69352869352869,28.69352869352869,8.447452229299362,1.5525477707006392,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
4,81.64012908550905,76.33810098100982,002321,华英农业,bottom_area,2025-12-01,2.75,2025-11-28,2.71,1.4760147601476028,2.9520295202952056,29.792746113989637,False,-1.0791,2.8394,1,1,1,100.0,25.609756097560986,25.609756097560986,8.523985239852399,1.4760147601476028,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
5,81.41176684222359,78.07113726558993,688050,爱博医疗,bottom_area,2025-12-01,61.3,2025-11-21,59.63,2.8006037229582335,3.387556599027328,28.86794703566742,False,0.9386,1.0556,2,2,2,100.0,12.024267494272554,12.90770757525636,7.1993962770417665,2.8006037229582335,历史2/2次成功; 当前距低点2.80%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
6,81.26506988243078,76.96751464813431,603366,日出东方,bottom_area,2025-12-01,9.51,2025-11-28,9.31,2.148227712137479,2.900107411385602,30.522388059701488,False,0.1053,2.8976,3,4,3,75.0,18.927278665633175,25.15964240102172,7.851772287862521,2.148227712137479,历史3/4次成功; 当前距低点2.15%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
7,80.65344413013077,79.81277655976771,300584,海辰药业,bottom_area,2025-12-01,55.16,2025-11-24,52.81,4.449914788865734,9.827684150729024,28.05177111716621,True,-0.2532,6.1783,6,6,6,100.0,21.55151762570742,54.23197492163009,5.550085211134266,4.449914788865734,历史6/6次成功; 当前距低点4.45%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
8,79.74016205059736,78.4774046751548,603178,圣龙股份,bottom_area,2025-12-01,18.52,2025-11-24,17.78,4.161979752530924,4.668166479190091,27.694184627897517,False,0.6522,0.9462,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,5.8380202474690766,4.161979752530924,历史6/7次成功; 当前距低点4.16%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
9,78.90839588648518,74.78372643858391,300730,科创信息,bottom_area,2025-12-01,13.58,2025-11-24,13.29,2.182091798344627,8.803611738148998,31.84615384615385,True,-1.1645,4.4323,3,4,3,75.0,20.881159886073412,24.329896907216508,7.817908201655374,2.182091798344627,历史3/4次成功; 当前距低点2.18%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
10,78.70974540008558,74.26788617886179,600094,大名城,bottom_area,2025-12-01,4.18,2025-11-21,4.1,1.9512195121951237,8.292682926829286,30.743243243243246,True,-1.182,1.5255,2,3,2,66.66666666666666,51.71595225176342,87.28070175438596,8.048780487804876,1.9512195121951237,历史2/3次成功; 当前距低点1.95%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
11,78.60285211321462,73.52889982610031,301177,迪阿股份,bottom_area,2025-12-01,30.49,2025-11-21,30.04,1.4980026631158432,4.926764314247671,27.211049188272362,False,-0.3269,0.2528,1,1,1,100.0,10.776053215077603,10.776053215077603,8.501997336884157,1.4980026631158432,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
